Time,gENSAL.delta,gENSAL.PELEC,gENSAL.SPEED,hYGOV.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.094,0.35476765,0.40000597,-6.951702e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.096,0.35476762,0.40000597,-7.097712e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.098,0.35476756,0.40000597,-7.2436336e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.1,0.3547675,0.40000597,-7.389467e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.102,0.35476747,0.40000597,-7.5352105e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.104,0.3547674,0.40000597,-7.680866e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.106,0.35476738,0.40000597,-7.8264335e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.108,0.35476732,0.40000597,-7.971912e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.11,0.35476726,0.40000594,-8.117302e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.112,0.35476723,0.40000594,-8.262603e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.114,0.35476717,0.40000594,-8.407815e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.116,0.3547671,0.40000594,-8.552939e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.118,0.35476705,0.40000594,-8.6979746e-08,0.3999995,1.0000021,0.99199665,1.0000037,0.9959876
0.12,0.354767,0.40000594,-8.842921e-08,0.3999995,1.0000021,0.99199665,1.0000037,0.9959876
0.122,0.35476696,0.4000059,-8.9877794e-08,0.39999947,1.0000021,0.99199665,1.0000037,0.9959876
0.124,0.3547669,0.4000059,-9.132549e-08,0.39999947,1.0000021,0.99199665,1.0000037,0.9959876
0.126,0.35476685,0.4000059,-9.27723e-08,0.39999947,1.000002,0.99199665,1.0000037,0.9959876
0.128,0.3547668,0.4000059,-9.421822e-08,0.39999947,1.000002,0.99199665,1.0000037,0.9959876
0.13,0.35476673,0.4000059,-9.566325e-08,0.39999947,1.000002,0.99199665,1.0000037,0.9959876
0.132,0.35476667,0.40000588,-9.7101804e-08,0.39999947,1.000002,0.99199665,1.0000037,0.9959876
0.134,0.3547666,0.40000588,-9.853249e-08,0.39999947,1.000002,0.99199665,1.0000037,0.9959876
0.136,0.35476655,0.40000588,-9.996156e-08,0.39999947,1.000002,0.99199665,1.0000037,0.9959876
0.138,0.3547665,0.40000588,-1.0138903e-07,0.39999947,1.000002,0.99199665,1.0000037,0.9959876
0.14,0.3547664,0.40000588,-1.0281488e-07,0.39999947,1.000002,0.99199665,1.0000037,0.9959876
0.142,0.35476634,0.40000588,-1.0423912e-07,0.39999947,1.000002,0.99199665,1.0000037,0.9959876
0.144,0.35476628,0.40000585,-1.0566175e-07,0.39999947,1.000002,0.99199665,1.0000037,0.9959876
0.146,0.35476622,0.40000585,-1.0708277e-07,0.39999947,1.000002,0.99199665,1.0000037,0.99598753
0.148,0.35476616,0.40000585,-1.0850217e-07,0.39999947,1.000002,0.99199665,1.0000037,0.99598753
0.15,0.35476607,0.40000585,-1.0991997e-07,0.39999947,1.000002,0.99199665,1.0000037,0.99598753
0.152,0.354766,0.40000585,-1.11336156e-07,0.39999947,1.000002,0.99199665,1.0000037,0.99598753
0.154,0.35476595,0.40000582,-1.12750726e-07,0.39999947,1.000002,0.99199665,1.0000037,0.99598753
0.156,0.35476586,0.40000582,-1.1416369e-07,0.39999947,1.000002,0.99199665,1.0000037,0.99598753
0.158,0.3547658,0.40000582,-1.1557504e-07,0.39999947,1.000002,0.99199665,1.0000037,0.99598753
0.16,0.35476574,0.40000582,-1.1698478e-07,0.39999947,1.000002,0.99199665,1.0000037,0.99598753
0.162,0.35476565,0.4000058,-1.1839291e-07,0.39999947,1.000002,0.99199665,1.0000037,0.99598753
0.164,0.3547656,0.4000058,-1.1979942e-07,0.39999947,1.000002,0.9919966,1.0000037,0.99598753
0.166,0.3547655,0.4000058,-1.2120434e-07,0.39999947,1.000002,0.9919966,1.0000037,0.99598753
0.168,0.35476544,0.4000058,-1.2260763e-07,0.39999947,1.000002,0.9919966,1.0000036,0.99598753
0.17,0.35476536,0.4000058,-1.240093e-07,0.39999947,1.000002,0.9919966,1.0000036,0.99598753
0.172,0.35476527,0.40000576,-1.2540939e-07,0.39999947,1.000002,0.9919966,1.0000036,0.99598753
0.174,0.3547652,0.40000576,-1.2680785e-07,0.39999947,1.000002,0.9919966,1.0000036,0.99598753
0.176,0.35476512,0.40000576,-1.2820469e-07,0.39999947,1.000002,0.9919966,1.0000036,0.99598753
0.178,0.35476503,0.40000576,-1.2959994e-07,0.39999947,1.000002,0.9919966,1.0000036,0.99598753
0.18,0.35476497,0.40000573,-1.3099356e-07,0.39999947,1.000002,0.9919966,1.0000036,0.99598753
0.182,0.35476488,0.40000573,-1.3238558e-07,0.39999947,1.000002,0.9919966,1.0000036,0.9959875
0.184,0.3547648,0.40000573,-1.3377598e-07,0.39999947,1.000002,0.9919966,1.0000036,0.9959875
0.186,0.3547647,0.40000573,-1.3516478e-07,0.39999947,1.000002,0.9919966,1.0000036,0.9959875
0.188,0.35476464,0.4000057,-1.3655196e-07,0.39999947,1.000002,0.9919966,1.0000036,0.9959875
0.19,0.35476455,0.4000057,-1.3793753e-07,0.39999947,1.000002,0.9919966,1.0000036,0.9959875
0.192,0.35476446,0.4000057,-1.3932149e-07,0.39999947,1.000002,0.9919966,1.0000036,0.9959875
0.194,0.35476437,0.4000057,-1.4070383e-07,0.39999947,1.000002,0.9919966,1.0000036,0.9959875
0.196,0.35476428,0.40000567,-1.4208457e-07,0.39999947,1.000002,0.9919966,1.0000036,0.9959875
0.198,0.3547642,0.40000567,-1.4346371e-07,0.39999947,1.000002,0.9919966,1.0000036,0.9959875
0.2,0.3547641,0.40000567,-1.4484122e-07,0.39999947,1.000002,0.9919965,1.0000036,0.9959875
0.202,0.354764,0.40000567,-1.4621712e-07,0.39999944,1.000002,0.9919965,1.0000036,0.9959875
0.204,0.35476393,0.40000564,-1.4759142e-07,0.39999944,1.000002,0.9919965,1.0000036,0.9959875
0.206,0.35476384,0.40000564,-1.489641e-07,0.39999944,1.000002,0.9919965,1.0000036,0.9959875
0.208,0.35476375,0.40000564,-1.5033517e-07,0.39999944,1.000002,0.9919965,1.0000036,0.9959875
0.21,0.35476366,0.4000056,-1.5170463e-07,0.39999944,1.000002,0.9919965,1.0000036,0.9959875
0.212,0.35476354,0.4000056,-1.5307248e-07,0.39999944,1.000002,0.9919965,1.0000036,0.9959874
0.214,0.35476345,0.4000056,-1.5443871e-07,0.39999944,1.000002,0.9919965,1.0000036,0.9959874
0.216,0.35476336,0.4000056,-1.5580333e-07,0.39999944,1.000002,0.9919965,1.0000036,0.9959874
0.218,0.35476327,0.40000558,-1.5716635e-07,0.39999944,1.000002,0.9919965,1.0000036,0.9959874
0.22,0.35476315,0.40000558,-1.5852775e-07,0.39999944,1.000002,0.9919965,1.0000036,0.9959874
0.222,0.35476306,0.40000558,-1.5988755e-07,0.39999944,1.000002,0.9919965,1.0000035,0.9959874
0.224,0.35476297,0.40000555,-1.6124574e-07,0.39999944,1.000002,0.9919965,1.0000035,0.9959874
0.226,0.35476285,0.40000555,-1.626023e-07,0.39999944,1.000002,0.9919965,1.0000035,0.9959874
0.228,0.35476276,0.40000555,-1.6395725e-07,0.39999944,1.000002,0.9919965,1.0000035,0.9959874
