Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,tGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.066,34.4037,0.40000004,-3.3805075e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.068,34.4037,0.40000004,-3.4815156e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.07,34.4037,0.40000004,-3.5824124e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.072,34.4037,0.40000004,-3.683198e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.074,34.4037,0.40000004,-3.783872e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.076,34.4037,0.40000004,-3.8844353e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.078,34.4037,0.40000004,-3.984887e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.08,34.4037,0.40000004,-4.0852274e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.082,34.4037,0.40000004,-4.1854567e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.084,34.4037,0.40000004,-4.2855747e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.086,34.4037,0.40000004,-4.385581e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.088,34.4037,0.40000004,-4.4854764e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.09,34.4037,0.40000004,-4.5852608e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.092,34.4037,0.40000004,-4.6849336e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.094,34.4037,0.40000004,-4.784495e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.096,34.4037,0.40000004,-4.8839455e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.098,34.4037,0.40000004,-4.9832843e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.1,34.4037,0.40000004,-5.082512e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.102,34.4037,0.40000004,-5.1816285e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.104,34.4037,0.40000004,-5.2806337e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.106,34.4037,0.40000004,-5.3795274e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.108,34.4037,0.40000004,-5.47831e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.11,34.4037,0.40000004,-5.5769817e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.112,34.4037,0.40000004,-5.6755417e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.114,34.4037,0.40000004,-5.77399e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.116,34.4037,0.40000004,-5.8723276e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.118,34.4037,0.40000004,-5.970554e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.12,34.4037,0.40000004,-6.068669e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.122,34.4037,0.40000004,-6.166673e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.124,34.4037,0.40000004,-6.264565e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.126,34.4037,0.40000004,-6.362346e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.128,34.4037,0.40000004,-6.4600164e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.13,34.4037,0.40000004,-6.557575e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.132,34.4037,0.40000004,-6.6543676e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.134,34.4037,0.40000004,-6.7502337e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.136,34.4037,0.40000004,-6.845904e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.138,34.4037,0.40000004,-6.9413786e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.14,34.4037,0.40000004,-7.036657e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.142,34.4037,0.40000004,-7.131739e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.144,34.4037,0.40000004,-7.2266254e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.146,34.4037,0.40000004,-7.321315e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.148,34.4037,0.40000004,-7.4158096e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.15,34.4037,0.40000004,-7.510108e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.152,34.4037,0.40000004,-7.6042106e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.154,34.4037,0.40000004,-7.6981166e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.156,34.4037,0.40000004,-7.791827e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.158,34.4037,0.40000004,-7.885341e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.16,34.4037,0.40000004,-7.9786594e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.162,34.4037,0.40000004,-8.071782e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.164,34.403698,0.40000004,-8.1647084e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.166,34.403698,0.40000004,-8.2574386e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.168,34.403698,0.40000004,-8.349973e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.17,34.403698,0.40000004,-8.4423113e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.172,34.403698,0.40000004,-8.5344537e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.174,34.403698,0.40000004,-8.6264e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.176,34.403698,0.40000004,-8.7181506e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.178,34.403698,0.40000004,-8.8097046e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.18,34.403698,0.40000004,-8.901063e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.182,34.403698,0.40000004,-8.9922253e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.184,34.403698,0.40000004,-9.083192e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.186,34.403698,0.40000004,-9.173962e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.188,34.403698,0.40000004,-9.264537e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.19,34.403698,0.40000004,-9.354915e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.192,34.403698,0.40000004,-9.445098e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.194,34.403698,0.40000004,-9.535084e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.196,34.403698,0.40000004,-9.624874e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.198,34.403698,0.40000004,-9.714469e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.2,34.403698,0.40000004,-9.803868e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
