Time,gENSAL.delta,gENSAL.PELEC,gENSAL.SPEED,iEESGO.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,20.326748,0.4000061,0.0,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
1e-10,20.326748,0.4000061,-7.453264e-17,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.002,20.326748,0.4000061,-1.4905815e-09,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.004,20.326748,0.4000061,-2.981005e-09,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.006,20.326748,0.4000061,-4.4712407e-09,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.008,20.326748,0.4000061,-5.9612866e-09,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.01,20.326748,0.4000061,-7.451071e-09,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.012,20.326748,0.4000061,-8.940606e-09,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.014,20.326748,0.4000061,-1.0429898e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.016,20.326746,0.4000061,-1.1918946e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.018,20.326746,0.40000606,-1.3407535e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.02,20.326746,0.40000606,-1.4895731e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.022,20.326746,0.40000606,-1.6383575e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.024,20.326744,0.40000606,-1.7871066e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.026,20.326744,0.40000606,-1.9358206e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.028,20.326742,0.40000606,-2.0844993e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.03,20.326742,0.40000606,-2.233143e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.032,20.32674,0.40000606,-2.3817512e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.034,20.32674,0.40000606,-2.5302652e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.036,20.326738,0.40000606,-2.6786902e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.038,20.326738,0.40000606,-2.8270582e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.04,20.326736,0.40000606,-2.9753693e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.042,20.326736,0.40000606,-3.1236233e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.044,20.326735,0.40000606,-3.271821e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.046,20.326735,0.40000606,-3.4199612e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.048,20.326733,0.40000606,-3.5680447e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.05,20.326733,0.40000606,-3.716071e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.052,20.32673,0.40000606,-3.8640408e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.054,20.326729,0.40000606,-4.0119538e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.056,20.326727,0.40000603,-4.1598096e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.058,20.326725,0.40000603,-4.3076085e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.06,20.326723,0.40000603,-4.4553506e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.062,20.326721,0.40000603,-4.6030358e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.064,20.32672,0.40000603,-4.7506642e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.066,20.32672,0.40000603,-4.8981533e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.068,20.326717,0.40000603,-5.0452883e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.07,20.326715,0.40000603,-5.1923237e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.072,20.326714,0.40000603,-5.3392597e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.074,20.326712,0.40000603,-5.4860962e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.076,20.32671,0.40000603,-5.6328332e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.078,20.326708,0.400006,-5.7794708e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.08,20.326704,0.400006,-5.926009e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.082,20.326702,0.400006,-6.0724474e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.084,20.326702,0.400006,-6.218787e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.086,20.3267,0.400006,-6.365027e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.088,20.326696,0.400006,-6.511167e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.09,20.326694,0.400006,-6.6572085e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.092,20.32669,0.400006,-6.80315e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.094,20.326689,0.40000597,-6.948992e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.096,20.326687,0.40000597,-7.0947344e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.098,20.326685,0.40000597,-7.240378e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.1,20.326681,0.40000597,-7.385921e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.102,20.32668,0.40000597,-7.531366e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.104,20.326675,0.40000597,-7.676711e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.106,20.326674,0.40000597,-7.8219564e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.108,20.32667,0.40000597,-7.9671025e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.11,20.326668,0.40000594,-8.112149e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.112,20.326666,0.40000594,-8.257096e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.114,20.326662,0.40000594,-8.401944e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.116,20.326658,0.40000594,-8.546692e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.118,20.326654,0.40000594,-8.691341e-08,0.3999995,1.0000021,0.99199665,1.0000037,0.9959876
0.12,20.326653,0.40000594,-8.83589e-08,0.3999995,1.0000021,0.99199665,1.0000037,0.9959876
