Time,gENCLS2.delta,gENCLS2.P,gENCLS2.omega,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,8.571382931169826,0.4000000796534803,0.0,0.9999999968740182,0.9919935407908825,0.9999999975577937,0.9959841751764217
1.0058283805847169e-10,8.571382931169826,0.4000000796534803,-6.676312656024135e-19,0.9999999968740182,0.9919935407908825,0.9999999975577937,0.9959841751764217
1.0058283805847169e-10,8.571382931169826,0.4000000796534803,-6.676312656024135e-19,0.9999999968740182,0.9919935407908825,0.9999999975577937,0.9959841751764217
0.002,8.571382930930866,0.40000007964757717,-1.3275252084338835e-11,0.9999999968741776,0.9919935407910162,0.9999999975578729,0.9959841751765266
0.004,8.57138293021403,0.4000000796298684,-2.6548536503449388e-11,0.9999999968746562,0.991993540791417,0.9999999975581106,0.9959841751768412
0.006,8.57138292901942,0.40000007960035666,-3.981788582648379e-11,0.9999999968754533,0.9919935407920847,0.9999999975585065,0.9959841751773656
0.008,8.571382927347214,0.40000007955904643,-5.308133325326253e-11,0.9999999968765694,0.9919935407930195,0.9999999975590608,0.9959841751780996
0.01,8.571382925197657,0.4000000795059438,-6.633691282552522e-11,0.999999996878004,0.991993540794221,0.9999999975597733,0.9959841751790431
0.012,8.571382922571074,0.4000000794410566,-7.9582659793921e-11,0.9999999968797569,0.9919935407956891,0.999999997560644,0.9959841751801959
0.014,8.571382919467847,0.40000007936439436,-9.281661082925928e-11,0.999999996881828,0.9919935407974237,0.9999999975616726,0.995984175181558
0.016,8.571382915888442,0.4000000792759687,-1.0603680436328656e-10,0.9999999968842168,0.9919935407994246,0.9999999975628592,0.9959841751831292
0.018,8.571382911833386,0.4000000791757923,-1.1924128087857798e-10,0.999999996886923,0.9919935408016911,0.9999999975642032,0.995984175184909
0.02,8.571382907303281,0.4000000790638806,-1.3242808316142144e-10,0.9999999968899463,0.9919935408042234,0.9999999975657048,0.9959841751868974
0.022,8.571382902298799,0.40000007894024986,-1.455952566503043e-10,0.9999999968932864,0.9919935408070208,0.9999999975673637,0.9959841751890941
0.024,8.571382896820682,0.40000007880491817,-1.587408496641259e-10,0.9999999968969423,0.9919935408100828,0.9999999975691796,0.9959841751914986
0.026,8.57138289086974,0.4000000786579058,-1.718629137414323e-10,0.9999999969009139,0.9919935408134093,0.9999999975711522,0.9959841751941106
0.028,8.571382884446859,0.40000007849923475,-1.849595038871326e-10,0.9999999969052004,0.9919935408169995,0.9999999975732812,0.9959841751969299
0.03,8.571382877552985,0.40000007832892837,-1.9802867890402382e-10,0.9999999969098012,0.9919935408208531,0.9999999975755663,0.995984175199956
0.032,8.571382870189145,0.40000007814701183,-2.110685016549269e-10,0.9999999969147157,0.9919935408249692,0.9999999975780072,0.995984175203188
0.034,8.571382862356428,0.40000007795351217,-2.2407703933407456e-10,0.9999999969199432,0.9919935408293474,0.9999999975806037,0.9959841752066262
0.036,8.571382854055997,0.4000000777484581,-2.370523637863004e-10,0.9999999969254828,0.9919935408339872,0.9999999975833549,0.9959841752102695
0.038,8.57138284528908,0.40000007753188,-2.4999255178613665e-10,0.9999999969313338,0.9919935408388877,0.9999999975862609,0.9959841752141175
0.04,8.571382836056976,0.40000007730380976,-2.6289568530457607e-10,0.9999999969374952,0.9919935408440481,0.9999999975893211,0.9959841752181697
0.042,8.571382826361058,0.4000000770642815,-2.757598517974216e-10,0.999999996943966,0.9919935408494679,0.999999997592535,0.9959841752224257
0.044,8.571382816202759,0.4000000768133306,-2.885831445244753e-10,0.9999999969507455,0.991993540855146,0.9999999975959022,0.9959841752268845
0.046,8.571382805583585,0.4000000765509941,-3.0136366278237724e-10,0.9999999969578325,0.9919935408610817,0.9999999975994222,0.9959841752315455
