Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.40000002524778805,0.4,0.0,0.9999999913060581,0.9919935378249141,0.9999999954927361,0.995984172647476
1.0058283805847169e-10,34.40369990063831,0.4000000252477877,0.4,-2.9664577256427133e-19,0.9999999913060579,0.991993537824914,0.9999999954927361,0.9959841726474759
1.0058283805847169e-10,34.40369990063831,0.4000000252477877,0.4,-2.9664577256427133e-19,0.9999999913060579,0.991993537824914,0.9999999954927361,0.9959841726474759
0.002,34.40369990053213,0.4000000252451746,0.4,-5.898536470614414e-12,0.9999999913061286,0.9919935378249731,0.9999999954927712,0.9959841726475223
0.004,34.40369990021364,0.40000002523737466,0.4,-1.1795304128545102e-11,0.9999999913063405,0.9919935378251504,0.9999999954928764,0.9959841726476615
0.006,34.403699899682906,0.40000002522444644,0.4,-1.7689098195908518e-11,0.999999991306693,0.9919935378254449,0.9999999954930511,0.9959841726478927
0.008,34.40369989894007,0.4000000252064478,0.4,-2.3578727545635758e-11,0.9999999913071854,0.9919935378258559,0.9999999954932951,0.9959841726482157
0.01,34.4036998979853,0.40000002518343575,0.4,-2.9463014627976485e-11,0.9999999913078171,0.9919935378263824,0.9999999954936079,0.9959841726486295
0.012,34.40369989681881,0.4000000251554668,0.4,-3.5340795254334016e-11,0.9999999913085876,0.991993537827024,0.9999999954939889,0.9959841726491337
0.014,34.40369989544085,0.4000000251225959,0.4,-4.121091833570576e-11,0.9999999913094959,0.9919935378277801,0.9999999954944382,0.995984172649728
0.016,34.40369989385172,0.40000002508487764,0.4,-4.7072245824318706e-11,0.9999999913105414,0.9919935378286492,0.9999999954949547,0.9959841726504113
0.018,34.40369989205177,0.4000000250423673,0.4,-5.292365242613006e-11,0.9999999913117232,0.9919935378296312,0.9999999954955384,0.9959841726511832
0.02,34.40369989004135,0.4000000249951172,0.4,-5.876402556407924e-11,0.9999999913130408,0.9919935378307246,0.9999999954961887,0.9959841726520431
0.022,34.4036998878209,0.400000024943181,0.4,-6.459226526784372e-11,0.9999999913144934,0.9919935378319293,0.9999999954969052,0.9959841726529904
0.024,34.403699885390864,0.40000002488661107,0.4,-7.04072839014713e-11,0.9999999913160801,0.9919935378332443,0.9999999954976875,0.9959841726540246
0.026,34.403699882751745,0.40000002482545916,0.4,-7.620800617202661e-11,0.9999999913178,0.9919935378346684,0.999999995498535,0.9959841726551449
