Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,sCRX.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.334238120791895,0.40000002555787134,0.4,0.0,1.4351069202266544,0.9999999917469706,0.9919935380858338,0.9999999956670121,0.995984172865126
1.0058283805847169e-10,34.33423812079189,0.40000002555787134,0.4,-3.0028905759873483e-19,1.4351069202266542,0.9999999917469706,0.9919935380858338,0.9999999956670121,0.995984172865126
1.0058283805847169e-10,34.33423812079189,0.40000002555787134,0.4,-3.0028905759873483e-19,1.4351069202266542,0.9999999917469706,0.9919935380858338,0.9999999956670121,0.995984172865126
0.002,34.334238120684404,0.4000000255552262,0.4,-5.970980005862547e-12,1.4351069202266704,0.9999999917470423,0.9919935380858939,0.9999999956670478,0.9959841728651732
0.004,34.334238120361995,0.4000000255473303,0.4,-1.1940169463658754e-11,1.435106920226427,0.9999999917472567,0.9919935380860732,0.9999999956671541,0.995984172865314
0.006,34.33423811982475,0.4000000255342434,0.4,-1.7906348801178007e-11,1.435106920225594,0.9999999917476137,0.9919935380863713,0.999999995667331,0.9959841728655481
0.008,34.334238119072786,0.4000000255160237,0.4,-2.3868312328320796e-11,1.435106920223942,0.9999999917481119,0.9919935380867871,0.999999995667578,0.9959841728658748
0.01,34.33423811810629,0.4000000254927293,0.4,-2.9824867964730924e-11,1.4351069202213123,0.9999999917487513,0.9919935380873202,0.9999999956678945,0.9959841728662937
0.012,34.334238116925476,0.4000000254644158,0.4,-3.577483716629943e-11,1.4351069202175915,0.9999999917495306,0.9919935380879694,0.9999999956682802,0.9959841728668041
0.014,34.334238115530596,0.40000002543114055,0.4,-4.17170546052405e-11,1.435106920212698,0.9999999917504493,0.9919935380887341,0.9999999956687344,0.995984172867405
0.016,34.334238113921955,0.40000002539295815,0.4,-4.7650368154959936e-11,1.4351069202065705,0.9999999917515062,0.9919935380896134,0.9999999956692569,0.9959841728680962
0.018,34.3342381120999,0.4000000253499234,0.4,-5.3573638637142195e-11,1.4351069201991633,0.9999999917527012,0.9919935380906063,0.9999999956698472,0.9959841728688769
0.02,34.33423811006479,0.4000000253020902,0.4,-5.948573962287868e-11,1.4351069201904383,0.9999999917540326,0.9919935380917121,0.9999999956705046,0.9959841728697462
0.022,34.334238107817065,0.40000002524951256,0.4,-6.538555735052502e-11,1.4351069201803666,0.9999999917555001,0.9919935380929298,0.9999999956712288,0.9959841728707037
0.024,34.33423810535719,0.4000000251922427,0.4,-7.127199065436671e-11,1.435106920168922,0.9999999917571023,0.9919935380942585,0.9999999956720191,0.9959841728717487
0.026,34.33423810268565,0.4000000251303337,0.4,-7.714395068360469e-11,1.4351069201560822,0.9999999917588384,0.9919935380956972,0.999999995672875,0.9959841728728802
0.028,34.33423809980301,0.4000000250638368,0.4,-8.300036093478006e-11,1.4351069201418283,0.9999999917607073,0.991993538097245,0.999999995673796,0.9959841728740978
0.03,34.33423809670983,0.4000000249928039,0.4,-8.884015704209412e-11,1.4351069201261415,0.999999991762708,0.991993538098901,0.9999999956747816,0.9959841728754003
0.032,34.33423809340673,0.4000000249172855,0.4,-9.466228676227688e-11,1.435106920109005,0.9999999917648396,0.9919935381006642,0.9999999956758312,0.9959841728767876
0.034,34.33423808989437,0.40000002483733277,0.4,-1.0046570973680556e-10,1.4351069200904032,0.9999999917671007,0.9919935381025337,0.9999999956769441,0.9959841728782584
0.036,34.334238086173436,0.40000002475299584,0.4,-1.0624939754162258e-10,1.4351069200703213,0.9999999917694905,0.9919935381045084,0.99999999567812,0.9959841728798122
0.038,34.33423808224466,0.40000002466432444,0.4,-1.1201233355311331e-10,1.4351069200487447,0.9999999917720076,0.9919935381065872,0.999999995679358,0.9959841728814481
0.04,34.33423807810881,0.40000002457136824,0.4,-1.1775351284218522e-10,1.4351069200256605,0.999999991774651,0.9919935381087692,0.9999999956806578,0.9959841728831653
0.042,34.334238073766684,0.4000000244741768,0.4,-1.234719421072568e-10,1.435106920001056,0.9999999917774196,0.9919935381110536,0.9999999956820186,0.9959841728849631
