Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eXST1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
9.46,3.7629361037694933,0.3763424751047366,0.4,-0.00014929497612676905,9.8011750149267,1.470238872232177,1.2714323111977808,1.185966161619935,1.228649675673954
9.462,3.757661425258213,0.37620277709430455,0.4,-0.00014373736567787642,9.80118445885035,1.4702412334070292,1.2714334590339906,1.1859664763781026,1.2286503557244728
9.464,3.752587389056056,0.3760700851259844,0.4,-0.00013814845447624854,9.801193558462133,1.4702435223536099,1.2714345761130856,1.185966792955881,1.2286510238492825
9.466,3.7477150924369855,0.37594442496550323,0.4,-0.00013252988534099612,9.801202312846108,1.4702457387674062,1.2714356623903376,1.1859671114431813,1.2286516800841993
9.468,3.743045573430735,0.3758258203318611,0.4,-0.0001268833067182695,9.801210721138595,1.4702478823588345,1.2714367178218422,1.1859674319220939,1.2286523244606082
9.47,3.7385798106288877,0.3757142928940146,0.4,-0.00012121037220219018,9.801218782527382,1.4702499528530777,1.2714377423643233,1.1859677544667055,1.228652957005268
9.472,3.734318723008171,0.3756098622681532,0.4,-0.00011551274005507193,9.801226496250937,1.4702519499899291,1.2714387359749457,1.1859680791429357,1.2286535777401306
9.474,3.730263169771034,0.3755125460155692,0.4,-0.00010979207272711927,9.801233861597716,1.4702538735236408,1.271439698611144,1.1859684060083762,1.2286541866821716
9.476,3.7264139502035567,0.37542235964111786,0.4,-0.00010405003637578808,9.801240877905464,1.4702557232227722,1.2714406302304524,1.1859687351121464,1.2286547838432282
9.478,3.7227718035506325,0.375339316592271,0.4,-9.82883003848552e-05,9.801247544560594,1.4702574988700503,1.2714415307903566,1.185969066494762,1.2286553692298585
9.48,3.719337408908473,0.3752634282587593,0.4,-9.25085368833805e-05,9.801253860997624,1.4702592002622286,1.2714424002481455,1.185969400188011,1.2286559428432002
9.482,3.7161113851344543,0.37519470397280674,0.4,-8.671242026475092e-05,9.801259826698635,1.470260827209955,1.2714432385607837,1.1859697362148471,1.2286565046788522
9.484,3.7130942907742335,0.3751331510099525,0.4,-8.090162670581591e-05,9.801265441192793,1.470262379537646,1.2714440456847886,1.1859700745892925,1.2286570547267646
9.486,3.7102866240062173,0.3750787745904612,0.4,-7.507783368640588e-05,9.801270704055923,1.4702638570833593,1.2714448215761225,1.1859704153163533,1.228657592971138
9.488,3.7076888226032847,0.37503157788131913,0.4,-6.924271950924208e-05,9.80127561491014,1.470265259698684,1.271445566190095,1.1859707583919483,1.2286581193903419
9.49,3.7053012639117924,0.37499156199881534,0.4,-6.339796282042592e-05,9.801280173423498,1.470266587248626,1.2714462794812766,1.1859711038028495,1.2286586339568384
9.492,3.7031242648478457,0.37495872601170643,0.4,-5.754524213069116e-05,9.801284379309735,1.4702678396115043,1.271446961403426,1.1859714515266357,1.2286591366371267
9.494,3.7011580819107706,0.3749330669449607,0.4,-5.1686235337461344e-05,9.80128823232804,1.4702690166788548,1.2714476119094267,1.1859718015316594,1.2286596273916923
9.496,3.6994029112137743,0.37491457978408355,0.4,-4.582261924789459e-05,9.80129173228287,1.4702701183553348,1.2714482309512358,1.1859721537770243,1.228660106174974
9.498,3.697858888531779,0.37490325748001896,0.4,-3.9956069103102724e-05,9.80129487902383,1.470271144558641,1.2714488184798471,1.1859725082125772,1.2286605729353413
9.5,3.6965260893663294,0.3748990909546246,0.4,-3.4088258103549285e-05,9.801297672445617,1.4702720952194293,1.2714493744452642,1.1859728647789125,1.228661027615088
