Time,wT4G1.P,wT4G1.Q,GEN1.V,FAULT.V,GEN2.V
0.453333, 0.015, -0.0566568, 1, 1.0001, 1
0.458333, 0.015, -0.0566568, 1, 1.0001, 1
0.463333, 0.015, -0.0566568, 1, 1.0001, 1
0.468333, 0.015, -0.0566568, 1, 1.0001, 1
0.473333, 0.015, -0.0566568, 1, 1.0001, 1
0.478333, 0.015, -0.0566568, 1, 1.0001, 1
0.483333, 0.015, -0.0566568, 1, 1.0001, 1
0.488333, 0.015, -0.0566568, 1, 1.0001, 1
0.493333, 0.015, -0.0566568, 1, 1.0001, 1
0.498333, 0.015, -0.0566568, 1, 1.0001, 1
0.503333, 0.015, -0.0566568, 1, 1.0001, 1
0.508333, 0.015, -0.0566568, 1, 1.0001, 1
0.513333, 0.015, -0.0566568, 1, 1.0001, 1
0.518333, 0.015, -0.0566568, 1, 1.0001, 1
0.523333, 0.015, -0.0566568, 1, 1.0001, 1
0.528333, 0.015, -0.0566568, 1, 1.0001, 1
0.533333, 0.015, -0.0566568, 1, 1.0001, 1
0.538333, 0.015, -0.0566568, 1, 1.0001, 1
0.543333, 0.015, -0.0566568, 1, 1.0001, 1
0.548333, 0.015, -0.0566568, 1, 1.0001, 1
0.553333, 0.015, -0.0566568, 1, 1.0001, 1
0.558333, 0.015, -0.0566568, 1, 1.0001, 1
0.563333, 0.015, -0.0566568, 1, 1.0001, 1
0.568333, 0.015, -0.0566568, 1, 1.0001, 1
0.573333, 0.015, -0.0566568, 1, 1.0001, 1
0.578333, 0.015, -0.0566568, 1, 1.0001, 1
0.583333, 0.015, -0.0566568, 1, 1.0001, 1
0.588333, 0.015, -0.0566568, 1, 1.0001, 1
0.593333, 0.015, -0.0566568, 1, 1.0001, 1
0.598333, 0.015, -0.0566568, 1, 1.0001, 1
0.603333, 0.015, -0.0566568, 1, 1.0001, 1
0.608333, 0.015, -0.0566568, 1, 1.0001, 1
0.613333, 0.015, -0.0566568, 1, 1.0001, 1
0.618333, 0.015, -0.0566568, 1, 1.0001, 1
0.623333, 0.015, -0.0566568, 1, 1.0001, 1
0.628333, 0.015, -0.0566568, 1, 1.0001, 1
0.633333, 0.015, -0.0566568, 1, 1.0001, 1
0.638333, 0.015, -0.0566568, 1, 1.0001, 1
0.643333, 0.015, -0.0566568, 1, 1.0001, 1
0.648333, 0.015, -0.0566568, 1, 1.0001, 1
0.653333, 0.015, -0.0566568, 1, 1.0001, 1
0.658333, 0.015, -0.0566568, 1, 1.0001, 1
0.663333, 0.015, -0.0566568, 1, 1.0001, 1
0.668333, 0.015, -0.0566568, 1, 1.0001, 1
0.673333, 0.015, -0.0566568, 1, 1.0001, 1
0.678333, 0.015, -0.0566568, 1, 1.0001, 1
0.683333, 0.015, -0.0566568, 1, 1.0001, 1
0.688333, 0.015, -0.0566568, 1, 1.0001, 1
0.693333, 0.015, -0.0566568, 1, 1.0001, 1
0.698333, 0.015, -0.0566568, 1, 1.0001, 1
0.703333, 0.015, -0.0566568, 1, 1.0001, 1
0.708333, 0.015, -0.0566568, 1, 1.0001, 1
0.713333, 0.015, -0.0566568, 1, 1.0001, 1
0.718333, 0.015, -0.0566568, 1, 1.0001, 1
0.723333, 0.015, -0.0566568, 1, 1.0001, 1
0.728333, 0.015, -0.0566568, 1, 1.0001, 1
0.733333, 0.015, -0.0566568, 1, 1.0001, 1
0.738333, 0.015, -0.0566568, 1, 1.0001, 1
0.743333, 0.015, -0.0566568, 1, 1.0001, 1
0.748333, 0.015, -0.0566568, 1, 1.0001, 1
0.753333, 0.015, -0.0566568, 1, 1.0001, 1
0.758333, 0.015, -0.0566568, 1, 1.0001, 1
0.763333, 0.015, -0.0566568, 1, 1.0001, 1
0.768333, 0.015, -0.0566568, 1, 1.0001, 1
0.773333, 0.015, -0.0566568, 1, 1.0001, 1
0.778333, 0.015, -0.0566568, 1, 1.0001, 1
0.783333, 0.015, -0.0566568, 1, 1.0001, 1
