Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,eSST4B.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.84595,1.346903,0.0,8.41,1.5608517,1.3136942,1.2114725,1.2622993
1e-10,28.84595,1.346903,-1.1836292e-11,8.41,1.5608517,1.3136942,1.2114725,1.2622993
1e-10,28.84595,1.346903,-1.1836292e-11,8.41,1.5608517,1.3136942,1.2114725,1.2622993
0.002,28.841686,1.346726,-0.00023669627,8.41,1.560859,1.3137035,1.2114803,1.262308
0.004,28.828907,1.3461968,-0.0004732627,8.41,1.5608809,1.3137311,1.2115036,1.2623339
0.006,28.807629,1.3453189,-0.00070956256,8.41,1.5609176,1.3137771,1.2115424,1.262377
0.008,28.777842,1.3440926,-0.0009455862,8.41,1.560969,1.3138415,1.2115965,1.2624375
0.01,28.739622,1.3425273,-0.001181011,8.41,1.5610353,1.313924,1.2116659,1.2625147
0.012,28.692955,1.340621,-0.0014158962,8.41,1.5611165,1.3140246,1.2117503,1.2626089
0.014,28.63784,1.3383727,-0.0016502646,8.41,1.5612122,1.3141431,1.2118497,1.2627199
0.016,28.574272,1.3357819,-0.001884116,8.41,1.5613227,1.3142794,1.2119641,1.2628475
0.018,28.502401,1.3328635,-0.0021169863,8.41,1.5614477,1.3144331,1.212093,1.2629914
0.02,28.422182,1.329612,-0.0023490184,8.41,1.5615873,1.3146042,1.2122362,1.2631514
0.022,28.333584,1.3260243,-0.0025802995,8.41,1.5617412,1.3147924,1.2123936,1.2633274
0.024,28.23661,1.3220997,-0.0028108298,8.41,1.5619094,1.3149976,1.2125653,1.2635192
0.026,28.13149,1.3178569,-0.003040059,8.41,1.5620916,1.315219,1.2127503,1.263726
0.028,28.0182,1.3132936,-0.0032680412,8.41,1.5622876,1.3154565,1.2129486,1.2639476
0.03,27.896667,1.3084025,-0.0034949514,8.41,1.5624973,1.31571,1.2131599,1.2641842
0.032,27.766895,1.303183,-0.00372079,8.41,1.5627204,1.3159791,1.2133843,1.2644353
0.034,27.62914,1.2976527,-0.003945087,8.41,1.5629567,1.316263,1.2136207,1.2647
0.036,27.48346,1.2918143,-0.0041677603,8.41,1.5632058,1.3165613,1.2138689,1.264978
0.038,27.329716,1.2856575,-0.0043890383,8.41,1.5634676,1.3168741,1.2141287,1.2652694
0.04,27.167913,1.2791815,-0.0046089217,8.41,1.5637419,1.317201,1.2144002,1.2655736
0.042,26.998241,1.2723967,-0.0048271664,8.41,1.5640281,1.3175411,1.2146822,1.2658901
0.044,26.820894,1.265313,-0.0050435388,8.41,1.5643258,1.3178937,1.2149743,1.266218
0.046,26.6358,1.2579255,-0.005258124,8.41,1.5646347,1.3182585,1.2152762,1.266557
0.048,26.443012,1.2502365,-0.0054708524,8.41,1.5649544,1.3186352,1.2155877,1.2669069
0.05,26.242592,1.242248,-0.005681654,8.41,1.5652847,1.3190233,1.215908,1.267267
0.052,26.03459,1.2339625,-0.0058904598,8.41,1.5656253,1.319422,1.216237,1.2676368
0.054,25.819065,1.2253821,-0.0060971985,8.41,1.5659758,1.319831,1.2165738,1.268016
0.056,25.596071,1.2165089,-0.0063018017,8.41,1.5663357,1.3202498,1.2169183,1.2684039
0.058,25.365768,1.2073494,-0.0065041664,8.41,1.5667044,1.3206775,1.2172697,1.2687998
0.06,25.128407,1.1979132,-0.0067041623,8.41,1.5670811,1.3211132,1.217627,1.2692026
