Time,cSVGN1.Q,GEN1.V,LOAD.V,GEN2.V,SHUNT.V,FAULT.V
2.20271, 0.09553, 0.925667, 0.95197, 0.973295, 0.967567, 0.962631
2.20276, 0.0955439, 0.925761, 0.952028, 0.973334, 0.967616, 0.962679
2.20281, 0.0955579, 0.925855, 0.952085, 0.973372, 0.967664, 0.962727
2.20286, 0.0955718, 0.925949, 0.952143, 0.973411, 0.967713, 0.962775
2.20291, 0.0955857, 0.926043, 0.9522, 0.973449, 0.967761, 0.962822
2.20296, 0.0955996, 0.926137, 0.952257, 0.973488, 0.967809, 0.96287
2.20301, 0.0956135, 0.92623, 0.952314, 0.973526, 0.967857, 0.962918
2.20306, 0.0956274, 0.926324, 0.952371, 0.973564, 0.967905, 0.962965
2.20311, 0.0956413, 0.926417, 0.952428, 0.973603, 0.967953, 0.963013
2.20316, 0.0956551, 0.92651, 0.952485, 0.973641, 0.968001, 0.96306
2.20321, 0.0956689, 0.926603, 0.952541, 0.973679, 0.968049, 0.963108
2.20326, 0.0956827, 0.926696, 0.952598, 0.973717, 0.968097, 0.963155
2.20331, 0.0956965, 0.926789, 0.952655, 0.973755, 0.968145, 0.963203
2.20336, 0.0957103, 0.926882, 0.952711, 0.973793, 0.968193, 0.96325
2.20341, 0.095724, 0.926974, 0.952767, 0.973831, 0.96824, 0.963297
2.20346, 0.0957378, 0.927067, 0.952824, 0.973869, 0.968288, 0.963344
2.20351, 0.0957515, 0.927159, 0.95288, 0.973907, 0.968335, 0.963391
2.20356, 0.0957652, 0.927251, 0.952936, 0.973944, 0.968383, 0.963438
2.20361, 0.0957789, 0.927343, 0.952992, 0.973982, 0.96843, 0.963485
2.20366, 0.0957926, 0.927435, 0.953048, 0.97402, 0.968477, 0.963532
2.20371, 0.0958062, 0.927527, 0.953104, 0.974057, 0.968525, 0.963579
2.20376, 0.0958199, 0.927619, 0.95316, 0.974095, 0.968572, 0.963625
2.20381, 0.0958335, 0.92771, 0.953216, 0.974132, 0.968619, 0.963672
2.20386, 0.0958471, 0.927801, 0.953272, 0.97417, 0.968666, 0.963719
2.20391, 0.0958607, 0.927893, 0.953327, 0.974207, 0.968713, 0.963765
2.20396, 0.0958743, 0.927984, 0.953383, 0.974245, 0.96876, 0.963812
2.20401, 0.0958879, 0.928075, 0.953438, 0.974282, 0.968807, 0.963858
2.20406, 0.0959014, 0.928166, 0.953494, 0.974319, 0.968853, 0.963904
2.20411, 0.095915, 0.928257, 0.953549, 0.974356, 0.9689, 0.96395
2.20416, 0.0959285, 0.928347, 0.953604, 0.974393, 0.968947, 0.963997
2.20421, 0.095942, 0.928438, 0.953659, 0.974431, 0.968993, 0.964043
2.20426, 0.0959555, 0.928528, 0.953714, 0.974468, 0.96904, 0.964089
2.20431, 0.0959689, 0.928619, 0.953769, 0.974505, 0.969086, 0.964135
2.20436, 0.0959824, 0.928709, 0.953824, 0.974541, 0.969133, 0.964181
2.20441, 0.0959958, 0.928799, 0.953879, 0.974578, 0.969179, 0.964227
