Time(s), generator.delta, generator.PELEC, generator.PMECH, generator.SPEED, GEN1.V, LOAD.V, GEN2.V, FAULT.V
0.09, 20.323, 0.4, 0.4, 6.92684e-10, 0.0206667, 1, 1, 0.991993
0.095, 20.323, 0.4, 0.4, 7.26474e-10, 0.0206667, 1, 1, 0.991993
0.1, 20.323, 0.4, 0.4, 7.60263e-10, 0.0206667, 1, 1, 0.991993
0.105, 20.323, 0.4, 0.4, 7.94053e-10, 0.0206667, 1, 1, 0.991993
0.11, 20.323, 0.4, 0.4, 8.27842e-10, 0.0206667, 1, 1, 0.991993
0.115, 20.323, 0.4, 0.4, 8.61632e-10, 0.0206667, 1, 1, 0.991993
0.12, 20.323, 0.4, 0.4, 8.95421e-10, 0.0206667, 1, 1, 0.991993
0.125, 20.323, 0.4, 0.4, 9.29211e-10, 0.0206667, 1, 1, 0.991993
0.13, 20.323, 0.4, 0.4, 9.63e-10, 0.0206667, 1, 1, 0.991993
0.135, 20.323, 0.4, 0.4, 9.9679e-10, 0.0206667, 1, 1, 0.991993
0.14, 20.323, 0.4, 0.4, 1.03058e-09, 0.0206667, 1, 1, 0.991993
0.145, 20.323, 0.4, 0.4, 1.06437e-09, 0.0206667, 1, 1, 0.991993
0.15, 20.323, 0.4, 0.4, 1.09816e-09, 0.0206667, 1, 1, 0.991993
0.155, 20.323, 0.4, 0.4, 1.13195e-09, 0.0206667, 1, 1, 0.991993
0.16, 20.323, 0.4, 0.4, 1.16574e-09, 0.0206667, 1, 1, 0.991993
0.165, 20.323, 0.4, 0.4, 1.19953e-09, 0.0206667, 1, 1, 0.991993
0.17, 20.323, 0.4, 0.4, 1.23332e-09, 0.0206667, 1, 1, 0.991993
0.175, 20.323, 0.4, 0.4, 1.26711e-09, 0.0206667, 1, 1, 0.991993
0.18, 20.323, 0.4, 0.4, 1.3009e-09, 0.0206667, 1, 1, 0.991993
0.185, 20.323, 0.4, 0.4, 1.33468e-09, 0.0206667, 1, 1, 0.991993
0.19, 20.323, 0.4, 0.4, 1.36847e-09, 0.0206667, 1, 1, 0.991993
0.195, 20.323, 0.4, 0.4, 1.40226e-09, 0.0206667, 1, 1, 0.991993
0.2, 20.323, 0.4, 0.4, 1.43605e-09, 0.0206667, 1, 1, 0.991993
0.205, 20.323, 0.4, 0.4, 1.46984e-09, 0.0206667, 1, 1, 0.991993
0.21, 20.323, 0.4, 0.4, 1.50363e-09, 0.0206667, 1, 1, 0.991993
0.215, 20.323, 0.4, 0.4, 1.53742e-09, 0.0206667, 1, 1, 0.991993
0.22, 20.323, 0.4, 0.4, 1.57121e-09, 0.0206667, 1, 1, 0.991993
0.225, 20.323, 0.4, 0.4, 1.605e-09, 0.0206667, 1, 1, 0.991993
0.23, 20.323, 0.4, 0.4, 1.63879e-09, 0.0206667, 1, 1, 0.991993
0.235, 20.323, 0.4, 0.4, 1.67258e-09, 0.0206667, 1, 1, 0.991993
0.24, 20.323, 0.4, 0.4, 1.70637e-09, 0.0206667, 1, 1, 0.991993
0.245, 20.323, 0.4, 0.4, 1.74016e-09, 0.0206667, 1, 1, 0.991993
0.25, 20.323, 0.4, 0.4, 1.77395e-09, 0.0206667, 1, 1, 0.991993
0.255, 20.323, 0.4, 0.4, 1.80774e-09, 0.0206667, 1, 1, 0.991993
0.26, 20.323, 0.4, 0.4, 1.84153e-09, 0.0206667, 1, 1, 0.991993
0.265, 20.323, 0.4, 0.4, 1.87532e-09, 0.0206667, 1, 1, 0.991993
0.27, 20.323, 0.4, 0.4, 1.90911e-09, 0.0206667, 1, 1, 0.991993
0.275, 20.323, 0.4, 0.4, 1.9429e-09, 0.0206667, 1, 1, 0.991993
0.28, 20.323, 0.4, 0.4, 1.97669e-09, 0.0206667, 1, 1, 0.991993
0.285, 20.323, 0.4, 0.4, 2.01047e-09, 0.0206667, 1, 1, 0.991993
0.29, 20.323, 0.4, 0.4, 2.04426e-09, 0.0206667, 1, 1, 0.991993
0.295, 20.323, 0.4, 0.4, 2.07805e-09, 0.0206667, 1, 1, 0.991993
0.3, 20.323, 0.4, 0.4, 2.11184e-09, 0.0206667, 1, 1, 0.991993
0.305, 20.323, 0.4, 0.4, 2.14563e-09, 0.0206667, 1, 1, 0.991993
0.31, 20.323, 0.4, 0.4, 2.17942e-09, 0.0206667, 1, 1, 0.991993
0.315, 20.323, 0.4, 0.4, 2.21321e-09, 0.0206667, 1, 1, 0.991993
0.32, 20.323, 0.4, 0.4, 2.247e-09, 0.0206667, 1, 1, 0.991993
0.325, 20.323, 0.4, 0.4, 2.28079e-09, 0.0206667, 1, 1, 0.991993
0.33, 20.323, 0.4, 0.4, 2.31458e-09, 0.0206667, 1, 1, 0.991993
0.335, 20.323, 0.4, 0.4, 2.34837e-09, 0.0206667, 1, 1, 0.991993
0.34, 20.323, 0.4, 0.4, 2.38216e-09, 0.0206667, 1, 1, 0.991993
0.345, 20.323, 0.4, 0.4, 2.41595e-09, 0.0206667, 1, 1, 0.991993
0.35, 20.323, 0.4, 0.4, 2.44974e-09, 0.0206667, 1, 1, 0.991993
0.355, 20.323, 0.4, 0.4, 2.48353e-09, 0.0206667, 1, 1, 0.991993
0.36, 20.323, 0.4, 0.4, 2.51732e-09, 0.0206667, 1, 1, 0.991993
0.365, 20.323, 0.4, 0.4, 2.55111e-09, 0.0206667, 1, 1, 0.991993
0.37, 20.323, 0.4, 0.4, 2.58489e-09, 0.0206667, 1, 1, 0.991993
0.375, 20.323, 0.4, 0.4, 2.61868e-09, 0.0206667, 1, 1, 0.991993
0.38, 20.323, 0.4, 0.4, 2.65247e-09, 0.0206667, 1, 1, 0.991993
0.385, 20.323, 0.4, 0.4, 2.68626e-09, 0.0206667, 1, 1, 0.991993
0.39, 20.323, 0.4, 0.4, 2.72005e-09, 0.0206667, 1, 1, 0.991993
0.395, 20.323, 0.4, 0.4, 2.75384e-09, 0.0206667, 1, 1, 0.991993
0.4, 20.323, 0.4, 0.4, 2.78763e-09, 0.0206667, 1, 1, 0.991993
0.405, 20.323, 0.4, 0.4, 2.82142e-09, 0.0206667, 1, 1, 0.991993
0.41, 20.323, 0.4, 0.4, 2.85521e-09, 0.0206667, 1, 1, 0.991993
0.415, 20.323, 0.4, 0.4, 2.889e-09, 0.0206667, 1, 1, 0.991993
0.42, 20.323, 0.4, 0.4, 2.92279e-09, 0.0206667, 1, 1, 0.991993
0.425, 20.323, 0.4, 0.4, 2.95658e-09, 0.0206667, 1, 1, 0.991993
0.43, 20.323, 0.4, 0.4, 2.99037e-09, 0.0206667, 1, 1, 0.991993
0.435, 20.323, 0.4, 0.4, 3.02416e-09, 0.0206667, 1, 1, 0.991993
0.44, 20.323, 0.4, 0.4, 3.05795e-09, 0.0206667, 1, 1, 0.991993
0.445, 20.323, 0.4, 0.4, 3.09174e-09, 0.0206667, 1, 1, 0.991993
0.45, 20.323, 0.4, 0.4, 3.12553e-09, 0.0206667, 1, 1, 0.991993
0.455, 20.323, 0.4, 0.4, 3.15932e-09, 0.0206667, 1, 1, 0.991993
0.46, 20.323, 0.4, 0.4, 3.1931e-09, 0.0206667, 1, 1, 0.991993
0.465, 20.323, 0.4, 0.4, 3.22689e-09, 0.0206667, 1, 1, 0.991993
0.47, 20.323, 0.4, 0.4, 3.26068e-09, 0.0206667, 1, 1, 0.991993
0.475, 20.323, 0.4, 0.4, 3.29447e-09, 0.0206667, 1, 1, 0.991993
0.48, 20.323, 0.4, 0.4, 3.32826e-09, 0.0206667, 1, 1, 0.991993
0.485, 20.323, 0.4, 0.4, 3.36205e-09, 0.0206667, 1, 1, 0.991993
0.49, 20.323, 0.4, 0.4, 3.39584e-09, 0.0206667, 1, 1, 0.991993
0.495, 20.323, 0.4, 0.4, 3.42963e-09, 0.0206667, 1, 1, 0.991993
0.5, 20.323, 0.4, 0.4, 3.46342e-09, 0.0206667, 1, 1, 0.991993
