Time(s); generator.delta; generator.PELEC; generator.PMECH; generator.SPEED; GEN1.V; LOAD.V; GEN2.V; FAULT.V
-0.01; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
-0.005; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.005; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.01; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.015; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.02; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.025; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.03; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.035; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.04; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.045; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.05; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.055; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.06; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.065; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.07; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.075; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.08; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.085; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.09; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.095; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.1; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.105; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.11; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.115; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.12; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.125; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.13; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.135; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.14; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.145; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.15; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.155; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.16; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
0.165; 28.846; 0.4; 0.4; 0; 0; 1; 0.466667; 0.466667
