Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eXST1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
8.776,17572.705,7.156401e-05,0.2770856,0.32027817,0.053503573,2.1436688e-29,0.012824165,0.0064120824
8.778,17582.684,7.148696e-05,0.27715877,0.3201057,0.05347476,1.1975439e-29,0.012824165,0.0064120824
8.78,17592.662,7.1409995e-05,0.27723193,0.31993333,0.053445965,1.7916155e-17,0.012824165,0.0064120824
8.782,17602.645,7.13331e-05,0.27730507,0.31976104,0.053417183,4.789748e-29,0.012824165,0.0064120824
8.784,17612.629,7.12563e-05,0.27737823,0.31958884,0.053388417,1.7897122e-29,0.012824165,0.0064120824
8.786,17622.615,7.117957e-05,0.27745137,0.31941673,0.05335967,1.17358524e-17,0.012824165,0.0064120824
8.788,17632.605,7.1102935e-05,0.2775245,0.31924474,0.05333093,2.6332688e-17,0.012824165,0.0064120824
8.79,17642.598,7.102637e-05,0.27759764,0.3190728,0.053302214,2.0720438e-17,0.012824165,0.0064120824
8.792,17652.592,7.094989e-05,0.27767077,0.318901,0.05327351,5.420958e-30,0.012824165,0.0064120824
8.794,17662.59,7.08735e-05,0.2777439,0.31872925,0.05324482,7.654088e-18,0.012824165,0.0064120824
8.796,17672.59,7.0797185e-05,0.277817,0.31855762,0.053216144,1.412057e-17,0.012824165,0.0064120824
8.798,17682.594,7.0720955e-05,0.27789015,0.31838605,0.05318749,1.2461501e-29,0.012824165,0.0064120824
8.8,17692.6,7.0644805e-05,0.27796325,0.3182146,0.053158846,6.0275245e-18,0.012824165,0.0064120824
8.802,17702.607,7.0568734e-05,0.27803636,0.31804323,0.053130217,6.72311e-30,0.012824165,0.0064120824
8.804,17712.617,7.0492744e-05,0.27810946,0.31787196,0.053101603,7.320116e-30,0.012824165,0.0064120824
8.806,17722.63,7.0416834e-05,0.27818257,0.31770074,0.053073004,4.568737e-30,0.012824165,0.0064120824
8.808,17732.648,7.034101e-05,0.27825567,0.31752965,0.053044423,7.935641e-30,0.012824165,0.0064120824
8.81,17742.666,7.026527e-05,0.27832878,0.31735864,0.053015854,3.8130574e-18,0.012824165,0.0064120824
8.812,17752.69,7.0189606e-05,0.27840185,0.31718773,0.052987304,2.2927596e-31,0.012824165,0.0064120824
8.814,17762.71,7.011402e-05,0.27847493,0.3170169,0.052958768,3.2283766e-30,0.012824165,0.0064120824
8.816,17772.738,7.003852e-05,0.27854803,0.31684616,0.052930243,1.9223305e-30,0.012824165,0.0064120824
8.818,17782.77,6.99631e-05,0.2786211,0.3166755,0.052901737,1.6973205e-17,0.012824165,0.0064120824
8.82,17792.8,6.9887756e-05,0.27869418,0.31650499,0.052873246,1.0264992e-29,0.012824165,0.0064120824
8.822,17802.834,6.98125e-05,0.27876723,0.31633452,0.05284477,2.1990557e-29,0.012824165,0.0064120824
8.824,17812.871,6.973732e-05,0.2788403,0.31616414,0.05281631,2.4051906e-18,0.012824165,0.0064120824
8.826,17822.912,6.9662216e-05,0.27891335,0.31599385,0.052787863,2.7441258e-29,0.012824165,0.0064120824
8.828,17832.953,6.95872e-05,0.27898642,0.31582367,0.05275943,2.4652735e-29,0.012824165,0.0064120824
8.83,17842.998,6.951226e-05,0.27905947,0.31565356,0.052731015,2.5412666e-17,0.012824165,0.0064120824
8.832,17853.045,6.94374e-05,0.27913252,0.31548354,0.052702613,1.183414e-17,0.012824165,0.0064120824
8.834,17863.096,6.936262e-05,0.27920556,0.31531364,0.052674226,3.3770598e-29,0.012824165,0.0064120824
8.836,17873.148,6.9287926e-05,0.2792786,0.3151438,0.05264586,1.20480966e-17,0.012824165,0.0064120824
