Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,iEEET2.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.106,34.4037,0.4,-2.815432e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.108,34.4037,0.4,-2.8586294e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.11,34.4037,0.4,-2.9014235e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.112,34.4037,0.4,-2.9438138e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.114,34.4037,0.4,-2.9858002e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.116,34.4037,0.4,-3.0273833e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.118,34.4037,0.4,-3.0685626e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.12,34.4037,0.4,-3.109338e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.122,34.4037,0.4,-3.1497102e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.124,34.4037,0.4,-3.1896785e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.126,34.4037,0.4,-3.2292433e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.128,34.4037,0.4,-3.2684042e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.13,34.4037,0.4,-3.3071615e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.132,34.4037,0.4,-3.3300906e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.134,34.4037,0.4,-3.3351655e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.136,34.4037,0.4,-3.34024e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.138,34.4037,0.4,-3.3453149e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.14,34.4037,0.4,-3.3503894e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.142,34.4037,0.4,-3.3554642e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.144,34.4037,0.4,-3.3605388e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.146,34.4037,0.4,-3.3656136e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.148,34.4037,0.4,-3.3706885e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.15,34.4037,0.4,-3.375763e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.152,34.4037,0.4,-3.3808378e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.154,34.4037,0.4,-3.3859124e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.156,34.4037,0.4,-3.3909872e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.158,34.4037,0.4,-3.3960618e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.16,34.4037,0.4,-3.4011366e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.162,34.4037,0.4,-3.4062111e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.164,34.4037,0.4,-3.411286e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.166,34.4037,0.4,-3.4163608e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.168,34.4037,0.4,-3.4214354e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.17,34.4037,0.4,-3.4265102e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.172,34.4037,0.4,-3.4315847e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.174,34.4037,0.4,-3.4366596e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.176,34.4037,0.4,-3.441734e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.178,34.4037,0.4,-3.446809e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.18,34.4037,0.4,-3.4518838e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.182,34.4037,0.4,-3.4569583e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.184,34.4037,0.4,-3.4620332e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.186,34.4037,0.4,-3.4671077e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.188,34.4037,0.4,-3.4721825e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.19,34.4037,0.4,-3.477257e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.192,34.4037,0.4,-3.482332e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.194,34.4037,0.4,-3.4874065e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.196,34.4037,0.4,-3.4924813e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.198,34.4037,0.4,-3.497556e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
