Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,sEXS.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.096,0.5992455,0.40000004,-5.2520327e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.098,0.5992455,0.40000004,-5.3597776e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.1,0.5992455,0.40000004,-5.4674465e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.102,0.5992455,0.40000004,-5.5750377e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.104,0.5992455,0.40000004,-5.682552e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.106,0.5992455,0.40000004,-5.78999e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.108,0.5992455,0.40000004,-5.8973504e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.11,0.5992455,0.40000004,-6.0046346e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.112,0.5992455,0.40000004,-6.111841e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.114,0.5992455,0.40000004,-6.2189714e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.116,0.5992455,0.40000004,-6.326024e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.118,0.5992455,0.40000004,-6.433e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.12,0.5992455,0.40000004,-6.5399e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.122,0.5992455,0.40000004,-6.646722e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.124,0.5992455,0.40000004,-6.753467e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.126,0.5992455,0.40000004,-6.860136e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.128,0.5992455,0.40000004,-6.966727e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.13,0.5992455,0.40000004,-7.0732414e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.132,0.5992455,0.40000004,-7.179201e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.134,0.5992455,0.40000004,-7.2844886e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.136,0.5992455,0.40000004,-7.389637e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.138,0.5992455,0.40000004,-7.494647e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.14,0.5992455,0.40000004,-7.599518e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.142,0.5992455,0.40000004,-7.70425e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.144,0.5992455,0.40000004,-7.8088436e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.146,0.5992455,0.40000004,-7.9132983e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.148,0.5992455,0.40000004,-8.017614e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.15,0.5992455,0.40000004,-8.121791e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.152,0.5992455,0.40000004,-8.2258295e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.154,0.5992455,0.40000004,-8.3297286e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.156,0.5992455,0.40000004,-8.4334895e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.158,0.5992455,0.40000004,-8.5371116e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.16,0.5992455,0.40000004,-8.6405944e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.162,0.5992455,0.40000004,-8.743939e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.164,0.5992455,0.40000004,-8.847144e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.166,0.5992455,0.40000004,-8.950211e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.168,0.5992455,0.40000004,-9.053139e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.17,0.5992455,0.40000004,-9.155928e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.172,0.5992455,0.40000004,-9.2585783e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.174,0.5992455,0.40000004,-9.36109e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.176,0.5992455,0.40000004,-9.463462e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.178,0.5992455,0.40000004,-9.565697e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.18,0.5992455,0.40000004,-9.667792e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.182,0.5992455,0.40000004,-9.769748e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.184,0.5992455,0.40000004,-9.871566e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.186,0.5992455,0.40000004,-9.973244e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.188,0.5992455,0.40000004,-1.0074784e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.19,0.5992455,0.40000004,-1.0176185e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.192,0.5992455,0.40000004,-1.0277449e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.194,0.5992455,0.40000004,-1.0378572e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.196,0.5992455,0.40000004,-1.0479557e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.198,0.5992455,0.40000004,-1.0580403e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.2,0.5992455,0.40000004,-1.068111e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.202,0.5992455,0.40000004,-1.0781679e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.204,0.5992455,0.40000004,-1.0882109e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.206,0.5992455,0.40000004,-1.0982399e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.208,0.5992455,0.40000004,-1.1082552e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.21,0.5992455,0.40000004,-1.1182565e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.212,0.5992455,0.40000004,-1.1282439e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.214,0.5992455,0.40000004,-1.1382175e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.216,0.5992455,0.40000004,-1.1481772e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.218,0.5992455,0.40000004,-1.158123e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.22,0.5992455,0.40000004,-1.168055e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.222,0.5992455,0.40000004,-1.177973e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.224,0.5992455,0.40000004,-1.1878772e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.226,0.5992454,0.40000004,-1.1977676e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.228,0.5992454,0.40000004,-1.2076439e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.23,0.5992454,0.40000004,-1.2175064e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.232,0.5992454,0.40000004,-1.2273551e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.234,0.5992454,0.40000004,-1.2371899e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.236,0.5992454,0.40000004,-1.2470108e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.238,0.5992454,0.40000004,-1.2568179e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.24,0.5992454,0.40000004,-1.266611e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.242,0.5992454,0.40000004,-1.2763902e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.244,0.5992454,0.40000004,-1.2861556e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.246,0.5992454,0.40000004,-1.2959072e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.248,0.5992454,0.40000004,-1.3056448e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.25,0.5992454,0.40000004,-1.3153686e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.252,0.5992454,0.40000004,-1.3250784e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.254,0.5992454,0.40000004,-1.3347744e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.256,0.5992454,0.40000004,-1.3444565e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.258,0.5992454,0.40000004,-1.3541248e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.26,0.5992454,0.40000004,-1.3637791e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.262,0.5992454,0.40000004,-1.3734196e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.264,0.5992454,0.40000004,-1.3827663e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.266,0.5992454,0.40000004,-1.392069e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.268,0.5992454,0.40000004,-1.4013488e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.27,0.5992454,0.40000004,-1.4106057e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.272,0.5992454,0.40000004,-1.4198396e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
