Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eSDC1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.11,0.60045785,0.40000004,-5.608319e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.112,0.60045785,0.40000004,-5.7084465e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.114,0.60045785,0.40000004,-5.808502e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.116,0.60045785,0.40000004,-5.908486e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.118,0.60045785,0.40000004,-6.0083977e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.12,0.60045785,0.40000004,-6.108237e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.122,0.60045785,0.40000004,-6.208005e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.124,0.60045785,0.40000004,-6.307701e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.126,0.60045785,0.40000004,-6.4073247e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.128,0.60045785,0.40000004,-6.5068767e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.13,0.60045785,0.40000004,-6.6063566e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.132,0.60045785,0.40000004,-6.7053113e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.134,0.60045785,0.40000004,-6.80363e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.136,0.60045785,0.40000004,-6.9018175e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.138,0.60045785,0.40000004,-6.9998746e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.14,0.60045785,0.40000004,-7.097801e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.142,0.60045785,0.40000004,-7.195597e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.144,0.60045785,0.40000004,-7.293262e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.146,0.60045785,0.40000004,-7.390797e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.148,0.60045785,0.40000004,-7.4882006e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.15,0.60045785,0.40000004,-7.585474e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.152,0.60045785,0.40000004,-7.682617e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
