Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eSST1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.044,0.60045785,0.40000004,-2.2627779e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.046,0.60045785,0.40000004,-2.3652164e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.048,0.60045785,0.40000004,-2.4676142e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.05,0.60045785,0.40000004,-2.5699712e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.052,0.60045785,0.40000004,-2.672287e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.054,0.60045785,0.40000004,-2.7745625e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.056,0.60045785,0.40000004,-2.8767969e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.058,0.60045785,0.40000004,-2.9789904e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.06,0.60045785,0.40000004,-3.081143e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.062,0.60045785,0.40000004,-3.183255e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.064,0.60045785,0.40000004,-3.2853262e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.066,0.60045785,0.40000004,-3.387296e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.068,0.60045785,0.40000004,-3.4890069e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.07,0.60045785,0.40000004,-3.5906458e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.072,0.60045785,0.40000004,-3.6922126e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.074,0.60045785,0.40000004,-3.7937073e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.076,0.60045785,0.40000004,-3.89513e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.078,0.60045785,0.40000004,-3.996481e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.08,0.60045785,0.40000004,-4.0977596e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.082,0.60045785,0.40000004,-4.1989662e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.084,0.60045785,0.40000004,-4.3001008e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.086,0.60045785,0.40000004,-4.4011633e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.088,0.60045785,0.40000004,-4.502154e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.09,0.60045785,0.40000004,-4.6030724e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.092,0.60045785,0.40000004,-4.703919e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.094,0.60045785,0.40000004,-4.8046933e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.096,0.60045785,0.40000004,-4.9053955e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.098,0.60045785,0.40000004,-5.006026e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.1,0.60045785,0.40000004,-5.106584e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.102,0.60045785,0.40000004,-5.2070703e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.104,0.60045785,0.40000004,-5.307485e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.106,0.60045785,0.40000004,-5.407827e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.108,0.60045785,0.40000004,-5.5080973e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.11,0.60045785,0.40000004,-5.608295e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.112,0.60045785,0.40000004,-5.7084215e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.114,0.60045785,0.40000004,-5.8084754e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.116,0.60045785,0.40000004,-5.9084576e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.118,0.60045785,0.40000004,-6.008367e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.12,0.60045785,0.40000004,-6.108205e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.122,0.60045785,0.40000004,-6.2079714e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.124,0.60045785,0.40000004,-6.307665e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.126,0.60045785,0.40000004,-6.407287e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.128,0.60045785,0.40000004,-6.506837e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.13,0.60045785,0.40000004,-6.6063144e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.132,0.60045785,0.40000004,-6.705261e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.134,0.60045785,0.40000004,-6.803564e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.136,0.60045785,0.40000004,-6.9017353e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.138,0.60045785,0.40000004,-6.999775e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.14,0.60045785,0.40000004,-7.0976836e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.142,0.60045785,0.40000004,-7.195461e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.144,0.60045785,0.40000004,-7.2931067e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.146,0.60045785,0.40000004,-7.390621e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.148,0.60045785,0.40000004,-7.4880036e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.15,0.60045785,0.40000004,-7.5852546e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.152,0.60045785,0.40000004,-7.682375e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.154,0.60045785,0.40000004,-7.7793627e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.156,0.60045785,0.40000004,-7.8762197e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.158,0.60045785,0.40000004,-7.972945e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.16,0.60045785,0.40000004,-8.0695395e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.162,0.6004578,0.40000004,-8.166002e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.164,0.6004578,0.40000004,-8.262333e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.166,0.6004578,0.40000004,-8.358533e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.168,0.6004578,0.40000004,-8.454601e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.17,0.6004578,0.40000004,-8.5505375e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.172,0.6004578,0.40000004,-8.646343e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.174,0.6004578,0.40000004,-8.7420166e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.176,0.6004578,0.40000004,-8.837559e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.178,0.6004578,0.40000004,-8.93297e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.18,0.6004578,0.40000004,-9.028249e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.182,0.6004578,0.40000004,-9.1233976e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.184,0.6004578,0.40000004,-9.2184144e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.186,0.6004578,0.40000004,-9.313299e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.188,0.6004578,0.40000004,-9.408053e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.19,0.6004578,0.40000004,-9.502675e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.192,0.6004578,0.40000004,-9.597166e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.194,0.6004578,0.40000004,-9.691525e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.196,0.6004578,0.40000004,-9.785753e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.198,0.6004578,0.40000004,-9.879849e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.2,0.6004578,0.40000004,-9.973814e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.202,0.6004578,0.40000004,-1.0067648e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.204,0.6004578,0.40000004,-1.0161351e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.206,0.6004578,0.40000004,-1.025492e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.208,0.6004578,0.40000004,-1.034836e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.21,0.6004578,0.40000004,-1.0441668e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.212,0.6004578,0.40000004,-1.0534844e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.214,0.6004578,0.40000004,-1.0627889e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.216,0.6004578,0.40000004,-1.0720802e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.218,0.6004578,0.40000004,-1.0813584e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.22,0.6004578,0.40000004,-1.0906235e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.222,0.6004578,0.40000004,-1.0998753e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.224,0.6004578,0.40000004,-1.1091141e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.226,0.6004578,0.40000004,-1.1183398e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.228,0.6004578,0.40000004,-1.1275522e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.23,0.6004578,0.40000004,-1.1367515e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.232,0.6004578,0.40000004,-1.1459377e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.234,0.6004578,0.40000004,-1.1551107e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.236,0.6004578,0.40000004,-1.1642706e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.238,0.6004578,0.40000004,-1.1734174e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.24,0.6004578,0.40000004,-1.182551e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.242,0.6004578,0.40000004,-1.1916713e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.244,0.6004578,0.40000004,-1.2007787e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.246,0.6004578,0.40000004,-1.2098728e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.248,0.6004578,0.40000004,-1.2189538e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.25,0.6004578,0.40000004,-1.2280217e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.252,0.6004578,0.40000004,-1.2370764e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.254,0.6004578,0.40000004,-1.246118e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.256,0.6004578,0.40000004,-1.2551464e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.258,0.6004578,0.40000004,-1.2641617e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.26,0.6004578,0.40000004,-1.2731638e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.262,0.6004578,0.40000004,-1.2821528e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.264,0.6004578,0.40000004,-1.2908373e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.266,0.6004578,0.40000004,-1.2994772e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.268,0.6004578,0.40000004,-1.3080946e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.27,0.6004578,0.40000004,-1.3166894e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.272,0.6004578,0.40000004,-1.3252616e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.274,0.6004578,0.40000004,-1.3338112e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.276,0.6004578,0.40000004,-1.3423382e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.278,0.6004578,0.40000004,-1.3508427e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.28,0.6004578,0.40000004,-1.3593245e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.282,0.6004578,0.40000004,-1.3677838e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.284,0.6004578,0.40000004,-1.3762205e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.286,0.6004578,0.40000004,-1.3846346e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.288,0.6004578,0.40000004,-1.3930261e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.29,0.6004578,0.40000004,-1.4013951e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.292,0.6004578,0.40000004,-1.4097414e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.294,0.6004578,0.40000004,-1.4180652e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.296,0.6004578,0.40000004,-1.4263664e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.298,0.6004578,0.40000004,-1.434645e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.3,0.6004578,0.40000004,-1.442901e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.302,0.6004578,0.40000004,-1.4511344e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.304,0.6004578,0.40000004,-1.4593453e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.306,0.6004578,0.40000004,-1.4675335e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.308,0.6004578,0.40000004,-1.4756992e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.31,0.6004578,0.40000004,-1.4838424e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.312,0.6004578,0.40000004,-1.4919629e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.314,0.6004578,0.40000004,-1.5000609e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.316,0.6004578,0.40000004,-1.5081362e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.318,0.6004578,0.40000004,-1.516189e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.32,0.6004578,0.40000004,-1.5242192e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.322,0.6004578,0.40000004,-1.5322268e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.324,0.6004578,0.40000004,-1.5402117e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.326,0.6004578,0.40000004,-1.5481743e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.328,0.6004577,0.40000004,-1.5561141e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.33,0.6004577,0.40000004,-1.5640313e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.332,0.6004577,0.40000004,-1.571926e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.334,0.6004577,0.40000004,-1.5797982e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.336,0.6004577,0.40000004,-1.5876477e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.338,0.6004577,0.40000004,-1.5954746e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.34,0.6004577,0.40000004,-1.603279e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.342,0.6004577,0.40000004,-1.6110607e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.344,0.6004577,0.40000004,-1.6188199e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.346,0.6004577,0.40000004,-1.6265566e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.348,0.6004577,0.40000004,-1.6342705e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.35,0.6004577,0.40000004,-1.641962e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.352,0.6004577,0.40000004,-1.6496308e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.354,0.6004577,0.40000004,-1.6572771e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.356,0.6004577,0.40000004,-1.6649008e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.358,0.6004577,0.40000004,-1.6725019e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.36,0.6004577,0.40000004,-1.6800804e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.362,0.6004577,0.40000004,-1.6876364e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.364,0.6004577,0.40000004,-1.6951697e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.366,0.6004577,0.40000004,-1.7026804e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.368,0.6004577,0.40000004,-1.7101687e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.37,0.6004577,0.40000004,-1.7176343e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.372,0.6004577,0.40000004,-1.7250773e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.374,0.6004577,0.40000004,-1.7324977e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.376,0.6004577,0.40000004,-1.7398956e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.378,0.6004577,0.40000004,-1.7472708e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.38,0.6004577,0.40000004,-1.7546234e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.382,0.6004577,0.40000004,-1.7619536e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.384,0.6004577,0.40000004,-1.7692611e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.386,0.6004577,0.40000004,-1.776546e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.388,0.6004577,0.40000004,-1.7838084e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.39,0.6004577,0.40000004,-1.7910482e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.392,0.6004577,0.40000004,-1.7982653e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.394,0.6004577,0.40000004,-1.8054599e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.396,0.6004577,0.40000004,-1.8126319e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.398,0.6004577,0.40000004,-1.8197814e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.4,0.6004577,0.40000004,-1.8269082e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.402,0.6004577,0.40000004,-1.8340125e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.404,0.6004577,0.40000004,-1.8410942e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.406,0.6004577,0.40000004,-1.8481533e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.408,0.6004577,0.40000004,-1.8551898e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.41,0.6004577,0.40000004,-1.8622037e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.412,0.6004577,0.40000004,-1.869195e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.414,0.6004577,0.40000004,-1.876164e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.416,0.6004577,0.40000004,-1.8831101e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.418,0.6004577,0.40000004,-1.8900337e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.42,0.6004577,0.40000004,-1.8969346e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.422,0.6004577,0.40000004,-1.903813e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.424,0.6004577,0.40000004,-1.910669e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.426,0.6004577,0.40000004,-1.9175022e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.428,0.6004577,0.40000004,-1.924313e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.43,0.6004577,0.40000004,-1.9311008e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.432,0.6004577,0.40000004,-1.9378665e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.434,0.6004577,0.40000004,-1.9446094e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.436,0.6004577,0.40000004,-1.9513298e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.438,0.6004577,0.40000004,-1.9580275e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.44,0.6004577,0.40000004,-1.9647026e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.442,0.60045767,0.40000004,-1.9713553e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.444,0.60045767,0.40000004,-1.9779853e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.446,0.60045767,0.40000004,-1.9845927e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.448,0.60045767,0.40000004,-1.9911774e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.45,0.60045767,0.40000004,-1.9977398e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.452,0.60045767,0.40000004,-2.0042794e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.454,0.60045767,0.40000004,-2.0107966e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.456,0.60045767,0.40000004,-2.017291e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.458,0.60045767,0.40000004,-2.023763e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.46,0.60045767,0.40000004,-2.0302124e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.462,0.60045767,0.40000004,-2.036639e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.464,0.60045767,0.40000004,-2.0430433e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.466,0.60045767,0.40000004,-2.0494249e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.468,0.60045767,0.40000004,-2.055784e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.47,0.60045767,0.40000004,-2.0621203e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.472,0.60045767,0.40000004,-2.068434e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.474,0.60045767,0.40000004,-2.0747255e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.476,0.60045767,0.40000004,-2.080994e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.478,0.60045767,0.40000004,-2.0872402e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.48,0.60045767,0.40000004,-2.0934636e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.482,0.60045767,0.40000004,-2.0996647e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.484,0.60045767,0.40000004,-2.105843e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.486,0.60045767,0.40000004,-2.1119988e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.488,0.60045767,0.40000004,-2.118132e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.49,0.60045767,0.40000004,-2.1242426e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.492,0.60045767,0.40000004,-2.1303306e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
