Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,eSST4B.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.054,0.47847533,0.8326902,-0.0029392366,8.41,1.9330848,1.9134281,1.9242861,1.9188541
0.056,0.4765964,0.8322922,-0.00304696,8.41,1.9330618,1.9133826,1.9242282,1.9188024
0.058,0.47464958,0.83188033,-0.0031545833,8.41,1.9330378,1.9133353,1.9241679,1.9187486
0.06,0.47263494,0.8314545,-0.0032621059,8.41,1.9330126,1.9132861,1.9241053,1.9186926
0.062,0.47055247,0.8310148,-0.0033695276,8.41,1.9329866,1.9132351,1.9240402,1.9186345
0.064,0.46840218,0.83056134,-0.003476849,8.41,1.9329594,1.913182,1.9239727,1.9185742
0.066,0.46618462,0.8300942,-0.0035840427,8.41,1.9329313,1.913127,1.9239029,1.9185117
0.068,0.4639015,0.82961386,-0.0036910293,8.41,1.932902,1.9130698,1.9238303,1.9184469
0.07,0.4615511,0.82912,-0.0037978876,8.41,1.9328715,1.9130107,1.9237553,1.9183798
0.072,0.4591335,0.8286126,-0.0039046176,8.41,1.9328399,1.9129496,1.9236777,1.9183104
0.074,0.45664862,0.8280919,-0.0040112194,8.41,1.9328072,1.9128864,1.9235975,1.9182386
0.076,0.45409653,0.8275578,-0.004117693,8.41,1.9327735,1.912821,1.9235147,1.9181646
0.078,0.45147717,0.8270104,-0.004224038,8.41,1.9327385,1.9127537,1.9234294,1.9180882
0.08,0.44879058,0.82644975,-0.004330255,8.41,1.9327024,1.9126842,1.9233413,1.9180094
0.082,0.44603682,0.825876,-0.004436341,8.41,1.9326651,1.9126126,1.9232506,1.9179282
0.084,0.4432181,0.82528955,-0.0045422227,8.41,1.9326266,1.9125386,1.9231571,1.9178445
0.086,0.44033298,0.8246903,-0.0046479492,8.41,1.9325869,1.9124626,1.9230609,1.9177583
0.088,0.4373815,0.82407826,-0.004753518,8.41,1.9325459,1.9123843,1.9229618,1.9176697
0.09,0.43436375,0.82345355,-0.004858925,8.41,1.9325037,1.9123037,1.92286,1.9175783
0.092,0.43127984,0.82281625,-0.0049641686,8.41,1.9324602,1.9122207,1.9227554,1.9174845
0.094,0.42812988,0.82216644,-0.005069245,8.41,1.9324154,1.9121356,1.9226477,1.9173882
0.096,0.42491388,0.8215043,-0.0051741516,8.41,1.9323694,1.912048,1.9225373,1.9172891
0.098,0.42163202,0.8208298,-0.005278886,8.41,1.9323219,1.9119581,1.9224238,1.9171873
0.1,0.41828433,0.8201431,-0.005383444,8.41,1.9322731,1.9118657,1.9223074,1.917083
0.102,0.41487092,0.81944436,-0.005487824,8.41,1.9322231,1.9117709,1.9221879,1.9169759
0.104,0.41139185,0.81873363,-0.005592022,8.41,1.9321716,1.9116738,1.9220655,1.916866
0.106,0.40784726,0.81801105,-0.0056960364,8.41,1.9321188,1.911574,1.92194,1.9167533
0.108,0.40423718,0.81727666,-0.005799863,8.41,1.9320645,1.9114718,1.9218112,1.9166378
0.11,0.40056175,0.81653064,-0.005903499,8.41,1.9320089,1.9113669,1.9216794,1.9165194
0.112,0.39682102,0.8157731,-0.0060069426,8.41,1.9319516,1.9112597,1.9215443,1.9163982
0.114,0.3930151,0.81500417,-0.00611019,8.41,1.9318931,1.9111496,1.921406,1.916274
0.116,0.38914526,0.8142242,-0.0062132324,8.41,1.9318329,1.911037,1.9212644,1.9161468
0.118,0.38521135,0.8134332,-0.006316069,8.41,1.9317713,1.9109217,1.9211196,1.9160167
0.12,0.3812129,0.81263113,-0.006418699,8.41,1.9317081,1.9108036,1.9209713,1.9158835
0.122,0.37715003,0.8118183,-0.006521119,8.41,1.9316435,1.9106828,1.9208198,1.9157473
0.124,0.37302285,0.8109948,-0.0066233263,8.41,1.9315772,1.9105593,1.9206647,1.9156079
0.126,0.36883146,0.8101607,-0.0067253183,8.41,1.9315093,1.9104329,1.9205062,1.9154655
0.128,0.364576,0.80931616,-0.006827091,8.41,1.9314398,1.9103037,1.9203442,1.9153198
0.13,0.36025655,0.8084613,-0.0069286423,8.41,1.9313687,1.9101716,1.9201787,1.9151709
0.132,0.3558733,0.8075964,-0.0070299683,8.41,1.931296,1.9100367,1.9200096,1.9150189
0.134,0.35142624,0.80672145,-0.007131067,8.41,1.9312215,1.9098988,1.9198369,1.9148635
0.136,0.34691557,0.8058367,-0.0072319345,8.41,1.9311454,1.9097579,1.9196604,1.9147048
0.138,0.3423414,0.8049422,-0.007332568,8.41,1.9310676,1.909614,1.9194803,1.9145428
0.14,0.33770382,0.8040382,-0.0074329646,8.41,1.930988,1.909467,1.9192965,1.9143773
0.142,0.33300295,0.80312485,-0.007533121,8.41,1.9309067,1.9093169,1.9191089,1.9142084
0.144,0.3282389,0.8022023,-0.0076330346,8.41,1.9308236,1.9091638,1.9189174,1.9140362
0.146,0.32341182,0.80127066,-0.007732702,8.41,1.9307387,1.9090075,1.9187222,1.9138603
0.148,0.31852242,0.8003303,-0.007832132,8.41,1.930652,1.908848,1.918523,1.9136809
0.15,0.3135722,0.7993815,-0.007931346,8.41,1.9305634,1.9086854,1.9183198,1.913498
0.152,0.3085597,0.79842424,-0.008030314,8.41,1.9304731,1.9085196,1.9181128,1.9133115
0.154,0.3034851,0.7974587,-0.008129031,8.41,1.9303808,1.9083505,1.9179018,1.9131213
0.156,0.29834852,0.79648507,-0.008227497,8.41,1.9302868,1.908178,1.9176866,1.9129275
0.158,0.29315007,0.7955035,-0.008325709,8.41,1.9301907,1.9080023,1.9174674,1.9127299
0.16,0.28788993,0.7945142,-0.008423663,8.41,1.9300927,1.9078231,1.917244,1.9125285
0.162,0.28256825,0.79351735,-0.008521358,8.41,1.9299927,1.9076405,1.9170164,1.9123235
0.164,0.2771851,0.7925132,-0.00861879,8.41,1.9298908,1.9074545,1.9167846,1.9121145
0.166,0.2717407,0.7915018,-0.0087159565,8.41,1.9297868,1.907265,1.9165486,1.9119016
0.168,0.26623517,0.79048353,-0.008812856,8.41,1.9296808,1.907072,1.9163082,1.9116849
0.17,0.26066864,0.7894586,-0.008909486,8.41,1.9295727,1.9068754,1.9160635,1.9114642
0.172,0.2550412,0.788427,-0.009005844,8.41,1.9294627,1.9066752,1.9158144,1.9112395
0.174,0.24935307,0.7873891,-0.009101925,8.41,1.9293505,1.9064714,1.915561,1.9110109
0.176,0.24360435,0.7863451,-0.00919773,8.41,1.9292362,1.906264,1.915303,1.910778
0.178,0.23779517,0.7852952,-0.0092932535,8.41,1.9291198,1.9060528,1.9150405,1.9105412
0.18,0.23192571,0.78423965,-0.009388495,8.41,1.9290012,1.905838,1.9147735,1.9103003
0.182,0.22599806,0.7831788,-0.009483519,8.41,1.9288805,1.9056195,1.9145019,1.910055
0.184,0.22001101,0.7821129,-0.0095782755,8.41,1.9287575,1.9053972,1.9142257,1.9098058
0.186,0.21396449,0.781042,-0.009672756,8.41,1.9286324,1.905171,1.9139448,1.9095522
0.188,0.20785868,0.7799663,-0.00976696,8.41,1.9285051,1.904941,1.9136593,1.9092944
0.19,0.20169373,0.7788862,-0.009860883,8.41,1.9283754,1.9047071,1.913369,1.9090322
0.192,0.1954698,0.7778018,-0.009954524,8.41,1.9282435,1.9044693,1.913074,1.9087658
0.194,0.18918705,0.77671343,-0.010047882,8.41,1.9281093,1.9042276,1.9127742,1.908495
0.196,0.18284565,0.7756213,-0.010140955,8.41,1.9279728,1.9039818,1.9124695,1.9082196
0.198,0.17644578,0.7745256,-0.010233742,8.41,1.9278339,1.9037322,1.9121599,1.9079399
0.2,0.16998757,0.77342665,-0.010326239,8.41,1.9276928,1.9034784,1.9118454,1.9076557
0.202,0.1634712,0.77232474,-0.010418447,8.41,1.9275491,1.9032205,1.911526,1.907367
0.204,0.15689683,0.7712201,-0.010510362,8.41,1.9274032,1.9029586,1.9112015,1.9070737
0.206,0.15026464,0.7701129,-0.010601983,8.41,1.9272548,1.9026926,1.910872,1.9067758
0.208,0.14357476,0.7690035,-0.010693309,8.41,1.927104,1.9024223,1.9105375,1.9064734
0.21,0.13682736,0.7678922,-0.010784336,8.41,1.9269507,1.9021479,1.9101979,1.9061663
0.212,0.13002263,0.7667791,-0.010875065,8.41,1.926795,1.9018693,1.909853,1.9058546
0.214,0.12316136,0.76566476,-0.010965539,8.41,1.9266367,1.9015864,1.9095031,1.9055381
0.216,0.116243884,0.76454926,-0.011055768,8.41,1.926476,1.9012992,1.909148,1.9052168
0.218,0.1092698,0.763433,-0.011145708,8.41,1.9263128,1.9010078,1.9087876,1.9048909
0.22,0.102239266,0.76231617,-0.011235361,8.41,1.926147,1.900712,1.908422,1.9045601
0.222,0.095152475,0.76119906,-0.011324726,8.41,1.9259787,1.9004118,1.9080511,1.9042245
0.224,0.0880096,0.76008195,-0.0114138005,8.41,1.9258077,1.9001074,1.9076749,1.903884
0.226,0.08081082,0.7589652,-0.011502584,8.41,1.9256341,1.8997984,1.9072933,1.9035387
0.228,0.07355632,0.757849,-0.011591078,8.41,1.925458,1.899485,1.9069064,1.9031885
0.23,0.06624625,0.7567337,-0.011679279,8.41,1.9252791,1.8991672,1.9065139,1.9028333
0.232,0.05888081,0.7556197,-0.011767186,8.41,1.9250978,1.898845,1.9061161,1.9024732
0.234,0.051460166,0.7545071,-0.0118548,8.41,1.9249136,1.8985181,1.9057128,1.9021081
0.236,0.0439845,0.75339645,-0.01194212,8.41,1.924727,1.8981867,1.9053041,1.9017379
0.238,0.03645398,0.75228786,-0.012029145,8.41,1.9245374,1.8978509,1.9048898,1.9013628
0.24,0.028868794,0.7511817,-0.012115873,8.41,1.9243453,1.8975104,1.90447,1.9009825
0.242,0.02122911,0.7500783,-0.012202305,8.41,1.9241503,1.8971653,1.9040445,1.9005972
