Time,gENSAL.delta,gENSAL.PELEC,gENSAL.SPEED,hYGOV.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,20.326748,0.4000061,0.0,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
1e-10,20.326748,0.4000061,-7.453264e-17,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
1e-10,20.326748,0.4000061,-7.453264e-17,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.002,20.326748,0.4000061,-1.4905676e-09,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.004,20.326748,0.4000061,-2.9809495e-09,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.006,20.326748,0.4000061,-4.4711173e-09,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.008,20.326748,0.4000061,-5.961069e-09,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.01,20.326748,0.4000061,-7.450739e-09,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.012,20.326748,0.4000061,-8.940138e-09,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.014,20.326748,0.4000061,-1.0429273e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.016,20.326746,0.4000061,-1.1918141e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.018,20.326746,0.40000606,-1.3406558e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.02,20.326746,0.40000606,-1.489458e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.022,20.326746,0.40000606,-1.6382241e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.024,20.326744,0.40000606,-1.7869544e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.026,20.326744,0.40000606,-1.9356488e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.028,20.326742,0.40000606,-2.0843071e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.03,20.326742,0.40000606,-2.2329294e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.032,20.32674,0.40000606,-2.3815158e-08,0.3999995,1.0000021,0.99199677,1.0000038,0.99598765
0.034,20.32674,0.40000606,-2.530018e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.036,20.326738,0.40000606,-2.6784399e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.038,20.326738,0.40000606,-2.8268081e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.04,20.326736,0.40000606,-2.9751225e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.042,20.326736,0.40000606,-3.123383e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.044,20.326735,0.40000606,-3.2715903e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.046,20.326735,0.40000606,-3.4197434e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.048,20.326733,0.40000606,-3.5678433e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.05,20.326733,0.40000606,-3.715889e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.052,20.32673,0.40000606,-3.8638813e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.054,20.326729,0.40000606,-4.0118195e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.056,20.326727,0.40000603,-4.1597044e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.058,20.326725,0.40000603,-4.3075353e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.06,20.326723,0.40000603,-4.4553126e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.062,20.326721,0.40000603,-4.6030358e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.064,20.32672,0.40000603,-4.7507058e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.066,20.32672,0.40000603,-4.8982542e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.068,20.326717,0.40000603,-5.045505e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.07,20.326715,0.40000603,-5.1926673e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.072,20.326714,0.40000603,-5.339741e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.074,20.326712,0.40000603,-5.486726e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.076,20.32671,0.40000603,-5.6336223e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.078,20.326708,0.400006,-5.7804304e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.08,20.326704,0.400006,-5.9271493e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.082,20.326702,0.400006,-6.07378e-08,0.3999995,1.0000021,0.9919967,1.0000038,0.99598765
0.084,20.326702,0.400006,-6.220322e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.086,20.3267,0.400006,-6.366775e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.088,20.326696,0.400006,-6.5131395e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.09,20.326694,0.400006,-6.6594154e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.092,20.32669,0.400006,-6.805603e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.094,20.326689,0.40000597,-6.951702e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.096,20.326687,0.40000597,-7.097712e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.098,20.326685,0.40000597,-7.2436336e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.99598765
0.1,20.326681,0.40000597,-7.389467e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.102,20.32668,0.40000597,-7.5352105e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.104,20.326675,0.40000597,-7.680866e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.106,20.326674,0.40000597,-7.8264335e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.108,20.32667,0.40000597,-7.971912e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.11,20.326668,0.40000594,-8.117302e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.112,20.326666,0.40000594,-8.262603e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.114,20.326662,0.40000594,-8.407815e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.116,20.326658,0.40000594,-8.552939e-08,0.3999995,1.0000021,0.9919967,1.0000037,0.9959876
0.118,20.326654,0.40000594,-8.6979746e-08,0.3999995,1.0000021,0.99199665,1.0000037,0.9959876
