Time,gENSAL.delta,gENSAL.PELEC,gENSAL.PMECH,gENSAL.SPEED,hYGOV.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,0.35476867781248866,0.400051954160812,0.3999995,0.0,0.3999995,0.9999956484056016,0.9919906094543622,0.9999981309952319,0.9959817896052152
2.581235021352768e-07,0.3547686778120064,0.40005195416013817,0.39999950000012674,-1.534972822296753e-12,0.39999950000012674,0.9999956484056195,0.9919906094543776,0.9999981309952409,0.9959817896052272
2.581235021352768e-07,0.3547686778120064,0.40005195416013817,0.39999950000012674,-1.534972822296753e-12,0.39999950000012674,0.9999956484056195,0.9919906094543776,0.9999981309952409,0.9959817896052272
0.002,0.3547686740754799,0.4000519489384448,0.39999950098116516,-1.1893320622357973e-08,0.39999950098116516,0.9999956485429337,0.9919906095703075,0.9999981310638315,0.995981789696159
0.004,0.35476866286718417,0.4000519335304277,0.39999950195019285,-2.3782995346039912e-08,0.39999950195019285,0.9999956489337277,0.99199060990381,0.9999981312605124,0.9959817899573317
0.006,0.35476864419012577,0.40005190829543397,0.3999995028957333,-3.566676008231939e-08,0.3999995028957333,0.9999956495489538,0.9919906104352196,0.99999813157278,0.995981790372753
0.008,0.354768618048708,0.40005187356059324,0.3999995038071484,-4.754243134084013e-08,0.3999995038071484,0.9999956503628156,0.991990611147019,0.9999981319895078,0.9959817909281856
0.01,0.3547685844486828,0.4000518296239622,0.3999995046744786,-5.94078989868196e-08,0.3999995046744786,0.9999956513524224,0.9919906120236148,0.9999981325008032,0.995981791610963
0.012,0.3547685433971065,0.40005177675737,0.39999950548841273,-7.126111981987315e-08,0.39999950548841273,0.999995652497478,0.9919906130511307,0.9999981330978731,0.9959817924098205
0.014,0.3547684949022997,0.4000517152089898,0.39999950624025765,-8.310011177389385e-08,0.39999950624025765,0.9999956537800021,0.9919906142172259,0.9999981337729086,0.9959817933147472
0.016,0.35476843897381066,0.400051645205666,0.39999950692191005,-9.49229486787907e-08,0.39999950692191005,0.999995655184082,0.9919906155109317,0.9999981345189792,0.9959817943168517
0.018,0.3547683756223815,0.40005156695501753,0.39999950752582963,-1.0672775553104139e-07,0.39999950752582963,0.9999956566956468,0.9919906169225037,0.9999981353299379,0.9959817954082415
0.02,0.35476830485991745,0.40005148064733975,0.39999950804501266,-1.1851270422437079e-07,0.39999950804501266,0.9999956583022706,0.9919906184432905,0.9999981362003367,0.9959817965819159
0.022,0.3547682266994588,0.4000513864573265,0.3999995084729676,-1.3027600969701052e-07,0.3999995084729676,0.9999956599929917,0.9919906200656161,0.9999981371253522,0.99598179783167
0.024,0.35476814115515465,0.40005128454562405,0.3999995088036911,-1.420159264559185e-07,0.3999995088036911,0.9999956617581532,0.9919906217826742,0.9999981381007167,0.9959817991520079
0.026,0.35476804824223934,0.40005117506023896,0.39999950903164583,-1.5373074544212742e-07,0.39999950903164583,0.9999956635892602,0.9919906235884336,0.9999981391226574,0.9959818005380656
0.028,0.35476794797701033,0.40005105813781017,0.39999950915173793,-1.6541879120496725e-07,0.39999950915173793,0.9999956654788504,0.9919906254775533,0.999998140187843,0.995981801985542
0.03,0.3547678403768079,0.40005093390475943,0.39999950915929705,-1.7707841935572478e-07,0.39999950915929705,0.999995667420382,0.9919906274453076,0.9999981412933349,0.9959818034906373
0.032,0.3547677254599964,0.4000508024783317,0.39999950905005655,-1.8870801427438303e-07,0.39999950905005655,0.99999566940813,0.9919906294875181,0.9999981424365435,0.9959818050499972
0.034,0.35476760324594675,0.4000506639675354,0.39999950882013413,-2.0030598704518312e-07,0.39999950882013413,0.9999956714370951,0.9919906316004925,0.99999814361519,0.9959818066606642
0.036,0.3547674737550204,0.40005051847399353,0.3999995084660139,-2.1187077359962738e-07,0.3999995084660139,0.9999956735029228,0.991990633780971,0.9999981448272708,0.9959818083200328
0.038,0.35476733700855406,0.40005036609271166,0.39999950798452927,-2.2340083304700157e-07,0.39999950798452927,0.99999567560183,0.9919906360260783,0.999998146071028,0.9959818100258102
0.04,0.3547671930288458,0.40005020691277465,0.3999995073728468,-2.3489464617485388e-07,0.3999995073728468,0.9999956777305401,0.9919906383332794,0.9999981473449201,0.995981811775981
0.042,0.3547670418391418,0.40005004101797403,0.39999950662844896,-2.463507141030848e-07,0.39999950662844896,0.9999956798862262,0.9919906407003417,0.9999981486475986,0.9959818135687762
0.044,0.35476688346362395,0.400049868487376,0.3999995057491209,-2.577675570773513e-07,0.3999995057491209,0.9999956820664572,0.9919906431253002,0.9999981499778849,0.995981815402644
0.046,0.35476671792739806,0.40004968939583685,0.39999950473293494,-2.6914371338846483e-07,0.39999950473293494,0.9999956842691547,0.9919906456064268,0.9999981513347521,0.9959818172762258
0.048,0.3547665452564831,0.40004950381446486,0.39999950357823694,-2.80477738405704e-07,0.39999950357823694,0.9999956864925501,0.9919906481422033,0.999998152717306,0.9959818191883337
0.05,0.3547663654778005,0.40004931181104175,0.3999995022836333,-2.917682037136979e-07,0.3999995022836333,0.9999956887351481,0.9919906507312958,0.9999981541247701,0.9959818211379295
0.052,0.3547661786191643,0.40004911345040073,0.39999950084797814,-3.0301369634244946e-07,0.39999950084797814,0.9999956909956952,0.9919906533725337,0.9999981555564719,0.9959818231241083
