Time,gENROE.delta,gENROE.PELEC,tGOV1.PMECH,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
-0.0166667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.0116667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.00666667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.00166667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.00333333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.00833333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0133333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0183333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0233333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0283333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0333333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0383333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0433333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0483333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0533333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0583333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0633333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0683333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0733333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0783333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0833333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0883333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0933333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.0983333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.103333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.108333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.113333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.118333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.123333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.128333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.133333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.138333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.143333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.148333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.153333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.158333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.163333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.168333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.173333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.178333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.183333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.188333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.193333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.198333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.203333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.208333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.213333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.218333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.223333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.228333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.233333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.238333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.243333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.248333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.253333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.258333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.263333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.268333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.273333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.278333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.283333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.288333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.293333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.298333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.303333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.308333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.313333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.318333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
