Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eSAC1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.4000000252477881,0.4,0.0,1.4314197089012368,0.9999999913060578,0.991993537824914,0.999999995492736,0.9959841726474759
1.0058283805847169e-10,34.40369990063831,0.40000002524778794,0.4,-2.96645774086245e-19,1.4314197089012373,0.9999999913060579,0.991993537824914,0.9999999954927361,0.9959841726474759
1.0058283805847169e-10,34.40369990063831,0.40000002524778794,0.4,-2.96645774086245e-19,1.4314197089012373,0.9999999913060579,0.991993537824914,0.9999999954927361,0.9959841726474759
0.002,34.40369990053213,0.4000000252451748,0.4,-5.898536526817291e-12,1.4314197089013136,0.9999999913061287,0.9919935378249731,0.9999999954927712,0.9959841726475223
0.004,34.40369990021364,0.40000002523737466,0.4,-1.1795304225819313e-11,1.4314197089015537,0.9999999913063404,0.9919935378251504,0.9999999954928764,0.9959841726476616
0.006,34.403699899682906,0.40000002522444683,0.4,-1.7689098340739012e-11,1.431419708901977,0.999999991306693,0.9919935378254449,0.9999999954930512,0.9959841726478929
0.008,34.40369989894007,0.4000000252064482,0.4,-2.3578727770447273e-11,1.4314197089026055,0.9999999913071855,0.9919935378258559,0.9999999954932951,0.9959841726482157
0.01,34.4036998979853,0.40000002518343636,0.4,-2.9463014963032106e-11,1.4314197089034593,0.9999999913078175,0.9919935378263826,0.999999995493608,0.9959841726486296
0.012,34.40369989681881,0.40000002515546773,0.4,-3.534079575151332e-11,1.4314197089045564,0.9999999913085881,0.9919935378270243,0.9999999954939891,0.995984172649134
0.014,34.40369989544085,0.40000002512259714,0.4,-4.121091910957616e-11,1.4314197089059084,0.9999999913094966,0.9919935378277804,0.9999999954944384,0.9959841726497283
0.016,34.40369989385172,0.4000000250848797,0.4,-4.707224697863936e-11,1.431419708907521,0.9999999913105424,0.9919935378286499,0.9999999954949551,0.9959841726504118
0.018,34.40369989205177,0.40000002504237026,0.4,-5.292365414031786e-11,1.4314197089093899,0.9999999913117251,0.9919935378296322,0.9999999954955391,0.9959841726511841
0.02,34.40369989004135,0.400000024995121,0.4,-5.876402808672384e-11,1.4314197089115042,0.9999999913130432,0.9919935378307261,0.9999999954961897,0.9959841726520443
0.022,34.4036998878209,0.4000000249431864,0.4,-6.459226884537313e-11,1.4314197089138403,0.9999999913144969,0.9919935378319313,0.9999999954969065,0.9959841726529922
0.024,34.403699885390864,0.40000002488661823,0.4,-7.040728893162896e-11,1.4314197089163672,0.9999999913160847,0.991993537833247,0.9999999954976894,0.9959841726540268
0.026,34.403699882751745,0.4000000248254684,0.4,-7.620801309578896e-11,1.4314197089190421,0.999999991317806,0.9919935378346719,0.9999999954985374,0.9959841726551478
0.028,34.403699879904075,0.40000002475978863,0.4,-8.199337830795366e-11,1.431419708921813,0.9999999913196599,0.9919935378362055,0.9999999954994502,0.9959841726563543
0.03,34.403699876848414,0.40000002468963003,0.4,-8.776233365642894e-11,1.4314197089246186,0.9999999913216456,0.9919935378378467,0.9999999955004274,0.9959841726576457
0.032,34.40369987358539,0.4000000246150429,0.4,-9.351384009265144e-11,1.4314197089273883,0.9999999913237622,0.9919935378395951,0.9999999955014686,0.9959841726590214
0.034,34.40369987011564,0.400000024536078,0.4,-9.924687053494774e-11,1.4314197089300438,0.9999999913260089,0.9919935378414493,0.9999999955025731,0.9959841726604808
0.036,34.40369986643985,0.4000000244527845,0.4,-1.0496040970857226e-10,1.4314197089324994,0.9999999913283842,0.9919935378434087,0.9999999955037405,0.9959841726620229
0.038,34.40369986255874,0.40000002436521254,0.4,-1.1065345398790699e-10,1.431419708934663,0.999999991330888,0.9919935378454724,0.9999999955049703,0.9959841726636474
0.04,34.40369985847306,0.400000024273411,0.4,-1.1632501137916814e-10,1.4314197089364376,0.9999999913335185,0.9919935378476393,0.9999999955062618,0.9959841726653532
0.042,34.40369985418361,0.40000002417742886,0.4,-1.219741014966281e-10,1.4314197089377216,0.9999999913362753,0.9919935378499087,0.9999999955076146,0.9959841726671399
0.044,34.40369984969121,0.4000000240773146,0.4,-1.275997553269957e-10,1.4314197089384102,0.999999991339157,0.9919935378522794,0.9999999955090283,0.9959841726690066
0.046,34.40369984499672,0.40000002397311724,0.4,-1.3320101543044948e-10,1.4314197089383969,0.999999991342162,0.9919935378547506,0.999999995510502,0.9959841726709525
0.048,34.40369984010104,0.40000002386488404,0.4,-1.3877693564016852e-10,1.431419708937574,0.9999999913452902,0.9919935378573214,0.9999999955120353,0.995984172672977
0.05,34.4036998350051,0.40000002375266325,0.4,-1.44326581040716e-10,1.4314197089358338,0.9999999913485398,0.9919935378599904,0.9999999955136276,0.9959841726750791
0.052,34.40369982970986,0.4000000236365026,0.4,-1.4984902806098995e-10,1.4314197089330687,0.9999999913519096,0.9919935378627571,0.9999999955152783,0.9959841726772581
0.054,34.403699824216304,0.4000000235164499,0.4,-1.5534336429696824e-10,1.4314197089291745,0.9999999913553989,0.9919935378656202,0.9999999955169868,0.9959841726795133
0.056,34.40369981852548,0.4000000233925517,0.4,-1.6080868855061805e-10,1.4314197089240484,0.9999999913590057,0.9919935378685785,0.9999999955187524,0.9959841726818438
0.058,34.403699812638436,0.40000002326485584,0.4,-1.6624411067641895e-10,1.4314197089175915,0.9999999913627295,0.9919935378716311,0.9999999955205746,0.9959841726842487
0.06,34.403699806556276,0.4000000231334094,0.4,-1.7164875165918212e-10,1.4314197089097087,0.9999999913665685,0.9919935378747771,0.9999999955224527,0.9959841726867271
0.062,34.403699800280116,0.4000000229982584,0.4,-1.7702174357514083e-10,1.43141970890031,0.9999999913705213,0.991993537878015,0.999999995524386,0.9959841726892784
0.064,34.4036997938111,0.4000000228594506,0.4,-1.823622294600897e-10,1.43141970888931,0.9999999913745868,0.991993537881344,0.9999999955263738,0.9959841726919013
0.066,34.40369978715043,0.40000002271703256,0.4,-1.8766936332883954e-10,1.4314197088766292,0.9999999913787638,0.9919935378847631,0.9999999955284156,0.9959841726945955
0.068,34.40369978029931,0.4000000225710501,0.4,-1.9294231026168346e-10,1.4314197088621945,0.9999999913830502,0.9919935378882706,0.9999999955305104,0.9959841726973595
0.07,34.40369977325901,0.40000002242155086,0.4,-1.981802462574046e-10,1.431419708845938,0.9999999913874453,0.9919935378918658,0.999999995532658,0.9959841727001928
0.072,34.40369976603077,0.40000002226858056,0.4,-2.0338235822462953e-10,1.4314197088277987,0.9999999913919474,0.9919935378955473,0.9999999955348572,0.9959841727030943
0.074,34.403699758615915,0.4000000221121856,0.4,-2.08547844033708e-10,1.431419708807722,0.9999999913965548,0.9919935378993141,0.9999999955371076,0.995984172706063
0.076,34.40369975101578,0.40000002195241247,0.4,-2.136759123308108e-10,1.4314197087856593,0.9999999914012663,0.9919935379031648,0.9999999955394083,0.995984172709098
0.078,34.40369974323171,0.4000000217893074,0.4,-2.1876578283191433e-10,1.4314197087615688,0.9999999914060801,0.9919935379070983,0.9999999955417586,0.9959841727121983
0.08,34.40369973526511,0.4000000216229167,0.4,-2.2381668611528217e-10,1.4314197087354148,0.9999999914109949,0.9919935379111134,0.9999999955441579,0.9959841727153632
0.082,34.403699727117385,0.4000000214532861,0.4,-2.2882786345285643e-10,1.4314197087071676,0.9999999914160087,0.991993537915209,0.9999999955466052,0.9959841727185914
0.084,34.40369971878999,0.4000000212804624,0.4,-2.337985671215353e-10,1.4314197086768032,0.9999999914211203,0.9919935379193833,0.9999999955490998,0.9959841727218818
0.086,34.403699710284386,0.4000000211044916,0.4,-2.387280602950904e-10,1.431419708644304,0.9999999914263279,0.9919935379236355,0.9999999955516412,0.9959841727252339
0.088,34.40369970160207,0.40000002092542,0.4,-2.4361561689285165e-10,1.4314197086096565,0.99999999143163,0.9919935379279643,0.9999999955542285,0.9959841727286463
0.09,34.403699692744574,0.4000000207432935,0.4,-2.484605217937103e-10,1.4314197085728535,0.9999999914370248,0.9919935379323682,0.9999999955568607,0.995984172732118
0.092,34.403699683713434,0.4000000205581586,0.4,-2.532620706048226e-10,1.4314197085338916,0.9999999914425106,0.9919935379368462,0.9999999955595371,0.995984172735648
0.094,34.40369967451023,0.40000002037006127,0.4,-2.580195699253308e-10,1.431419708492772,0.9999999914480859,0.9919935379413969,0.9999999955622573,0.9959841727392355
0.096,34.403699665136564,0.40000002017904795,0.4,-2.6273233714965334e-10,1.4314197084495002,0.9999999914537492,0.9919935379460186,0.9999999955650198,0.995984172742879
0.098,34.403699655594046,0.4000000199851644,0.4,-2.6739970061880005e-10,1.4314197084040854,0.999999991459498,0.9919935379507104,0.9999999955678244,0.9959841727465777
0.1,34.40369964588434,0.4000000197884575,0.4,-2.720209993631361e-10,1.4314197083565394,0.9999999914653314,0.9919935379554708,0.9999999955706699,0.9959841727503306
0.102,34.403699636009094,0.40000001958897324,0.4,-2.7659558347202384e-10,1.4314197083068774,0.9999999914712472,0.9919935379602988,0.9999999955735557,0.9959841727541365
0.104,34.40369962597002,0.4000000193867579,0.4,-2.81122813810647e-10,1.4314197082551172,0.9999999914772439,0.9919935379651923,0.9999999955764809,0.9959841727579944
0.106,34.403699615768836,0.40000001918185796,0.4,-2.856020621497093e-10,1.431419708201279,0.9999999914833194,0.9919935379701508,0.9999999955794449,0.9959841727619034
0.108,34.40369960540726,0.4000000189743193,0.4,-2.9003271118921286e-10,1.4314197081453846,0.999999991489472,0.9919935379751722,0.9999999955824463,0.995984172765862
0.11,34.403699594887065,0.40000001876418895,0.4,-2.944141544828004e-10,1.431419708087458,0.9999999914957003,0.9919935379802557,0.9999999955854848,0.9959841727698696
0.112,34.40369958421004,0.4000000185515134,0.4,-2.9874579648963473e-10,1.431419708027524,0.9999999915020023,0.9919935379853998,0.9999999955885595,0.9959841727739247
0.114,34.40369957337797,0.4000000183363386,0.4,-3.03027052567914e-10,1.431419707965609,0.9999999915083758,0.9919935379906029,0.9999999955916693,0.9959841727780263
0.116,34.4036995623927,0.40000001811871144,0.4,-3.072573490224278e-10,1.4314197079017401,0.9999999915148198,0.9919935379958637,0.9999999955948136,0.9959841727821734
0.118,34.40369955125607,0.40000001789867856,0.4,-3.1143612309374885e-10,1.4314197078359452,0.9999999915213316,0.9919935380011808,0.9999999955979914,0.9959841727863649
0.12,34.40369953996992,0.4000000176762862,0.4,-3.155628229625567e-10,1.4314197077682527,0.9999999915279099,0.9919935380065529,0.9999999956012018,0.9959841727905995
0.122,34.403699528536166,0.4000000174515813,0.4,-3.1963690772802084e-10,1.4314197076986912,0.9999999915345528,0.9919935380119786,0.9999999956044443,0.9959841727948764
0.124,34.4036995169567,0.4000000172246108,0.4,-3.236578474380638e-10,1.4314197076272899,0.9999999915412585,0.9919935380174565,0.9999999956077177,0.995984172799194
0.126,34.40369950523345,0.4000000169954208,0.4,-3.2762512322338363e-10,1.4314197075540775,0.9999999915480249,0.9919935380229852,0.9999999956110212,0.9959841728035518
0.128,34.40369949336834,0.40000001676405833,0.4,-3.315382269926612e-10,1.4314197074790838,0.9999999915548504,0.991993538028563,0.9999999956143539,0.9959841728079483
0.13,34.40369948136335,0.40000001653057043,0.4,-3.35396661761131e-10,1.4314197074023371,0.9999999915617328,0.9919935380341891,0.9999999956177151,0.9959841728123824
0.132,34.40369946922044,0.40000001629500365,0.4,-3.3919994147116416e-10,1.4314197073238668,0.9999999915686708,0.9919935380398615,0.9999999956211039,0.9959841728168529
0.134,34.403699456941624,0.4000000160574052,0.4,-3.4294759109386587e-10,1.4314197072437012,0.9999999915756622,0.991993538045579,0.9999999956245194,0.995984172821359
0.136,34.40369944452889,0.40000001581782146,0.4,-3.466391466182674e-10,1.4314197071618688,0.9999999915827052,0.9919935380513403,0.9999999956279606,0.9959841728258991
0.138,34.40369943198428,0.4000000155763,0.4,-3.50274154945405e-10,1.431419707078398,0.999999991589798,0.9919935380571439,0.9999999956314268,0.9959841728304726
0.14,34.40369941930983,0.40000001533288687,0.4,-3.538521740871919e-10,1.4314197069933172,0.9999999915969385,0.9919935380629882,0.9999999956349171,0.9959841728350779
0.142,34.403699406507606,0.40000001508763017,0.4,-3.573727729588997e-10,1.431419706906654,0.9999999916041251,0.9919935380688722,0.9999999956384309,0.9959841728397142
0.144,34.403699393579686,0.4000000148405762,0.4,-3.6083553169908286e-10,1.4314197068184358,0.9999999916113558,0.9919935380747941,0.9999999956419667,0.9959841728443801
0.146,34.40369938052815,0.40000001459177215,0.4,-3.642400412242784e-10,1.4314197067286907,0.9999999916186288,0.9919935380807525,0.9999999956455242,0.9959841728490748
0.148,34.40369936735511,0.40000001434126475,0.4,-3.675859036764677e-10,1.4314197066374457,0.9999999916259422,0.9919935380867463,0.9999999956491022,0.9959841728537968
0.15,34.403699354062674,0.40000001408910185,0.4,-3.7087273211396066e-10,1.431419706544728,0.999999991633294,0.9919935380927737,0.9999999956526999,0.9959841728585452
0.152,34.403699340652985,0.4000000138353297,0.4,-3.7410015064757936e-10,1.4314197064505656,0.9999999916406827,0.9919935380988334,0.9999999956563166,0.9959841728633186
0.154,34.40369932712819,0.4000000135799959,0.4,-3.77267794479568e-10,1.4314197063549854,0.999999991648106,0.9919935381049243,0.9999999956599513,0.9959841728681165
0.156,34.40369931349043,0.4000000133231476,0.4,-3.803753097198524e-10,1.4314197062580143,0.9999999916555624,0.9919935381110445,0.9999999956636032,0.9959841728729372
0.158,34.40369929974189,0.40000001306483124,0.4,-3.8342235367570147e-10,1.4314197061596798,0.9999999916630499,0.9919935381171929,0.9999999956672714,0.9959841728777797
0.16,34.40369928588475,0.4000000128050943,0.4,-3.8640859454693416e-10,1.43141970606001,0.9999999916705663,0.9919935381233679,0.9999999956709549,0.9959841728826427
0.162,34.403699271921205,0.40000001254398393,0.4,-3.893337116269532e-10,1.4314197059590317,0.9999999916781104,0.9919935381295684,0.9999999956746531,0.9959841728875254
0.164,34.40369925785346,0.40000001228154697,0.4,-3.9219739520547066e-10,1.4314197058567735,0.9999999916856799,0.9919935381357924,0.999999995678365,0.9959841728924267
0.166,34.40369924368373,0.40000001201783075,0.4,-3.94999346631196e-10,1.4314197057532632,0.999999991693273,0.991993538142039,0.9999999956820895,0.9959841728973451
0.168,34.40369922941425,0.400000011752882,0.4,-3.9773927825995627e-10,1.4314197056485296,0.999999991700888,0.9919935381483066,0.9999999956858262,0.9959841729022798
0.17,34.40369921504725,0.4000000114867481,0.4,-4.004169134179481e-10,1.4314197055426008,0.9999999917085232,0.9919935381545939,0.999999995689574,0.9959841729072296
0.172,34.40369920058498,0.40000001121947565,0.4,-4.030319864903656e-10,1.4314197054355062,0.9999999917161762,0.9919935381608994,0.999999995693332,0.9959841729121931
0.174,34.4036991860297,0.40000001095111165,0.4,-4.055842428370956e-10,1.4314197053272755,0.9999999917238456,0.9919935381672218,0.9999999956970994,0.9959841729171698
0.176,34.40369917138367,0.4000000106817028,0.4,-4.0807343878190974e-10,1.4314197052179378,0.9999999917315294,0.9919935381735596,0.9999999957008755,0.995984172922158
0.178,34.403699156649175,0.40000001041129657,0.4,-4.1049934164488906e-10,1.431419705107524,0.999999991739226,0.9919935381799114,0.9999999957046593,0.995984172927157
0.18,34.40369914182848,0.40000001013993947,0.4,-4.12861729712161e-10,1.431419704996064,0.9999999917469332,0.9919935381862761,0.9999999957084499,0.9959841729321655
0.182,34.4036991269239,0.4000000098676781,0.4,-4.1516039218834304e-10,1.4314197048835888,0.9999999917546496,0.9919935381926517,0.9999999957122464,0.9959841729371823
0.184,34.403699111937705,0.40000000959455906,0.4,-4.173951293132717e-10,1.43141970477013,0.9999999917623734,0.9919935381990376,0.9999999957160483,0.9959841729422064
0.186,34.403699096872224,0.4000000093206296,0.4,-4.1956575212205966e-10,1.4314197046557187,0.9999999917701026,0.9919935382054318,0.9999999957198543,0.9959841729472368
0.188,34.40369908172975,0.40000000904593574,0.4,-4.216720826158659e-10,1.4314197045403874,0.9999999917778354,0.9919935382118332,0.999999995723664,0.9959841729522725
0.19,34.4036990665126,0.40000000877052394,0.4,-4.237139537273094e-10,1.431419704424168,0.99999999178557,0.9919935382182403,0.9999999957274763,0.9959841729573121
0.192,34.40369905122312,0.4000000084944411,0.4,-4.256912091994167e-10,1.4314197043070933,0.9999999917933048,0.991993538224652,0.9999999957312905,0.9959841729623548
0.194,34.40369903586362,0.40000000821773335,0.4,-4.276037036828962e-10,1.4314197041891965,0.9999999918010379,0.9919935382310666,0.9999999957351056,0.9959841729673992
0.196,34.40369902043643,0.4000000079404472,0.4,-4.294513026021158e-10,1.4314197040705106,0.9999999918087676,0.9919935382374834,0.9999999957389212,0.9959841729724447
0.198,34.4036990049439,0.40000000766262833,0.4,-4.3123388224373076e-10,1.4314197039510688,0.9999999918164922,0.9919935382439001,0.9999999957427359,0.9959841729774896
0.2,34.403698989388374,0.40000000738432306,0.4,-4.329513297220969e-10,1.4314197038309053,0.9999999918242101,0.9919935382503161,0.9999999957465492,0.9959841729825334
0.202,34.403698973772194,0.40000000710557754,0.4,-4.346035427868842e-10,1.431419703710054,0.9999999918319191,0.9919935382567299,0.9999999957503604,0.9959841729875749
0.204,34.403698958097706,0.4000000068264373,0.4,-4.3619043002411e-10,1.431419703588549,0.999999991839618,0.9919935382631399,0.9999999957541684,0.995984172992613
0.206,34.403698942367264,0.4000000065469485,0.4,-4.3771191073076347e-10,1.4314197034664244,0.9999999918473047,0.9919935382695451,0.9999999957579727,0.9959841729976465
0.208,34.40369892658324,0.40000000626715665,0.4,-4.391679148823806e-10,1.431419703343715,0.9999999918549777,0.9919935382759443,0.9999999957617723,0.9959841730026746
0.21,34.40369891074797,0.40000000598710733,0.4,-4.4055838314169116e-10,1.4314197032204552,0.9999999918626356,0.9919935382823357,0.9999999957655664,0.9959841730076961
0.212,34.40369889486382,0.4000000057068458,0.4,-4.418832667224345e-10,1.4314197030966795,0.9999999918702763,0.9919935382887185,0.9999999957693546,0.9959841730127102
0.214,34.403698878933156,0.40000000542641717,0.4,-4.431425274974423e-10,1.4314197029724232,0.9999999918778981,0.9919935382950912,0.9999999957731356,0.9959841730177157
0.216,34.40369886295834,0.4000000051458672,0.4,-4.4433613789271733e-10,1.4314197028477202,0.9999999918854998,0.9919935383014524,0.9999999957769088,0.9959841730227115
0.218,34.403698846941744,0.4000000048652402,0.4,-4.4546408088311064e-10,1.4314197027226059,0.9999999918930793,0.9919935383078013,0.9999999957806737,0.9959841730276969
0.22,34.40369883088572,0.40000000458458146,0.4,-4.4652634991234024e-10,1.4314197025971145,0.9999999919006354,0.9919935383141361,0.9999999957844291,0.9959841730326705
0.222,34.403698814792634,0.4000000043039356,0.4,-4.475229488865062e-10,1.4314197024712807,0.9999999919081664,0.991993538320456,0.9999999957881746,0.9959841730376318
0.224,34.403698798664855,0.4000000040233471,0.4,-4.4845389214598925e-10,1.4314197023451392,0.9999999919156703,0.9919935383267593,0.9999999957919092,0.9959841730425792
