Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,sEXS.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.098,34.334236,0.40000004,-5.3597776e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.1,34.334236,0.40000004,-5.4674465e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.102,34.334236,0.40000004,-5.5750377e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.104,34.334236,0.40000004,-5.682552e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.106,34.334236,0.40000004,-5.78999e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.108,34.334236,0.40000004,-5.8973504e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.11,34.334236,0.40000004,-6.0046346e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.112,34.334236,0.40000004,-6.111841e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.114,34.334236,0.40000004,-6.2189714e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.116,34.334236,0.40000004,-6.326024e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.118,34.334236,0.40000004,-6.433e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.12,34.334236,0.40000004,-6.5399e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.122,34.334236,0.40000004,-6.646722e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.124,34.334236,0.40000004,-6.753467e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.126,34.334236,0.40000004,-6.860136e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.128,34.334236,0.40000004,-6.966727e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.13,34.334236,0.40000004,-7.0732414e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.132,34.334236,0.40000004,-7.179201e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.134,34.334236,0.40000004,-7.2844886e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.136,34.334236,0.40000004,-7.389637e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.138,34.334236,0.40000004,-7.494647e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.14,34.334236,0.40000004,-7.599518e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.142,34.334236,0.40000004,-7.70425e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.144,34.334236,0.40000004,-7.8088436e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.146,34.334236,0.40000004,-7.9132983e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.148,34.334236,0.40000004,-8.017614e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.15,34.334236,0.40000004,-8.121791e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.152,34.334236,0.40000004,-8.2258295e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.154,34.334236,0.40000004,-8.3297286e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.156,34.334236,0.40000004,-8.4334895e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.158,34.334236,0.40000004,-8.5371116e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.16,34.334236,0.40000004,-8.6405944e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.162,34.334236,0.40000004,-8.743939e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.164,34.334236,0.40000004,-8.847144e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.166,34.334236,0.40000004,-8.950211e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.168,34.334236,0.40000004,-9.053139e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.17,34.334236,0.40000004,-9.155928e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.172,34.334236,0.40000004,-9.2585783e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.174,34.334236,0.40000004,-9.36109e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.176,34.334236,0.40000004,-9.463462e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.178,34.334236,0.40000004,-9.565697e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.18,34.334236,0.40000004,-9.667792e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.182,34.334236,0.40000004,-9.769748e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.184,34.334236,0.40000004,-9.871566e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.186,34.334236,0.40000004,-9.973244e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.188,34.334236,0.40000004,-1.0074784e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.19,34.334236,0.40000004,-1.0176185e-09,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
