Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,eSAC2A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.096,28.845945,0.39999992,-4.645817e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.098,28.845945,0.39999992,-4.7410778e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.1,28.845945,0.39999992,-4.8362683e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.102,28.845945,0.39999992,-4.931389e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.104,28.845942,0.39999992,-5.0264397e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.106,28.845942,0.39999992,-5.1214206e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.108,28.845942,0.39999992,-5.2163314e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.11,28.845942,0.39999992,-5.311172e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.112,28.845942,0.39999992,-5.405943e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.114,28.845942,0.39999992,-5.500644e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.116,28.845942,0.39999992,-5.5952745e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.118,28.845942,0.39999992,-5.6898357e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.12,28.845942,0.39999992,-5.7843264e-09,1.3274747,0.99999976,0.9919933,0.99999976,0.9959839
0.122,28.845942,0.39999992,-5.8787473e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.124,28.845942,0.39999992,-5.9730985e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.126,28.845942,0.39999992,-6.0673795e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.128,28.845942,0.39999992,-6.1615903e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.13,28.845942,0.39999992,-6.2557315e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.132,28.845942,0.39999992,-6.3494467e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.134,28.845942,0.39999992,-6.4426495e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.136,28.845938,0.39999992,-6.535736e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
0.138,28.845938,0.39999992,-6.6287065e-09,1.3274747,0.99999976,0.9919933,0.9999997,0.9959839
