Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,eSST4B.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.84595,0.838019,0.0,8.41,1.9333701,1.9140044,1.9250249,1.9195118
1e-10,28.84595,0.838019,-5.4752435e-12,8.41,1.9333701,1.9140044,1.9250249,1.9195118
1e-10,28.84595,0.838019,-5.4752435e-12,8.41,1.9333701,1.9140044,1.9250249,1.9195118
0.002,28.843979,0.8380117,-0.00010949866,8.41,1.9333698,1.9140037,1.9250239,1.919511
0.004,28.838062,0.8379895,-0.00021898194,8.41,1.9333687,1.9140016,1.925021,1.9195085
0.006,28.82821,0.83795255,-0.000328444,8.41,1.933367,1.9139979,1.9250163,1.9195043
0.008,28.814417,0.8379009,-0.0004378845,8.41,1.9333646,1.9139926,1.9250095,1.9194983
0.01,28.79669,0.8378344,-0.0005472895,8.41,1.9333614,1.913986,1.9250009,1.9194906
0.012,28.775024,0.8377533,-0.0006566616,8.41,1.9333576,1.9139777,1.9249902,1.9194812
0.014,28.74942,0.8376574,-0.0007660017,8.41,1.933353,1.913968,1.9249775,1.91947
0.016,28.719881,0.83754677,-0.0008753098,8.41,1.9333476,1.9139568,1.924963,1.9194571
0.018,28.686422,0.8374216,-0.0009845446,8.41,1.9333414,1.9139439,1.9249463,1.9194423
0.02,28.649044,0.8372817,-0.0010937188,8.41,1.9333344,1.9139293,1.9249277,1.9194257
0.022,28.607737,0.83712727,-0.0012028402,8.41,1.9333265,1.9139132,1.924907,1.9194072
0.024,28.562506,0.83695817,-0.0013119089,8.41,1.9333179,1.9138955,1.9248842,1.919387
0.026,28.513348,0.83677447,-0.0014209248,8.41,1.9333085,1.9138762,1.9248594,1.9193649
0.028,28.460262,0.83657616,-0.0015298878,8.41,1.9332982,1.9138553,1.9248325,1.9193411
0.03,28.403252,0.8363633,-0.0016387979,8.41,1.9332873,1.9138328,1.9248035,1.9193153
0.032,28.342312,0.8361359,-0.0017476553,8.41,1.9332753,1.9138086,1.9247725,1.9192877
0.034,28.277487,0.8358942,-0.0018564053,8.41,1.9332626,1.9137827,1.9247392,1.9192581
0.036,28.208773,0.8356381,-0.0019650522,8.41,1.9332489,1.913755,1.9247038,1.9192266
0.038,28.136145,0.8353676,-0.002073626,8.41,1.9332343,1.9137257,1.9246663,1.9191931
0.04,28.059605,0.83508277,-0.0021821272,8.41,1.9332188,1.9136947,1.9246266,1.9191577
0.042,27.979153,0.83478355,-0.0022905553,8.41,1.9332025,1.913662,1.9245847,1.9191204
0.044,27.89479,0.83447003,-0.0023989105,8.41,1.9331853,1.9136275,1.9245406,1.9190811
0.046,27.806513,0.8341422,-0.0025071925,8.41,1.9331671,1.9135913,1.9244943,1.9190398
0.048,27.714327,0.8338002,-0.002615402,8.41,1.9331481,1.9135532,1.9244457,1.9189966
0.05,27.618273,0.8334441,-0.0027234878,8.41,1.9331281,1.9135134,1.9243948,1.9189512
0.052,27.518389,0.83307415,-0.0028314125,8.41,1.933107,1.9134717,1.9243417,1.9189037
0.054,27.414618,0.8326902,-0.0029392366,8.41,1.9330848,1.9134281,1.9242861,1.9188541
0.056,27.306961,0.8322922,-0.00304696,8.41,1.9330618,1.9133826,1.9242282,1.9188024
0.058,27.195417,0.83188033,-0.0031545833,8.41,1.9330378,1.9133353,1.9241679,1.9187486
0.06,27.079988,0.8314545,-0.0032621059,8.41,1.9330126,1.9132861,1.9241053,1.9186926
0.062,26.96067,0.8310148,-0.0033695276,8.41,1.9329866,1.9132351,1.9240402,1.9186345
0.064,26.83747,0.83056134,-0.003476849,8.41,1.9329594,1.913182,1.9239727,1.9185742
0.066,26.710411,0.8300942,-0.0035840427,8.41,1.9329313,1.913127,1.9239029,1.9185117
0.068,26.579597,0.82961386,-0.0036910293,8.41,1.932902,1.9130698,1.9238303,1.9184469
0.07,26.444931,0.82912,-0.0037978876,8.41,1.9328715,1.9130107,1.9237553,1.9183798
0.072,26.306412,0.8286126,-0.0039046176,8.41,1.9328399,1.9129496,1.9236777,1.9183104
0.074,26.16404,0.8280919,-0.0040112194,8.41,1.9328072,1.9128864,1.9235975,1.9182386
0.076,26.017815,0.8275578,-0.004117693,8.41,1.9327735,1.912821,1.9235147,1.9181646
0.078,25.867737,0.8270104,-0.004224038,8.41,1.9327385,1.9127537,1.9234294,1.9180882
0.08,25.713806,0.82644975,-0.004330255,8.41,1.9327024,1.9126842,1.9233413,1.9180094
0.082,25.556026,0.825876,-0.004436341,8.41,1.9326651,1.9126126,1.9232506,1.9179282
0.084,25.394527,0.82528955,-0.0045422227,8.41,1.9326266,1.9125386,1.9231571,1.9178445
0.086,25.229221,0.8246903,-0.0046479492,8.41,1.9325869,1.9124626,1.9230609,1.9177583
0.088,25.060114,0.82407826,-0.004753518,8.41,1.9325459,1.9123843,1.9229618,1.9176697
0.09,24.88721,0.82345355,-0.004858925,8.41,1.9325037,1.9123037,1.92286,1.9175783
0.092,24.710514,0.82281625,-0.0049641686,8.41,1.9324602,1.9122207,1.9227554,1.9174845
