Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eXST1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
7.262,9.388074558435777,0.3971288158418467,0.4,3.5357359323206335e-05,1.8510964071199871,0.994980424836945,0.9398991900189274,0.9526685034125542,0.9445661200674116
7.264,9.389359399133077,0.39715705530499157,0.4,3.602156942009372e-05,1.8511039873206554,0.9949793274244635,0.9398995226202739,0.952669429062914,0.9445668427010973
7.266,9.390668031008591,0.39718565555636487,0.4,3.667907750130593e-05,1.8511115170084493,0.9949782404339912,0.9398998748856032,0.9526703769636267,0.9445675875289535
7.268,9.392000211291199,0.39721461126630825,0.4,3.732980052264956e-05,1.8511189959223668,0.9949771638198965,0.9399002465894946,0.9526713468288628,0.9445683542771112
7.27,9.393355694242802,0.39724391706534956,0.4,3.7973656697546694e-05,1.851126423810969,0.9949760975353723,0.9399006375043519,0.9526723383703385,0.9445691426692504
7.272,9.394734231203755,0.39727356754512333,0.4,3.861056550611237e-05,1.8511338004323785,0.9949750415324511,0.9399010474004504,0.952673351297369,0.9445699524266536
7.274,9.396135570638634,0.3973035572592992,0.4,3.924044770401328e-05,1.8511411255542758,0.9949739957620192,0.9399014760459804,0.9526743853169234,0.9445707832682579
7.276,9.397559458182306,0.3973338807245108,0.4,3.986322533111193e-05,1.8511483989538937,0.9949729601738307,0.9399019232070933,0.9526754401336786,0.9445716349107093
7.278,9.399005636686317,0.39736453242128883,0.4,4.047882171988923e-05,1.8511556204180097,0.9949719347165235,0.9399023886479456,0.9526765154500735,0.9445725070684133
7.28,9.400473846265573,0.3973955067949978,0.4,4.1087161503650014e-05,1.8511627897429375,0.9949709193376317,0.9399028721307453,0.9526776109663645,0.9445733994535913
7.282,9.40196382434531,0.3974267982567723,0.4,4.168817062450682e-05,1.8511699067345142,0.9949699139836027,0.9399033734157969,0.95267872638068,0.9445743117763314
7.284,9.403475305708366,0.39745840118446135,0.4,4.2281776341146294e-05,1.8511769712080892,0.9949689185998108,0.9399038922615475,0.9526798613890746,0.9445752437446441
7.286,9.405008022542688,0.39749030992357054,0.4,4.286790723637179e-05,1.851183982988508,0.9949679331305721,0.9399044284246316,0.952681015685585,0.9445761950645141
7.288,9.406561704489164,0.39752251878820877,0.4,4.344649322442602e-05,1.8511909419100963,0.9949669575191612,0.9399049816599184,0.9526821889622857,0.9445771654399562
7.29,9.408136078689655,0.3975550220620369,0.4,4.401746555809024e-05,1.8511978478166415,0.9949659917078242,0.9399055517205568,0.9526833809093435,0.9445781545730679
7.292,9.409730869835323,0.397587813999219,0.4,4.458075683556327e-05,1.8512047005613728,0.9949650356377964,0.9399061383580225,0.952684591215073,0.9445791621640846
7.294,9.411345800215187,0.39762088882537316,0.4,4.513630100711524e-05,1.8512115000069382,0.9949640892493158,0.939906741322163,0.9526858195659932,0.944580187911433
7.296,9.412980589764908,0.39765424073852856,0.4,4.568403338151918e-05,1.8512182460253823,0.9949631524816396,0.9399073603612447,0.9526870656468821,0.9445812315117859
7.298,9.414634956115806,0.39768786391007915,0.4,4.622389063225758e-05,1.8512249384981205,0.9949622252730596,0.9399079952219995,0.9526883291408327,0.9445822926601163
7.3,9.416308614644104,0.39772175248574265,0.4,4.6755810803507066e-05,1.8512315773159116,0.9949613075609178,0.939908645649671,0.9526896097293097,0.9445833710497528
7.302,9.418001278520373,0.3977559005865186,0.4,4.7279733315896436e-05,1.8512381623788294,0.9949603992816227,0.9399093113880606,0.9526909070922044,0.9445844663724332
7.304,9.419712658759188,0.39779030230964935,0.4,4.779559897204119e-05,1.8512446935962328,0.9949595003706639,0.9399099921795748,0.9526922209078909,0.9445855783183593
7.306,9.421442464268972,0.3978249517295806,0.4,4.8303349961851864e-05,1.8512511708867332,0.994958610762629,0.9399106877652713,0.9526935508532821,0.9445867065762522
7.308,9.423190401902039,0.3978598428989232,0.4,4.880292986761946e-05,1.851257594178162,0.9949577303912192,0.9399113978849056,0.9526948966038862,0.9445878508334059
7.31,9.424956176504788,0.39789496984941697,0.4,4.9294283668873126e-05,1.851263963407534,0.9949568591892652,0.9399121222769786,0.9526962578338621,0.9445890107757431
7.312,9.426739490968115,0.3979303265928937,0.4,4.977735774701405e-05,1.8512702785210127,0.9949559970887435,0.939912860678782,0.9526976342160757,0.9445901860878695
7.314,9.428540046277941,0.39796590712224067,0.4,5.025209988972194e-05,1.85127653947387,0.9949551440207919,0.9399136128264453,0.952699025422156,0.9445913764531281
7.316,9.430357541565915,0.3980017054123652,0.4,5.071845929513845e-05,1.8512827462304484,0.9949542999157263,0.9399143784549833,0.952700431122551,0.9445925815536548
7.318,9.432191674160276,0.39803771542115907,0.4,5.117638657582271e-05,1.8512888987641187,0.994953464703056,0.9399151572983416,0.9527018509865834,0.944593801070432
7.32,9.434042139636826,0.3980739310904631,0.4,5.1625833762482084e-05,1.851294997057238,0.994952638311501,0.939915949089444,0.9527032846825079,0.9445950346833444
7.322,9.435908631870051,0.39811034634703213,0.4,5.20667543074765e-05,1.8513010411011053,0.994951820669007,0.939916753560239,0.952704731877565,0.9445962820712326
7.324,9.437790843084365,0.39814695510349657,0.4,5.2499103088098835e-05,1.8513070308959159,0.9949510117027622,0.939917570441746,0.9527061922380391,0.9445975429119486
7.326,9.439688463905455,0.39818375125932937,0.4,5.2922836409628094e-05,1.851312966450715,0.9949502113392134,0.9399183994641017,0.9527076654293126,0.9445988168824094
7.328,9.44160118341175,0.39822072870180664,0.4,5.333791200815814e-05,1.8513188477833493,0.9949494195040818,0.9399192403566073,0.9527091511159226,0.9446001036586522
7.33,9.443528689185966,0.3982578813069715,0.4,5.374428905320026e-05,1.851324674920417,0.9949486361223806,0.9399200928477742,0.9527106489616161,0.9446014029158882
7.332,9.445470667366765,0.39829520294059484,0.4,5.41419281500626e-05,1.8513304478972177,0.9949478611184297,0.9399209566653706,0.9527121586294061,0.9446027143285572
7.334,9.447426802700472,0.3983326874591363,0.4,5.453079134200287e-05,1.8513361667576993,0.9949470944158725,0.9399218315364674,0.9527136797816267,0.9446040375703821
7.336,9.449396778592886,0.3983703287107032,0.4,5.491084211215775e-05,1.8513418315544055,0.9949463359376921,0.9399227171874842,0.9527152120799883,0.9446053723144218
7.338,9.45138027716114,0.3984081205360095,0.4,5.5282045385247e-05,1.85134744234842,0.9949455856062275,0.9399236133442365,0.9527167551856335,0.9446067182331264
7.34,9.453376979285629,0.3984460567693324,0.4,5.5644367529055446e-05,1.8513529992093118,0.9949448433431901,0.9399245197319799,0.9527183087591914,0.9446080749983906
7.342,9.45538656466198,0.39848413123946685,0.4,5.59977763556898e-05,1.8513585022150771,0.9949441090696796,0.9399254360754571,0.9527198724608332,0.9446094422816071
7.344,9.457408711853077,0.39852233777068,0.4,5.6342241122613274e-05,1.8513639514520817,0.9949433827061996,0.9399263620989429,0.9527214459503274,0.9446108197537204
7.346,9.459443098341088,0.39856067018366226,0.4,5.667773253345669e-05,1.8513693470150006,0.9949426641726751,0.9399272975262902,0.952723028887093,0.9446122070852806
7.348,9.461489400579568,0.39859912229647776,0.4,5.7004222738608995e-05,1.8513746890067586,0.994941953388467,0.9399282420809753,0.952724620930256,0.9446136039464957
7.35,9.463547294045522,0.3986376879255106,0.4,5.732168533558431e-05,1.8513799775384683,0.9949412502723896,0.9399291954861427,0.9527262217387025,0.9446150100072855
7.352,9.465616453291522,0.3986763608864125,0.4,5.763009536916898e-05,1.8513852127293666,0.9949405547427255,0.9399301574646504,0.9527278309711324,0.9446164249373341
7.354,9.467696551997799,0.3987151349950431,0.4,5.792942933134684e-05,1.8513903947067518,0.9949398667172423,0.9399311277391156,0.9527294482861157,0.9446178484061428
7.356,9.469787263024342,0.3987540040684131,0.4,5.821966516100632e-05,1.8513955236059185,0.9949391861132084,0.9399321060319579,0.9527310733421436,0.9446192800830825
7.358,9.471888258462979,0.3987929619256195,0.4,5.850078224342619e-05,1.851400599570092,0.9949385128474085,0.9399330920654455,0.9527327057976835,0.9446207196374461
7.36,9.47399920968943,0.398832002388783,0.4,5.8772761409543975e-05,1.851405622750361,0.99493784683616,0.9399340855617383,0.9527343453112329,0.9446221667385002
7.362,9.476119787415334,0.39887111928397867,0.4,5.903558493500506e-05,1.8514105933056109,0.9949371879953286,0.939935086242933,0.952735991541371,0.9446236210555377
7.364,9.478249661740248,0.3989103064421654,0.4,5.9289236538996046e-05,1.8514155114024538,0.994936536240344,0.9399360938311068,0.9527376441468132,0.9446250822579291
