Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.124,34.4037,0.40000004,-6.3076555e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.126,34.4037,0.40000004,-6.4072764e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.128,34.4037,0.40000004,-6.5068256e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.13,34.4037,0.40000004,-6.6063033e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.132,34.4037,0.40000004,-6.7052486e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.134,34.4037,0.40000004,-6.803549e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.136,34.4037,0.40000004,-6.9017175e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.138,34.4037,0.40000004,-6.9997547e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.14,34.4037,0.40000004,-7.097661e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.142,34.4037,0.40000004,-7.195435e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.144,34.4037,0.40000004,-7.293077e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.146,34.4037,0.40000004,-7.390588e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.148,34.4037,0.40000004,-7.4879675e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.15,34.4037,0.40000004,-7.585216e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.152,34.4037,0.40000004,-7.682332e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.154,34.4037,0.40000004,-7.7793166e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.156,34.4037,0.40000004,-7.8761697e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.158,34.4037,0.40000004,-7.972891e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.16,34.4037,0.40000004,-8.069481e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.162,34.403698,0.40000004,-8.1659396e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.164,34.403698,0.40000004,-8.2622664e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.166,34.403698,0.40000004,-8.3584617e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.168,34.403698,0.40000004,-8.4545254e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.17,34.403698,0.40000004,-8.5504576e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.172,34.403698,0.40000004,-8.646258e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.174,34.403698,0.40000004,-8.741927e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.176,34.403698,0.40000004,-8.8374646e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.178,34.403698,0.40000004,-8.93287e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.18,34.403698,0.40000004,-9.0281443e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.182,34.403698,0.40000004,-9.123287e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.184,34.403698,0.40000004,-9.2182983e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.186,34.403698,0.40000004,-9.313178e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.188,34.403698,0.40000004,-9.407926e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.19,34.403698,0.40000004,-9.502542e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.192,34.403698,0.40000004,-9.597027e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.194,34.403698,0.40000004,-9.69138e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.196,34.403698,0.40000004,-9.785602e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.198,34.403698,0.40000004,-9.879692e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.2,34.403698,0.40000004,-9.973651e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.202,34.403698,0.40000004,-1.0067477e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.204,34.403698,0.40000004,-1.0161173e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.206,34.403698,0.40000004,-1.0254736e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.208,34.403698,0.40000004,-1.0348169e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.21,34.403698,0.40000004,-1.0441469e-09,0.99999994,0.9919935,0.99999994,0.99598414
