Time,cSVGN1.Q,GEN1.V,LOAD.V,GEN2.V,SHUNT.V,FAULT.V
3.82,0.13061254716640794,0.9145096414211934,0.8981680193934568,0.9247605037312369,0.9166270493232138,0.9095024213475636
3.84,0.1312311404004591,0.9152754687900141,0.8989099020121064,0.9254111004316543,0.9173711000778192,0.9102185351289657
3.86,0.13185420051601257,0.9160744100973189,0.8996815151676468,0.9260883730637912,0.9181442815724293,0.9109638094957098
3.88,0.13247992927281577,0.9169001120138452,0.9004768032997615,0.9267870330239529,0.9189406905202185,0.9117323952762004
3.9,0.1331060406829519,0.9177441457409696,0.9012880930658093,0.9275004847059644,0.9197529159048151,0.9125169493105475
3.92,0.13372997240054163,0.9185968176804244,0.9021067660816695,0.9282213726066125,0.9205726697811388,0.9133092584559822
3.94,0.13434929223423622,0.9194493561385103,0.902924794339858,0.928942703045979,0.9213921422039157,0.9141015830225213
3.96,0.13496140419998984,0.9202915289002129,0.9037332900276951,0.9296569097630801,0.9222028049491346,0.9148854670499882
3.98,0.1355640857186038,0.9211147137982902,0.9045245609574109,0.9303573018848437,0.9229971906905977,0.9156535024597268
4.0,0.13615607931343604,0.9219145352246895,0.9052941616543244,0.9310397023956463,0.9237707924314074,0.9164012118632562
4.02,0.13673459524858833,0.9226799135201444,0.9060328558880564,0.9316963264950079,0.9245147977254214,0.9171198603050857
4.04,0.1372985788149148,0.9234067883377525,0.9067366780678403,0.9323234397849826,0.925225187239583,0.9178054494917298
4.06,0.13784697925750938,0.9240909963021996,0.9074016682473564,0.9329173343024653,0.9258979614835097,0.9184540005382222
4.08,0.13837748211537662,0.9247232032892434,0.9080201265147975,0.933471455379422,0.9265257378506112,0.9190581920281901
4.1,0.13888959020522204,0.9253014246228234,0.9085897796746516,0.9339833857855954,0.9271060479525279,0.9196155577129896
4.12,0.13938165649823564,0.9258188547704229,0.9091049103193896,0.9344481198863903,0.9276333291872652,0.9201205739914828
4.14,0.1398523128999007,0.9262697804690513,0.9095606825418799,0.9348613633052403,0.9281028413231991,0.9205685308801398
4.16,0.14030295190268527,0.9266597678663311,0.9099608772793129,0.9352256363199024,0.9285177927144245,0.9209625827541957
4.18,0.1407318049532224,0.9269813788400041,0.9102993423988337,0.935535608491084,0.9288722325143569,0.9212968208720264
4.2,0.14113871261422264,0.9272333948006103,0.91057488843162,0.935790015582513,0.9291648774507043,0.9215699553061061
4.22,0.14152440970050434,0.927417757678943,0.9107889943443283,0.9359898851758174,0.9293970210654605,0.9217832461188741
4.24,0.14188802080111762,0.9275307524003572,0.9109382664167025,0.9361320660935519,0.9295652547837022,0.921933299663354
4.26,0.1422299925695524,0.9275729766754048,0.911023233942326,0.9362169337795673,0.9296700579813325,0.9220205711231476
4.28,0.1425509015344137,0.9275454865259573,0.9110447883986388,0.9362451908826346,0.9297122696236344,0.9220458715682159
4.3,0.14285100642997217,0.927448459593871,0.9110028720895162,0.9362166468707376,0.9296917621190341,0.9220090549373863
4.32,0.1431321620213207,0.927289059583959,0.9109030000608731,0.936135720634119,0.929613664753422,0.9219151899725609
4.34,0.14339562713793236,0.9270714296243976,0.9107483481276106,0.9360049773879225,0.9294809537615053,0.9217672070968927
4.36,0.14364282457957175,0.9268001778491004,0.9105426017585067,0.9358275075937257,0.9292971517214131,0.9215685791515119
4.38,0.14387347270705972,0.9264711543579967,0.9102834339120436,0.9356020689066502,0.9290605122664495,0.9213175581911666
4.4,0.1440893258503897,0.9260899909681926,0.9099755427541472,0.9353327318997033,0.9287756041159246,0.9210186545339919
4.42,0.14429210243774718,0.9256622122973623,0.909623680331339,0.9350237013050043,0.9284471003306265,0.9206764859809593
4.44,0.1444842508519114,0.925197104844444,0.9092353860620079,0.934681337972646,0.9280822060236839,0.9202981845955027
4.46,0.14466764623426984,0.9247001113118948,0.9088157461709926,0.9343103358153724,0.9276860460843723,0.919888816002231
4.48,0.14484310199517797,0.9241723848404957,0.9083664336174031,0.9339125921454574,0.9272605378021935,0.9194502686970903
4.5,0.14501181194340595,0.9236165624491697,0.9078904285822847,0.933491129818659,0.9268088599086554,0.9189856828337772
4.52,0.1451755059755086,0.9230373904233407,0.9073925334848655,0.9330505164951619,0.9263359347546863,0.9184999281264733
4.54,0.14533740614881743,0.9224483440141921,0.9068834247744411,0.9325994623022856,0.9258517667568436,0.9180029190344303
4.56,0.14549930421284837,0.9218545480276299,0.9063682833139505,0.9321428267837785,0.9253616203152164,0.9174998673834766
4.58,0.14566329844911208,0.9212630998445129,0.905853626544634,0.9316863944111582,0.9248719037474487,0.9169971222656714
4.6,0.14583043221500414,0.9206766600687635,0.905342563998467,0.9312332288135086,0.9243858681033406,0.9164979058595347
4.62,0.14600288380683965,0.920102688546972,0.9048420392695514,0.9307894842905471,0.9239103331972393,0.9160089783352852
4.64,0.14618202375106187,0.9195459695462053,0.9043566429965043,0.9303592635520138,0.9234498261471475,0.91553483153592
4.66,0.14636915017329574,0.9190109185424058,0.9038906363811786,0.9299463644353938,0.9230085440731459,0.9150796286118508
4.68,0.14656603569574095,0.9185028508128383,0.9034494596043581,0.9295557716289078,0.9225919366130241,0.9146487705192824
4.7,0.14677345105295855,0.9180257902237032,0.9030365131844947,0.9291902690751556,0.9222031850289032,0.9142454248809013
4.72,0.14699269020970984,0.9175840221809743,0.9026560688929935,0.928853691379492,0.9218465138108574,0.9138737834279922
4.74,0.14722510864616312,0.9171818297050978,0.9023124791151018,0.9285499741285298,0.9215262468927503,0.9135381351568878
4.76,0.1474716600011318,0.91682511974328,0.9020100990441406,0.9282823695576747,0.921246259152891,0.913242338247927
4.78,0.14773358152681845,0.9165174723805464,0.9017527913346595,0.9280544546037469,0.9210104422474451,0.9129902527616345
4.8,0.1480115106798172,0.9162616412020043,0.9015431415938991,0.9278684545278292,0.9208212849984895,0.9127843566172226
4.82,0.14830509341667272,0.9160576292768777,0.9013810948186576,0.9277242429812937,0.9206786672388406,0.9126245500786635
4.84,0.14861546962181213,0.9159094767440403,0.9012704758406338,0.9276251716692391,0.9205863172748278,0.912514534629326
4.86,0.14894242223494908,0.9158173736705946,0.9012114148715681,0.9275713011273471,0.9205443140683817,0.9124544044653359
4.88,0.14928576279032038,0.9157816196108327,0.9012041106548191,0.9275627499087321,0.9205528020564501,0.9124443184434581
4.9,0.14964601583404205,0.9158045732234964,0.9012506952225392,0.9276013567304652,0.92061383329649,0.9124863213169564
4.92,0.15002230840420397,0.9158841902347357,0.9013492493507794,0.9276854293030193,0.920725511964315,0.9125785512407678
4.94,0.15041433066855395,0.9160203385462111,0.9014995213810021,0.9278147050354,0.9208875511354604,0.9127207389302304
4.96,0.1508215325411031,0.9162120587826617,0.9017005131150061,0.9279882865203833,0.921098946981203,0.9129119049631761
4.98,0.1512423272157859,0.9164540308508133,0.9019477183043779,0.9282024435916243,0.9213554277180643,0.9131478291261819
5.0,0.1516756548972535,0.9167436176757978,0.9022386212220561,0.9284549808258343,0.9216545270939503,0.9134260839322706
5.02,0.15212034391990836,0.9170776674775779,0.902570252717741,0.9287433196922735,0.9219933469802184,0.9137438120323346
5.04,0.15257563102686564,0.9174546465140714,0.9029408718841994,0.929065841839198,0.9223701156949439,0.9140992702298646
5.06,0.1530399082198866,0.917869918688772,0.9033462079909825,0.9294188644516931,0.9227806871256388,0.9144883651791287
5.08,0.1535114752202296,0.9183180122531702,0.9037813902934161,0.9297982509574009,0.9232203803831298,0.9149064685022413
5.1,0.15398848593541303,0.9187929224352668,0.9042411008813718,0.9301994875177265,0.9236840879556947,0.9153485287306977
5.12,0.15446904498244296,0.91928871976038,0.9047200194312527,0.930618018710321,0.9241666735688837,0.9158094674620102
5.14,0.1549523789966796,0.9198039572020709,0.9052163072875078,0.9310520416031952,0.9246662113433495,0.9162873845091839
5.16,0.15543664998271528,0.920332804244987,0.9057247182811993,0.9314970393135489,0.9251776237153287,0.9167772566833573
5.18,0.15592017739743896,0.9208699742964679,0.9062404478567957,0.9319488425288304,0.9256962408604478,0.917274463142191
5.2,0.15640102193171374,0.9214086359565988,0.9067576053461178,0.932402465351747,0.9262164236418682,0.917773418316411
5.22,0.15687742904269159,0.9219430519440144,0.9072710793064546,0.932853487705065,0.9267332173199235,0.9182692166757326
5.24,0.15734801892398945,0.9224686753557112,0.9077766929971274,0.9332982196307057,0.9272425275388031,0.9187578001839342
5.26,0.15781176669974367,0.9229824286567829,0.9082714247791116,0.9337338848720217,0.9277413246775446,0.919236165736671
5.28,0.1582667967800018,0.9234779409933008,0.9087498291703568,0.9341558433419157,0.928224375469047,0.9196991318628526
5.3,0.15871254460029285,0.9239533047380272,0.9092098945018146,0.9345621491805157,0.9286896089125595,0.9201446373389851
5.32,0.15914786536485187,0.9244046489185154,0.9096481386554689,0.9349497104245507,0.9291336044094344,0.9205692899716555
5.34,0.1595712931932956,0.9248270075816946,0.9100602759556591,0.9353148129863041,0.9295522066150703,0.920968973017856
5.36,0.15998202438402603,0.9252175724476734,0.9104437272515105,0.9356551085492231,0.9299428490344886,0.9213411373335992
5.38,0.16038015362429325,0.9255764654042506,0.910798221772418,0.9359701003325903,0.9303051165280218,0.921685356622043
5.4,0.16076409846250808,0.92589825171124,0.9111191689092735,0.9362558468835843,0.9306345813030821,0.921997244862619
5.42,0.16113286847373248,0.9261794341010692,0.911403507016985,0.9365096344773949,0.9309282413700646,0.9222738229942649
