Time,gENSAE.delta,gENSAE.PELEC,gENSAE.PMECH,gENSAE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.4000000252477882,0.4,0.0,0.9999999913060579,0.9919935378249138,0.999999995492736,0.9959841726474757
1.0058283805847169e-10,34.40369990063831,0.40000002524778805,0.4,-2.966458315951074e-19,0.9999999913060579,0.991993537824914,0.9999999954927361,0.9959841726474759
1.0058283805847169e-10,34.40369990063831,0.40000002524778805,0.4,-2.966458315951074e-19,0.9999999913060579,0.991993537824914,0.9999999954927361,0.9959841726474759
0.002,34.40369990053213,0.40000002524519374,0.4,-5.8985376703297135e-12,0.9999999913061227,0.9919935378249695,0.9999999954927687,0.9959841726475193
0.004,34.40369990021364,0.4000000252375213,0.4,-1.1795321568730776e-11,0.999999991306294,0.9919935378251217,0.9999999954928576,0.9959841726476377
0.006,34.403699899682906,0.4000000252249294,0.4,-1.7689184218738084e-11,0.9999999913065399,0.9919935378253504,0.999999995492989,0.9959841726478146
0.008,34.40369989894006,0.40000002520756606,0.4,-2.3578993968898576e-11,0.9999999913068307,0.9919935378256368,0.9999999954931511,0.9959841726480345
0.01,34.40369989798528,0.4000000251855707,0.4,-2.946365289813318e-11,0.9999999913071398,0.9919935378259646,0.999999995493333,0.9959841726482836
0.012,34.40369989681875,0.40000002515907346,0.4,-3.534209464760266e-11,0.9999999913074429,0.991993537826318,0.9999999954935247,0.9959841726485495
0.014,34.40369989544073,0.40000002512819666,0.4,-4.121328247306169e-11,0.9999999913077188,0.9919935378266836,0.9999999954937172,0.9959841726488209
0.016,34.403699893851496,0.4000000250930554,0.4,-4.707620738584058e-11,0.999999991307947,0.9919935378270488,0.9999999954939024,0.9959841726490871
0.018,34.40369989205136,0.40000002505375776,0.4,-5.2929886615912665e-11,0.99999999130811,0.9919935378274021,0.9999999954940727,0.9959841726493389
0.02,34.40369989004067,0.40000002501040555,0.4,-5.877336193013127e-11,0.9999999913081916,0.9919935378277333,0.9999999954942217,0.9959841726495681
0.022,34.40369988781981,0.4000000249630945,0.4,-6.460569834172507e-11,0.9999999913081774,0.9919935378280331,0.9999999954943433,0.9959841726497668
0.024,34.4036998853892,0.4000000249119157,0.4,-7.042598270738789e-11,0.9999999913080545,0.9919935378282931,0.999999995494432,0.9959841726499282
0.026,34.4036998827493,0.4000000248569542,0.4,-7.623332252540164e-11,0.999999991307811,0.9919935378285061,0.9999999954944832,0.9959841726500465
0.028,34.40369987990057,0.40000002479829116,0.4,-8.202684485048847e-11,0.9999999913074369,0.9919935378286653,0.9999999954944923,0.9959841726501156
0.03,34.40369987684355,0.40000002473600327,0.4,-8.780569512219689e-11,0.9999999913069227,0.9919935378287645,0.9999999954944555,0.9959841726501313
0.032,34.40369987357875,0.4000000246701631,0.4,-9.356903646236583e-11,0.9999999913062607,0.9919935378287987,0.9999999954943696,0.9959841726500889
0.034,34.40369987010677,0.4000000246008401,0.4,-9.93160484862175e-11,0.9999999913054436,0.9919935378287632,0.9999999954942315,0.9959841726499845
0.036,34.4036998664282,0.4000000245280994,0.4,-1.0504592672952044e-10,0.999999991304465,0.9919935378286535,0.9999999954940384,0.9959841726498148
0.038,34.403699862543675,0.40000002445200394,0.4,-1.1075788168881724e-10,0.9999999913033196,0.9919935378284663,0.999999995493788,0.9959841726495768
0.04,34.403699858453855,0.4000000243726131,0.4,-1.1645113830262873e-10,0.9999999913020022,0.991993537828198,0.9999999954934784,0.9959841726492678
0.042,34.40369985415943,0.4000000242899847,0.4,-1.2212493516029036e-10,0.9999999913005098,0.9919935378278464,0.9999999954931077,0.9959841726488858
0.044,34.40369984966111,0.4000000242041721,0.4,-1.277785239334385e-10,0.999999991298838,0.9919935378274086,0.9999999954926745,0.9959841726484288
0.046,34.403699844959625,0.40000002411522845,0.4,-1.3341116888531612e-10,0.9999999912969844,0.9919935378268828,0.9999999954921776,0.9959841726478951
0.048,34.40369984005576,0.40000002402320345,0.4,-1.390221462633492e-10,0.9999999912949469,0.9919935378262673,0.9999999954916157,0.9959841726472832
0.05,34.4036998349503,0.4000000239281456,0.4,-1.44610743916535e-10,0.9999999912927233,0.9919935378255607,0.9999999954909883,0.9959841726465922
0.052,34.40369982964407,0.4000000238301014,0.4,-1.5017626081123252e-10,0.9999999912903124,0.9919935378247619,0.9999999954902944,0.9959841726458212
0.054,34.403699824137895,0.4000000237291157,0.4,-1.5571800667016724e-10,0.9999999912877133,0.9919935378238699,0.9999999954895336,0.9959841726449694
0.056,34.40369981843266,0.4000000236252316,0.4,-1.6123530152280787e-10,0.9999999912849252,0.9919935378228839,0.9999999954887054,0.9959841726440363
0.058,34.403699812529254,0.4000000235184912,0.4,-1.667274754632618e-10,0.9999999912819477,0.9919935378218041,0.99999999548781,0.9959841726430217
0.06,34.4036998064286,0.4000000234089351,0.4,-1.7219386826982478e-10,0.9999999912787811,0.9919935378206295,0.999999995486847,0.9959841726419255
0.062,34.40369980013162,0.40000002329660306,0.4,-1.7763382911531998e-10,0.9999999912754258,0.9919935378193604,0.9999999954858163,0.9959841726407473
0.064,34.403699793639284,0.40000002318153277,0.4,-1.830467163682262e-10,0.999999991271882,0.9919935378179968,0.9999999954847183,0.9959841726394876
0.066,34.40369978695259,0.4000000230637621,0.4,-1.8843189728788537e-10,0.9999999912681502,0.9919935378165389,0.9999999954835529,0.9959841726381464
0.068,34.403699780072536,0.40000002294332726,0.4,-1.9378874778888276e-10,0.999999991264232,0.991993537814987,0.9999999954823207,0.9959841726367241
0.07,34.40369977300015,0.40000002282026387,0.4,-1.991166522097506e-10,0.9999999912601283,0.9919935378133415,0.9999999954810216,0.995984172635221
0.072,34.40369976573649,0.4000000226946065,0.4,-2.0441500327838153e-10,0.99999999125584,0.9919935378116029,0.9999999954796563,0.9959841726336376
0.074,34.403699758282634,0.40000002256638956,0.4,-2.0968320172509365e-10,0.9999999912513691,0.9919935378097722,0.9999999954782254,0.9959841726319744
0.076,34.40369975063967,0.40000002243564675,0.4,-2.1492065628263023e-10,0.9999999912467169,0.9919935378078497,0.9999999954767292,0.9959841726302324
0.078,34.40369974280872,0.40000002230241005,0.4,-2.201267834764799e-10,0.9999999912418851,0.9919935378058365,0.9999999954751687,0.9959841726284121
0.08,34.40369973479092,0.40000002216671243,0.4,-2.253010073979035e-10,0.9999999912368756,0.9919935378037333,0.9999999954735439,0.9959841726265141
0.082,34.40369972658743,0.4000000220285857,0.4,-2.3044275982930968e-10,0.9999999912316905,0.9919935378015412,0.999999995471856,0.9959841726245394
0.084,34.40369971819944,0.40000002188806083,0.4,-2.3555147990055263e-10,0.9999999912263317,0.9919935377992609,0.9999999954701054,0.9959841726224887
0.086,34.403699709628135,0.40000002174516913,0.4,-2.40626614078124e-10,0.9999999912208011,0.9919935377968939,0.9999999954682931,0.9959841726203632
0.088,34.40369970087473,0.400000021599941,0.4,-2.456676160505853e-10,0.9999999912151009,0.9919935377944411,0.9999999954664198,0.9959841726181637
0.09,34.403699691940474,0.4000000214524064,0.4,-2.5067394669182007e-10,0.9999999912092336,0.9919935377919031,0.9999999954644861,0.995984172615891
0.092,34.40369968282663,0.40000002130259554,0.4,-2.556450739097181e-10,0.9999999912032009,0.991993537789282,0.9999999954624932,0.9959841726135463
0.094,34.40369967353446,0.40000002115053807,0.4,-2.605804726094279e-10,0.999999991197006,0.9919935377865782,0.9999999954604415,0.9959841726111306
0.096,34.40369966406527,0.40000002099626264,0.4,-2.6547962463499165e-10,0.9999999911906503,0.9919935377837934,0.9999999954583322,0.9959841726086448
0.098,34.40369965442037,0.4000000208397995,0.4,-2.703420187217892e-10,0.9999999911841368,0.9919935377809287,0.9999999954561661,0.9959841726060903
0.1,34.4036996446011,0.4000000206811772,0.4,-2.7516715049005314e-10,0.9999999911774682,0.9919935377779853,0.999999995453944,0.9959841726034677
0.102,34.40369963460879,0.40000002052042366,0.4,-2.799545222351887e-10,0.999999991170646,0.9919935377749644,0.9999999954516668,0.9959841726007784
0.104,34.403699624444826,0.4000000203575683,0.4,-2.847036430466646e-10,0.9999999911636737,0.9919935377718675,0.9999999954493355,0.9959841725980236
0.106,34.40369961411059,0.4000000201926394,0.4,-2.8941402869344547e-10,0.9999999911565531,0.9919935377686957,0.999999995446951,0.9959841725952041
0.108,34.403699603607485,0.4000000200256649,0.4,-2.940852016585784e-10,0.9999999911492872,0.9919935377654506,0.9999999954445142,0.9959841725923214
0.11,34.40369959293694,0.4000000198566737,0.4,-2.987166910678584e-10,0.999999991141878,0.9919935377621335,0.999999995442026,0.9959841725893763
0.112,34.40369958210037,0.4000000196856935,0.4,-3.0330803260120083e-10,0.9999999911343286,0.9919935377587454,0.9999999954394875,0.9959841725863704
0.114,34.403699571099246,0.40000001951275205,0.4,-3.0785876862234037e-10,0.9999999911266414,0.9919935377552879,0.9999999954368993,0.9959841725833042
0.116,34.403699559935035,0.40000001933787743,0.4,-3.123684480145456e-10,0.9999999911188185,0.9919935377517624,0.9999999954342628,0.9959841725801793
0.118,34.40369954860922,0.4000000191610977,0.4,-3.1683662623682203e-10,0.9999999911108632,0.99199353774817,0.9999999954315786,0.9959841725769969
0.12,34.4036995371233,0.40000001898244053,0.4,-3.212628652677091e-10,0.9999999911027777,0.9919935377445123,0.9999999954288477,0.9959841725737579
0.122,34.4036995254788,0.4000000188019336,0.4,-3.256467336420283e-10,0.9999999910945646,0.9919935377407906,0.9999999954260711,0.9959841725704635
