Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.4000000252477881,0.4,0.0,0.9999999913060578,0.9919935378249138,0.999999995492736,0.9959841726474757
0.002,34.40369990053214,0.40000002524517486,0.4,-5.898536554918729e-12,0.9999999913061285,0.9919935378249731,0.9999999954927711,0.9959841726475223
0.004,34.403699900213645,0.40000002523737493,0.4,-1.1795304251759102e-11,0.9999999913063404,0.9919935378251504,0.9999999954928763,0.9959841726476615
0.006,34.40369989968291,0.40000002522444683,0.4,-1.7689098390456942e-11,0.9999999913066929,0.9919935378254449,0.9999999954930512,0.9959841726478929
0.008,34.403699898940076,0.4000000252064482,0.4,-2.3578727798548708e-11,0.9999999913071854,0.9919935378258559,0.9999999954932951,0.9959841726482157
0.01,34.403699897985305,0.4000000251834361,0.4,-2.94630149803253e-11,0.9999999913078172,0.9919935378263823,0.9999999954936077,0.9959841726486294
0.012,34.403699896818814,0.40000002515546706,0.4,-3.53407956715323e-11,0.9999999913085874,0.9919935378270239,0.9999999954939889,0.9959841726491337
0.014,34.40369989544086,0.40000002512259614,0.4,-4.121091883720836e-11,0.9999999913094957,0.99199353782778,0.9999999954944381,0.9959841726497278
0.016,34.40369989385173,0.40000002508487814,0.4,-4.707224639067078e-11,0.9999999913105412,0.9919935378286492,0.9999999954949547,0.9959841726504112
0.018,34.403699892051776,0.4000000250423674,0.4,-5.2923653061654914e-11,0.999999991311723,0.9919935378296311,0.9999999954955383,0.9959841726511831
0.02,34.40369989004136,0.4000000249951174,0.4,-5.876402628607007e-11,0.9999999913130408,0.9919935378307246,0.9999999954961887,0.995984172652043
0.022,34.403699887820906,0.4000000249431813,0.4,-6.45922660265826e-11,0.9999999913144935,0.9919935378319293,0.9999999954969053,0.9959841726529904
0.024,34.40369988539087,0.4000000248866114,0.4,-7.040728470560481e-11,0.9999999913160801,0.9919935378332442,0.9999999954976875,0.9959841726540245
0.026,34.40369988275175,0.4000000248254594,0.4,-7.620800696319022e-11,0.9999999913178,0.9919935378346684,0.999999995498535,0.9959841726551449
0.028,34.403699879904075,0.40000002475977714,0.4,-8.199336976943938e-11,0.9999999913196522,0.9919935378362008,0.9999999954994472,0.9959841726563505
0.03,34.40369987684842,0.40000002468961526,0.4,-8.776232201162476e-11,0.999999991321636,0.9919935378378412,0.9999999955004236,0.9959841726576409
0.032,34.403699873585396,0.4000000246150249,0.4,-9.351382462605148e-11,0.9999999913237505,0.9919935378395881,0.999999995501464,0.9959841726590157
0.034,34.403699870115645,0.40000002453605576,0.4,-9.924685044890346e-11,0.9999999913259946,0.991993537841441,0.9999999955025676,0.9959841726604738
0.036,34.40369986643986,0.40000002445275806,0.4,-1.0496038399359348e-10,0.9999999913283673,0.9919935378433986,0.9999999955037339,0.9959841726620146
0.038,34.403699862558746,0.4000000243651814,0.4,-1.1065342161288705e-10,0.9999999913308678,0.9919935378454605,0.9999999955049623,0.9959841726636374
0.04,34.40369985847307,0.4000000242733752,0.4,-1.1632497122653441e-10,0.9999999913334953,0.9919935378476258,0.9999999955062527,0.9959841726653418
0.042,34.40369985418362,0.4000000241773874,0.4,-1.2197405232775562e-10,0.9999999913362484,0.9919935378498931,0.9999999955076042,0.9959841726671268
0.044,34.40369984969122,0.40000002407726776,0.4,-1.275996958794813e-10,0.9999999913391261,0.9919935378522615,0.9999999955090162,0.9959841726689915
0.046,34.40369984499673,0.4000000239730643,0.4,-1.3320094433596922e-10,0.9999999913421277,0.9919935378547305,0.9999999955104886,0.9959841726709358
0.048,34.403699840101055,0.4000000238648253,0.4,-1.3877685148500387e-10,0.999999991345252,0.991993537857299,0.9999999955120203,0.9959841726729584
0.05,34.40369983500511,0.4000000237525985,0.4,-1.4432648247383618e-10,0.9999999913484975,0.9919935378599658,0.9999999955136111,0.9959841726750583
0.052,34.40369982970987,0.40000002363643167,0.4,-1.498489136816463e-10,0.9999999913518637,0.9919935378627301,0.9999999955152603,0.9959841726772356
0.054,34.40369982421633,0.4000000235163732,0.4,-1.553432327281902e-10,0.9999999913553489,0.991993537865591,0.9999999955169672,0.9959841726794889
0.056,34.40369981852551,0.40000002339247004,0.4,-1.6080853853648748e-10,0.9999999913589527,0.9919935378685474,0.9999999955187315,0.9959841726818177
0.058,34.40369981263848,0.40000002326476936,0.4,-1.6624394105396858e-10,0.999999991362673,0.9919935378715982,0.9999999955205525,0.9959841726842211
0.06,34.40369980655632,0.40000002313331906,0.4,-1.7164856143621495e-10,0.9999999913665095,0.9919935378747425,0.9999999955224295,0.9959841726866983
0.062,34.403699800280165,0.4000000229981657,0.4,-1.770215319669782e-10,0.9999999913704605,0.9919935378779794,0.999999995524362,0.9959841726892485
0.064,34.403699793811164,0.40000002285935643,0.4,-1.823619959609057e-10,0.9999999913745249,0.9919935378813078,0.9999999955263494,0.9959841726918711
0.066,34.4036997871505,0.40000002271693796,0.4,-1.8766910775489401e-10,0.9999999913787015,0.9919935378847266,0.9999999955283911,0.995984172694565
0.068,34.4036997802994,0.4000000225709572,0.4,-1.929420327923933e-10,0.9999999913829889,0.9919935378882345,0.9999999955304862,0.9959841726973294
0.07,34.40369977325909,0.40000002242146127,0.4,-1.9817994746344516e-10,0.9999999913873862,0.9919935378918311,0.9999999955326347,0.9959841727001638
0.072,34.40369976603087,0.4000000222684966,0.4,-2.0338203917817883e-10,0.9999999913918918,0.9919935378955147,0.9999999955348353,0.995984172703067
0.074,34.40369975861603,0.40000002211211033,0.4,-2.0854750637545776e-10,0.9999999913965045,0.9919935378992845,0.9999999955370877,0.9959841727060382
0.076,34.4036997510159,0.4000000219523487,0.4,-2.136755584623533e-10,0.9999999914012231,0.9919935379031395,0.9999999955393912,0.9959841727090768
0.078,34.403699743231854,0.40000002178925814,0.4,-2.1876541577091181e-10,0.9999999914060461,0.9919935379070784,0.9999999955417453,0.9959841727121819
0.08,34.40369973526526,0.4000000216228855,0.4,-2.238163096381358e-10,0.9999999914109723,0.9919935379111003,0.999999995544149,0.9959841727153522
