Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,gGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.849682,0.40003675,0.40003675,0.0,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.002,28.849682,0.40003675,0.40003675,-4.1633364e-20,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.004,28.849682,0.40003675,0.40003675,-8.326673e-20,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.006,28.849682,0.40003675,0.40003675,-1.2490008e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.008,28.849682,0.40003675,0.40003675,-1.6653346e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.01,28.849682,0.40003675,0.40003675,-2.0816681e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.012,28.849682,0.40003675,0.40003675,-2.4980017e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.014,28.849682,0.40003675,0.40003675,-2.9143354e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.016,28.849682,0.40003675,0.40003675,-3.330669e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.018,28.849682,0.40003675,0.40003675,-3.7470028e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.02,28.849682,0.40003675,0.40003675,-4.1633362e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.022,28.849682,0.40003675,0.40003675,-4.57967e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.024,28.849682,0.40003675,0.40003675,-4.9960034e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.026,28.849682,0.40003675,0.40003675,-5.4123374e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.028,28.849682,0.40003675,0.40003675,-5.828671e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.03,28.849682,0.40003675,0.40003675,-6.245005e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.032,28.849682,0.40003675,0.40003675,-6.661338e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.034,28.849682,0.40003675,0.40003675,-7.0776716e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.036,28.849682,0.40003675,0.40003675,-7.4940056e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.038,28.849682,0.40003675,0.40003675,-7.910339e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.04,28.849682,0.40003675,0.40003675,-8.3266725e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.042,28.849682,0.40003675,0.40003675,-8.743006e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.044,28.849682,0.40003675,0.40003675,-9.15934e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
