Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,gGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.046,28.849682,0.40003675,0.40003675,-9.575673e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.048,28.849682,0.40003675,0.40003675,-9.992007e-19,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.05,28.849682,0.40003675,0.40003675,-1.0408341e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.052,28.849682,0.40003675,0.40003675,-1.0824675e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.054,28.849682,0.40003675,0.40003675,-1.1241008e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.056,28.849682,0.40003675,0.40003675,-1.1657342e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.058,28.849682,0.40003675,0.40003675,-1.2073675e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.06,28.849682,0.40003675,0.40003675,-1.249001e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.062,28.849682,0.40003675,0.40003675,-1.2906343e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.064,28.849682,0.40003675,0.40003675,-1.3322676e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.066,28.849682,0.40003675,0.40003675,-1.373901e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.068,28.849682,0.40003675,0.40003675,-1.4155343e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.07,28.849682,0.40003675,0.40003675,-1.4571677e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.072,28.849682,0.40003675,0.40003675,-1.4988011e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.074,28.849682,0.40003675,0.40003675,-1.5404345e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.076,28.849682,0.40003675,0.40003675,-1.5820678e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.078,28.849682,0.40003675,0.40003675,-1.6237012e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.08,28.849682,0.40003675,0.40003675,-1.6653345e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.082,28.849682,0.40003675,0.40003675,-1.7069679e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.084,28.849682,0.40003675,0.40003675,-1.7486013e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.086,28.849682,0.40003675,0.40003675,-1.7902345e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.088,28.849682,0.40003675,0.40003675,-1.831868e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.09,28.849682,0.40003675,0.40003675,-1.8735014e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.092,28.849682,0.40003675,0.40003675,-1.9151347e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.094,28.849682,0.40003675,0.40003675,-1.9567681e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.096,28.849682,0.40003675,0.40003675,-1.9984014e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.098,28.849682,0.40003675,0.40003675,-2.0400348e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.1,28.849682,0.40003675,0.40003675,-2.0816683e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.102,28.849682,0.40003675,0.40003675,-2.1233015e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.104,28.849682,0.40003675,0.40003675,-2.164935e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.106,28.849682,0.40003675,0.40003675,-2.2065682e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.108,28.849682,0.40003675,0.40003675,-2.2482016e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.11,28.849682,0.40003675,0.40003675,-2.289835e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.112,28.849682,0.40003675,0.40003675,-2.3314683e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.114,28.849682,0.40003675,0.40003675,-2.3731018e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.116,28.849682,0.40003675,0.40003675,-2.414735e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.118,28.849682,0.40003675,0.40003675,-2.4563685e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.12,28.849682,0.40003675,0.40003675,-2.498002e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.122,28.849682,0.40003675,0.40003675,-2.5396351e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.124,28.849682,0.40003675,0.40003675,-2.5812686e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.126,28.849682,0.40003675,0.40003675,-2.6229018e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.128,28.849682,0.40003675,0.40003675,-2.6645353e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.13,28.849682,0.40003675,0.40003675,-2.7061685e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.132,28.849682,0.40003675,0.40003675,-2.747802e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.134,28.849682,0.40003675,0.40003675,-2.7894354e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.136,28.849682,0.40003675,0.40003675,-2.8310687e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.138,28.849682,0.40003675,0.40003675,-2.8727021e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.14,28.849682,0.40003675,0.40003675,-2.9143353e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.142,28.849682,0.40003675,0.40003675,-2.9559688e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.144,28.849682,0.40003675,0.40003675,-2.9976022e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.146,28.849682,0.40003675,0.40003675,-3.0392355e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.148,28.849682,0.40003675,0.40003675,-3.080869e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.15,28.849682,0.40003675,0.40003675,-3.1225022e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.152,28.849682,0.40003675,0.40003675,-3.1641356e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.154,28.849682,0.40003675,0.40003675,-3.205769e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.156,28.849682,0.40003675,0.40003675,-3.2474023e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.158,28.849682,0.40003675,0.40003675,-3.2890358e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.16,28.849682,0.40003675,0.40003675,-3.330669e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.162,28.849682,0.40003675,0.40003675,-3.3723024e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.164,28.849682,0.40003675,0.40003675,-3.4139359e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.166,28.849682,0.40003675,0.40003675,-3.4555691e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.168,28.849682,0.40003675,0.40003675,-3.4972026e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.17,28.849682,0.40003675,0.40003675,-3.538836e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.172,28.849682,0.40003675,0.40003675,-3.580469e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.174,28.849682,0.40003675,0.40003675,-3.6221027e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.176,28.849682,0.40003675,0.40003675,-3.663736e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.178,28.849682,0.40003675,0.40003675,-3.705369e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.18,28.849682,0.40003675,0.40003675,-3.747003e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.182,28.849682,0.40003675,0.40003675,-3.788636e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.184,28.849682,0.40003675,0.40003675,-3.8302693e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.186,28.849682,0.40003675,0.40003675,-3.871903e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.188,28.849682,0.40003675,0.40003675,-3.9135362e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.19,28.849682,0.40003675,0.40003675,-3.9551695e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.192,28.849682,0.40003675,0.40003675,-3.9968027e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.194,28.849682,0.40003675,0.40003675,-4.0384364e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.196,28.849682,0.40003675,0.40003675,-4.0800696e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.198,28.849682,0.40003675,0.40003675,-4.121703e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.2,28.849682,0.40003675,0.40003675,-4.1633365e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.202,28.849682,0.40003675,0.40003675,-4.2049697e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.204,28.849682,0.40003675,0.40003675,-4.246603e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.206,28.849682,0.40003675,0.40003675,-4.2882362e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.208,28.849682,0.40003675,0.40003675,-4.32987e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.21,28.849682,0.40003675,0.40003675,-4.371503e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.212,28.849682,0.40003675,0.40003675,-4.4131364e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.214,28.849682,0.40003675,0.40003675,-4.45477e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.216,28.849682,0.40003675,0.40003675,-4.4964033e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.218,28.849682,0.40003675,0.40003675,-4.5380365e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.22,28.849682,0.40003675,0.40003675,-4.57967e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.222,28.849682,0.40003675,0.40003675,-4.6213034e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.224,28.849682,0.40003675,0.40003675,-4.6629366e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.226,28.849682,0.40003675,0.40003675,-4.70457e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.228,28.849682,0.40003675,0.40003675,-4.7462035e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.23,28.849682,0.40003675,0.40003675,-4.7878368e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.232,28.849682,0.40003675,0.40003675,-4.82947e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.234,28.849682,0.40003675,0.40003675,-4.8711037e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.236,28.849682,0.40003675,0.40003675,-4.912737e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.238,28.849682,0.40003675,0.40003675,-4.95437e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.24,28.849682,0.40003675,0.40003675,-4.996004e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.242,28.849682,0.40003675,0.40003675,-5.037637e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.244,28.849682,0.40003675,0.40003675,-5.0792703e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.246,28.849682,0.40003675,0.40003675,-5.1209035e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.248,28.849682,0.40003675,0.40003675,-5.162537e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.25,28.849682,0.40003675,0.40003675,-5.2041704e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.252,28.849682,0.40003675,0.40003675,-5.2458037e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.254,28.849682,0.40003675,0.40003675,-5.2874373e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.256,28.849682,0.40003675,0.40003675,-5.3290706e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.258,28.849682,0.40003675,0.40003675,-5.370704e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.26,28.849682,0.40003675,0.40003675,-5.412337e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.262,28.849682,0.40003675,0.40003675,-5.4539707e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.264,28.849682,0.40003675,0.40003675,-5.495604e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.266,28.849682,0.40003675,0.40003675,-5.537237e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.268,28.849682,0.40003675,0.40003675,-5.578871e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.27,28.849682,0.40003675,0.40003675,-5.620504e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.272,28.849682,0.40003675,0.40003675,-5.6621373e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.274,28.849682,0.40003675,0.40003675,-5.703771e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.276,28.849682,0.40003675,0.40003675,-5.7454042e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.278,28.849682,0.40003675,0.40003675,-5.7870375e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.28,28.849682,0.40003675,0.40003675,-5.8286707e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.282,28.849682,0.40003675,0.40003675,-5.8703044e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.284,28.849682,0.40003675,0.40003675,-5.9119376e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.286,28.849682,0.40003675,0.40003675,-5.953571e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.288,28.849682,0.40003675,0.40003675,-5.9952045e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.29,28.849682,0.40003675,0.40003675,-6.0368377e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.292,28.849682,0.40003675,0.40003675,-6.078471e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.294,28.849682,0.40003675,0.40003675,-6.1201046e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.296,28.849682,0.40003675,0.40003675,-6.161738e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.298,28.849682,0.40003675,0.40003675,-6.203371e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.3,28.849682,0.40003675,0.40003675,-6.2450043e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.302,28.849682,0.40003675,0.40003675,-6.286638e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.304,28.849682,0.40003675,0.40003675,-6.3282712e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.306,28.849682,0.40003675,0.40003675,-6.3699045e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.308,28.849682,0.40003675,0.40003675,-6.411538e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.31,28.849682,0.40003675,0.40003675,-6.4531714e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.312,28.849682,0.40003675,0.40003675,-6.4948046e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.314,28.849682,0.40003675,0.40003675,-6.536438e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.316,28.849682,0.40003675,0.40003675,-6.5780715e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.318,28.849682,0.40003675,0.40003675,-6.6197048e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.32,28.849682,0.40003675,0.40003675,-6.661338e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.322,28.849682,0.40003675,0.40003675,-6.7029717e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.324,28.849682,0.40003675,0.40003675,-6.744605e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.326,28.849682,0.40003675,0.40003675,-6.786238e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.328,28.849682,0.40003675,0.40003675,-6.8278718e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.33,28.849682,0.40003675,0.40003675,-6.869505e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.332,28.849682,0.40003675,0.40003675,-6.9111383e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.334,28.849682,0.40003675,0.40003675,-6.9527715e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.336,28.849682,0.40003675,0.40003675,-6.994405e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.338,28.849682,0.40003675,0.40003675,-7.036039e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.34,28.849682,0.40003675,0.40003675,-7.077672e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.342,28.849682,0.40003675,0.40003675,-7.119305e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.344,28.849682,0.40003675,0.40003675,-7.160938e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.346,28.849682,0.40003675,0.40003675,-7.202572e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.348,28.849682,0.40003675,0.40003675,-7.2442054e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.35,28.849682,0.40003675,0.40003675,-7.285838e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.352,28.849682,0.40003675,0.40003675,-7.327472e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.354,28.849682,0.40003675,0.40003675,-7.3691056e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.356,28.849682,0.40003675,0.40003675,-7.410738e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.358,28.849682,0.40003675,0.40003675,-7.452372e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.36,28.849682,0.40003675,0.40003675,-7.494006e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.362,28.849682,0.40003675,0.40003675,-7.5356385e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.364,28.849682,0.40003675,0.40003675,-7.577272e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.366,28.849682,0.40003675,0.40003675,-7.618906e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.368,28.849682,0.40003675,0.40003675,-7.660539e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.37,28.849682,0.40003675,0.40003675,-7.702172e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.372,28.849682,0.40003675,0.40003675,-7.743806e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.374,28.849682,0.40003675,0.40003675,-7.785439e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.376,28.849682,0.40003675,0.40003675,-7.8270725e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.378,28.849682,0.40003675,0.40003675,-7.868705e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.38,28.849682,0.40003675,0.40003675,-7.910339e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.382,28.849682,0.40003675,0.40003675,-7.951973e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.384,28.849682,0.40003675,0.40003675,-7.9936054e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.386,28.849682,0.40003675,0.40003675,-8.035239e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.388,28.849682,0.40003675,0.40003675,-8.076873e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.39,28.849682,0.40003675,0.40003675,-8.1185056e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.392,28.849682,0.40003675,0.40003675,-8.160139e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.394,28.849682,0.40003675,0.40003675,-8.201773e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.396,28.849682,0.40003675,0.40003675,-8.243406e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.398,28.849682,0.40003675,0.40003675,-8.285039e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.4,28.849682,0.40003675,0.40003675,-8.326673e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.402,28.849682,0.40003675,0.40003675,-8.368306e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.404,28.849682,0.40003675,0.40003675,-8.4099395e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.406,28.849682,0.40003675,0.40003675,-8.451573e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.408,28.849682,0.40003675,0.40003675,-8.493206e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.41,28.849682,0.40003675,0.40003675,-8.53484e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.412,28.849682,0.40003675,0.40003675,-8.5764725e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.414,28.849682,0.40003675,0.40003675,-8.618106e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.416,28.849682,0.40003675,0.40003675,-8.65974e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.418,28.849682,0.40003675,0.40003675,-8.701373e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.42,28.849682,0.40003675,0.40003675,-8.743006e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.422,28.849682,0.40003675,0.40003675,-8.78464e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.424,28.849682,0.40003675,0.40003675,-8.826273e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.426,28.849682,0.40003675,0.40003675,-8.867906e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.428,28.849682,0.40003675,0.40003675,-8.90954e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.43,28.849682,0.40003675,0.40003675,-8.951173e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.432,28.849682,0.40003675,0.40003675,-8.9928065e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.434,28.849682,0.40003675,0.40003675,-9.03444e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.436,28.849682,0.40003675,0.40003675,-9.076073e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.438,28.849682,0.40003675,0.40003675,-9.117707e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.44,28.849682,0.40003675,0.40003675,-9.15934e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.442,28.849682,0.40003675,0.40003675,-9.200973e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.444,28.849682,0.40003675,0.40003675,-9.242607e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.446,28.849682,0.40003675,0.40003675,-9.2842405e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.448,28.849682,0.40003675,0.40003675,-9.325873e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.45,28.849682,0.40003675,0.40003675,-9.367507e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.452,28.849682,0.40003675,0.40003675,-9.40914e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
0.454,28.849682,0.40003675,0.40003675,-9.4507734e-18,0.40003675,0.9999942,0.99198985,0.9999976,0.99598116
