Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,pSS2B.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.134,34.4037,0.40000004,-6.7099676e-10,-2.4208308e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.136,34.4037,0.40000004,-6.7969425e-10,-2.4162018e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.138,34.403698,0.40000004,-6.883917e-10,-2.4115728e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.14,34.403698,0.40000004,-6.970891e-10,-2.406944e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.142,34.403698,0.40000004,-7.057866e-10,-2.402315e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.144,34.403698,0.40000004,-7.14484e-10,-2.397686e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.146,34.403698,0.40000004,-7.2318146e-10,-2.393057e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.148,34.403698,0.40000004,-7.3187895e-10,-2.388428e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.15,34.403698,0.40000004,-7.405764e-10,-2.383799e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.152,34.403698,0.40000004,-7.4927387e-10,-2.37917e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.154,34.403698,0.40000004,-7.579713e-10,-2.3745411e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.156,34.403698,0.40000004,-7.6666873e-10,-2.369912e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.158,34.403698,0.40000004,-7.753662e-10,-2.365283e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.16,34.403698,0.40000004,-7.8406365e-10,-2.360654e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.162,34.403698,0.40000004,-7.927611e-10,-2.356025e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.164,34.403698,0.40000004,-8.0145857e-10,-2.351396e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.166,34.403698,0.40000004,-8.10156e-10,-2.346767e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.168,34.403698,0.40000004,-8.1885343e-10,-2.342138e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.17,34.403698,0.40000004,-8.275509e-10,-2.3375092e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.172,34.403698,0.40000004,-8.3624835e-10,-2.3328802e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.174,34.403698,0.40000004,-8.449458e-10,-2.3282512e-08,0.99999994,0.9919935,0.99999994,0.99598414
0.176,34.403698,0.40000004,-8.5364327e-10,-2.3236222e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.178,34.403698,0.40000004,-8.623407e-10,-2.3189932e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.18,34.403698,0.40000004,-8.710382e-10,-2.3143642e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.182,34.403698,0.40000004,-8.797356e-10,-2.3097352e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.184,34.403698,0.40000004,-8.8843305e-10,-2.3051063e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.186,34.403698,0.40000004,-8.9713054e-10,-2.3004773e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.188,34.403698,0.40000004,-9.0582797e-10,-2.2958483e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.19,34.403698,0.40000004,-9.145254e-10,-2.2912193e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.192,34.403698,0.40000004,-9.232229e-10,-2.2865903e-08,0.99999994,0.9919935,0.99999994,0.9959841
