Time,gENROE.delta,gENROE.PELEC,tGOV1.PMECH,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
-0.0166667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.0156667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.0146667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.0136667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.0126667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.0116667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.0106667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.00966667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.00866667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.00766667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.00666667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.00566667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.00466667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.00366667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.00266667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.00166667, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.000666665, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.000333335, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.00133333, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.00233334, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.00333334, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.00433334, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.00533334, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.00633334, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.00733334, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
0.00833334, 34.4037, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
