Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,eSST4B.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.09,20.743044,1.0240097,0.3999995291233063,-0.009382243,8.41,1.5734485,1.3282578,1.2234026,1.2757581
0.092,20.402493,1.0105251,0.3999995291233063,-0.009535618,8.41,1.5738934,1.328741,1.2237861,1.2761972
0.094,20.05648,0.9968252,0.3999995291233063,-0.009685579,8.41,1.574338,1.3292215,1.2241664,1.2766331
0.096,19.70513,0.982915,0.3999995291233063,-0.009832074,8.41,1.5747818,1.3296988,1.2245429,1.2770654
0.098,19.34857,0.9687995,0.3999995291233063,-0.00997505,8.41,1.5752242,1.3301722,1.224915,1.2774932
0.1,18.986927,0.95448375,0.3999995291233063,-0.010114457,8.41,1.5756646,1.3306409,1.2252823,1.2779163
0.102,18.62033,0.9399732,0.3999995291233063,-0.010250247,8.41,1.5761029,1.3311046,1.2256442,1.2783338
0.104,18.248909,0.92527306,0.3999995291233063,-0.010382372,8.41,1.5765381,1.3315625,1.2260002,1.2787453
0.106,17.8728,0.9103889,0.3999995291233063,-0.010510785,8.41,1.57697,1.3320141,1.2263497,1.2791501
0.108,17.492134,0.8953263,0.3999995291233063,-0.010635441,8.41,1.5773981,1.3324586,1.2266923,1.2795479
0.11,17.10705,0.88009095,0.3999995291233063,-0.010756297,8.41,1.5778217,1.3328959,1.2270275,1.279938
0.112,16.71768,0.8646886,0.3999995291233063,-0.010873311,8.41,1.5782406,1.3333249,1.2273549,1.2803197
0.114,16.32417,0.84912515,0.3999995291233063,-0.010986442,8.41,1.5786542,1.3337455,1.2276739,1.2806928
0.116,15.926658,0.8334066,0.3999995291233063,-0.011095651,8.41,1.5790621,1.3341569,1.2279841,1.2810568
0.118,15.525283,0.81753904,0.3999995291233063,-0.011200901,8.41,1.5794637,1.3345587,1.2282851,1.2814109
0.12,15.1201935,0.80152863,0.3999995291233063,-0.0113021545,8.41,1.5798588,1.3349504,1.2285765,1.281755
0.122,14.71153,0.7853817,0.3999995291233063,-0.011399378,8.41,1.5802468,1.3353317,1.2288579,1.2820884
0.124,14.2994375,0.7691044,0.3999995291233063,-0.011492538,8.41,1.5806274,1.3357017,1.2291288,1.2824109
0.126,13.884067,0.75270337,0.3999995291233063,-0.011581604,8.41,1.5810002,1.3360604,1.2293891,1.2827218
0.128,13.465563,0.736185,0.3999995291233063,-0.011666546,8.41,1.5813648,1.3364072,1.2296381,1.283021
0.13,13.044075,0.719556,0.3999995291233063,-0.011747335,8.41,1.5817207,1.3367417,1.2298757,1.2833079
0.132,12.619755,0.7028228,0.3999995291233063,-0.011823946,8.41,1.5820677,1.3370634,1.2301016,1.2835823
0.134,12.192751,0.6859923,0.3999995291233063,-0.011896353,8.41,1.5824056,1.3373722,1.2303153,1.2838438
0.136,11.763218,0.6690712,0.3999995291233063,-0.0119645335,8.41,1.5827339,1.3376676,1.2305167,1.2840921
0.138,11.3313055,0.65206635,0.3999995291233063,-0.012028467,8.41,1.5830522,1.3379493,1.2307055,1.2843268
0.14,10.897168,0.6349846,0.3999995291233063,-0.012088132,8.41,1.5833603,1.338217,1.2308815,1.2845478
0.142,10.460959,0.617833,0.3999995291233063,-0.012143511,8.41,1.5836581,1.3384705,1.2310443,1.2847549
0.144,10.022835,0.60061836,0.3999995291233063,-0.01219459,8.41,1.5839452,1.3387094,1.2311939,1.2849475
0.146,9.58295,0.58334786,0.3999995291233063,-0.012241351,8.41,1.5842214,1.3389336,1.23133,1.2851259
0.148,9.141458,0.56602836,0.3999995291233063,-0.012283784,8.41,1.5844864,1.3391427,1.2314525,1.2852894
0.15,8.698517,0.5486671,0.3999995291233063,-0.012321878,8.41,1.58474,1.3393368,1.2315613,1.2854383
0.152,8.254283,0.53127104,0.3999995291233063,-0.012355623,8.41,1.5849822,1.3395156,1.2316562,1.285572
0.154,7.808912,0.51384735,0.3999995291233063,-0.012385012,8.41,1.5852126,1.3396789,1.231737,1.2856909
0.156,7.362562,0.49640313,0.3999995291233063,-0.012410038,8.41,1.5854312,1.3398266,1.2318039,1.2857945
0.158,6.9153895,0.4789455,0.3999995291233063,-0.0124307,8.41,1.5856379,1.3399587,1.2318566,1.2858828
0.16,6.467551,0.46148157,0.3999995291233063,-0.012446994,8.41,1.5858325,1.340075,1.2318952,1.2859559
0.162,6.019206,0.44401845,0.3999995291233063,-0.01245892,8.41,1.5860149,1.3401756,1.2319196,1.2860136
0.164,5.5705094,0.42656326,0.3999995291233063,-0.01246648,8.41,1.5861851,1.3402604,1.2319299,1.286056
0.166,5.121619,0.40912306,0.3999995291233063,-0.012469677,8.41,1.586343,1.3403293,1.2319261,1.2860831
0.168,4.672693,0.39170495,0.3999995291233063,-0.012468516,8.41,1.5864886,1.3403826,1.2319082,1.2860949
0.17,4.223886,0.37431592,0.3999995291233063,-0.012463004,8.41,1.5866218,1.34042,1.2318763,1.2860914
0.172,3.7753563,0.35696295,0.3999995291233063,-0.01245315,8.41,1.5867428,1.3404418,1.2318304,1.286073
0.174,3.3272593,0.33965304,0.3999995291233063,-0.012438964,8.41,1.5868512,1.340448,1.2317706,1.2860394
0.176,2.8797505,0.3223931,0.3999995291233063,-0.012420459,8.41,1.5869476,1.3404388,1.2316972,1.2859908
0.178,2.432986,0.30518997,0.3999995291233063,-0.012397646,8.41,1.5870316,1.3404143,1.2316103,1.2859277
0.18,1.98712,0.28805047,0.3999995291233063,-0.012370544,8.41,1.5871035,1.3403746,1.23151,1.2858497
0.182,1.5423068,0.27098137,0.3999995291233063,-0.012339167,8.41,1.5871632,1.34032,1.2313964,1.2857575
0.184,1.0986998,0.25398934,0.3999995291233063,-0.012303536,8.41,1.5872111,1.3402505,1.23127,1.2856511
0.186,0.656452,0.237081,0.3999995291233063,-0.012263671,8.41,1.5872471,1.3401664,1.2311307,1.2855306
0.188,0.2157153,0.22026291,0.3999995291233063,-0.012219594,8.41,1.5872713,1.340068,1.2309788,1.2853965
0.19,-0.22335899,0.20354153,0.3999995291233063,-0.012171329,8.41,1.5872841,1.3399556,1.2308147,1.2852489
0.192,-0.6606206,0.18692324,0.3999995291233063,-0.012118901,8.41,1.5872854,1.3398292,1.2306386,1.2850881
0.194,-1.0959201,0.17041436,0.3999995291233063,-0.012062338,8.41,1.5872755,1.3396895,1.2304507,1.2849144
0.196,-1.5291091,0.1540211,0.3999995291233063,-0.012001667,8.41,1.5872546,1.3395365,1.2302516,1.284728
0.198,-1.9600405,0.13774958,0.3999995291233063,-0.01193692,8.41,1.5872229,1.3393706,1.2300411,1.2845296
0.198,-1.9600405,0.13774958,0.3999995291233063,-0.01193692,8.41,1.5872229,1.3393706,1.2300411,1.2845296
0.2,-2.3885677,0.12160582,0.3999995291233063,-0.011868127,8.41,1.5871807,1.3391923,1.22982,1.2843193
0.202,-2.8145459,0.10559577,0.3999995291233063,-0.0117953215,8.41,1.587128,1.3390018,1.2295885,1.2840974
0.204,-3.237831,0.089725226,0.3999995291233063,-0.011718539,8.41,1.5870655,1.3387995,1.2293469,1.2838644
0.206,-3.6582808,0.073999934,0.3999995291233063,-0.011637814,8.41,1.586993,1.3385859,1.2290956,1.2836207
0.208,-4.075754,0.058425494,0.3999995291233063,-0.011553185,8.41,1.586911,1.3383611,1.228835,1.2833667
0.21,-4.4901104,0.04300741,0.3999995291233063,-0.01146469,8.41,1.5868198,1.338126,1.2285656,1.2831026
0.212,-4.901212,0.027751075,0.3999995291233063,-0.01137237,8.41,1.5867196,1.3378806,1.2282876,1.2828292
0.214,-5.308922,0.012661765,0.3999995291233063,-0.011276267,8.41,1.5866108,1.3376256,1.2280016,1.2825468
0.216,-5.713104,-0.0022553601,0.3999995291233063,-0.011176421,8.41,1.5864937,1.3373613,1.227708,1.2822558
0.218,-6.113624,-0.016995257,0.3999995291233063,-0.011072879,8.41,1.5863686,1.3370883,1.2274071,1.2819566
0.22,-6.5103517,-0.031553004,0.3999995291233063,-0.010965685,8.41,1.5862359,1.336807,1.2270995,1.2816498
0.222,-6.903154,-0.045923796,0.3999995291233063,-0.010854886,8.41,1.5860958,1.336518,1.2267857,1.2813358
0.224,-7.291903,-0.06010295,0.3999995291233063,-0.01074053,8.41,1.5859488,1.3362216,1.226466,1.2810153
0.226,-7.6764727,-0.07408591,0.3999995291233063,-0.010622664,8.41,1.5857953,1.3359184,1.2261409,1.2806885
0.228,-8.056736,-0.08786824,0.3999995291233063,-0.010501341,8.41,1.5856354,1.335609,1.2258109,1.2803562
0.23,-8.4325695,-0.10144563,0.3999995291233063,-0.010376609,8.41,1.5854698,1.3352938,1.2254765,1.2800186
0.232,-8.803852,-0.11481388,0.3999995291233063,-0.010248522,8.41,1.5852988,1.3349732,1.2251382,1.2796764
0.234,-9.170464,-0.12796892,0.3999995291233063,-0.010117132,8.41,1.5851226,1.334648,1.2247964,1.2793301
0.236,-9.532287,-0.14090684,0.3999995291233063,-0.009982495,8.41,1.5849416,1.3343186,1.2244518,1.2789804
0.238,-9.889204,-0.15362379,0.3999995291233063,-0.009844664,8.41,1.5847565,1.3339856,1.2241046,1.2786274
0.24,-10.241103,-0.16611607,0.3999995291233063,-0.009703696,8.41,1.5845673,1.3336494,1.2237556,1.278272
0.242,-10.587871,-0.17838015,0.3999995291233063,-0.009559647,8.41,1.5843747,1.3333105,1.223405,1.2779146
0.244,-10.929398,-0.19041254,0.3999995291233063,-0.009412576,8.41,1.5841789,1.3329697,1.2230536,1.2775557
0.246,-11.265576,-0.2022099,0.3999995291233063,-0.009262541,8.41,1.5839804,1.3326273,1.2227015,1.2771959
0.248,-11.596301,-0.21376908,0.3999995291233063,-0.009109602,8.41,1.5837796,1.3322839,1.2223496,1.2768357
0.25,-11.921469,-0.22508694,0.3999995291233063,-0.008953819,8.41,1.5835768,1.33194,1.2219982,1.2764755
