Time,gENSAL.delta,gENSAL.PELEC,gENSAL.PMECH,gENSAL.SPEED,iEESGO.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,0.35476867781248866,0.40005195416081235,0.3999995,0.0,0.3999995,0.999995648405602,0.9919906094543625,0.999998130995232,0.9959817896052154
1.0058283805847169e-10,0.35476867781248844,0.40005195416081224,0.3999995,-5.981375855648494e-16,0.3999995,0.9999956484056022,0.9919906094543626,0.9999981309952322,0.9959817896052154
1.0058283805847169e-10,0.35476867781248844,0.40005195416081224,0.3999995,-5.981375855648494e-16,0.3999995,0.9999956484056022,0.9919906094543626,0.9999981309952322,0.9959817896052154
0.002,0.35476867407593843,0.4000519489390614,0.3999995000000003,-1.1893432261514932e-08,0.3999995000000003,0.9999956485429189,0.9919906095702947,0.999998131063824,0.995981789696149
0.004,0.3547686628674795,0.40005193353079566,0.3999995000000039,-2.378343976950089e-08,0.3999995000000039,0.9999956489337208,0.9919906099038036,0.9999981312605087,0.9959817899573267
0.006,0.3547686441899803,0.40005190829517767,0.3999995000000189,-3.5667754431439256e-08,0.3999995000000189,0.9999956495489639,0.9919906104352272,0.9999981315727846,0.9959817903727589
0.008,0.35476861804770965,0.40005187355916294,0.39999950000005724,-4.7544186083350145e-08,0.39999950000005724,0.9999956503628553,0.9919906111470521,0.9999981319895275,0.9959817909282116
0.01,0.35476858444629,0.400051829620647,0.39999950000013423,-5.941061554172847e-08,0.39999950000013423,0.9999956513525081,0.9919906120236875,0.9999981325008461,0.9959817916110201
0.012,0.35476854339265457,0.40005177675131054,0.3999995000002677,-7.126498833521678e-08,0.3999995000002677,0.9999956524976281,0.9919906130512597,0.9999981330979492,0.9959817924099216
0.014,0.35476849489500856,0.40005171519919475,0.39999950000047735,-8.31053090508658e-08,0.39999950000047735,0.999995653780238,0.9919906142174303,0.9999981337730286,0.995981793314907
0.016,0.3547684389627938,0.4000516451910256,0.3999995000007845,-9.492963623623244e-08,0.3999995000007845,0.9999956551844252,0.991990615511232,0.999998134519155,0.995981794317086
0.018,0.35476837560665625,0.40005156693432137,0.3999995000012115,-1.0673607780397117e-07,0.3999995000012115,0.9999956566961209,0.9919906169229215,0.9999981353301818,0.995981795408567
0.02,0.3547683048384162,0.4000514806192942,0.39999950000178147,-1.1852278689101471e-07,0.39999950000178147,0.9999956583028993,0.9919906184438483,0.999998136200662,0.9959817965823502
0.022,0.3547682266710412,0.40005138642057175,0.3999995000025182,-1.3028795812871766e-07,0.3999995000025182,0.9999956599937982,0.9919906200663368,0.9999981371257716,0.9959817978322306
0.024,0.354768141118621,0.40005128449875355,0.39999950000344575,-1.4202982428462285e-07,0.39999950000344575,0.9999956617591605,0.9919906217835804,0.9999981381012429,0.9959817991527122
0.026,0.3547680481963445,0.4000511750018185,0.3999995000045885,-1.5374665324040772e-07,0.3999995000045885,0.9999956635904902,0.9919906235895481,0.9999981391233033,0.9959818005389309
0.028,0.3547679479204787,0.40005105806639724,0.3999995000059705,-1.6543674527357926e-07,0.3999995000059705,0.999995665480324,0.9919906254788977,0.9999981401886205,0.9959818019865848
0.03,0.354767840308349,0.40005093381892315,0.3999995000076162,-1.770984306141882e-07,0.3999995000076162,0.9999956674221181,0.9919906274469027,0.9999981412942555,0.9959818034918733
0.032,0.35476772537832113,0.40005080237667306,0.39999950000954954,-1.8873006724974698e-07,0.39999950000954954,0.9999956694101451,0.9919906294893827,0.9999981424376175,0.9959818050514406
0.034,0.3547676031497842,0.400050663848708,0.3999995000117944,-2.0033003895506628e-07,0.3999995000117944,0.9999956714394034,0.9919906316026437,0.9999981436164265,0.9959818066623279
0.036,0.35476747364313543,0.4000505183367239,0.3999995000143743,-2.118967535251669e-07,0.3999995000143743,0.9999956735055358,0.9919906337834242,0.9999981448286782,0.9959818083219281
0.038,0.3547673368797651,0.4000503659358205,0.39999950001731244,-2.2342864119174764e-07,0.39999950001731244,0.999995675604756,0.991990636028846,0.9999981460726123,0.9959818100279464
0.04,0.35476719288204317,0.4000502067351975,0.39999950002063167,-2.3492415320584663e-07,0.39999950002063167,0.9999956777337841,0.9919906383363716,0.9999981473466865,0.9959818117783653
