Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,gAST.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.849679564919217,0.40003676141094724,0.3999995,0.0,0.3999995,0.9999942019109368,0.9919898458682376,0.9999975974033132,0.9959811372603907
1.0058283805847169e-10,28.84967956491921,0.40003676141094713,0.39999950000000006,-4.684415589101694e-16,0.39999950000000006,0.9999942019109368,0.9919898458682376,0.9999975974033132,0.9959811372603907
1.0058283805847169e-10,28.84967956491921,0.40003676141094713,0.39999950000000006,-4.684415589101694e-16,0.39999950000000006,0.9999942019109368,0.9919898458682376,0.9999975974033132,0.9959811372603907
0.002,28.849679397251556,0.4000367572825328,0.3999995000030857,-9.314542479583097e-09,0.3999995000030857,0.9999942020221836,0.9919898459614912,0.9999975974586045,0.9959811373336126
0.004,28.849678894308084,0.4000367449522951,0.39999950002453066,-1.862609190441539e-08,0.39999950002453066,0.9999942023532066,0.9919898462392728,0.9999975976232515,0.9959811375516892
0.006,28.849678056233433,0.4000367245021543,0.3999995000822713,-2.7932601634882148e-08,0.3999995000822713,0.9999942028998887,0.9919898466985934,0.9999975978953982,0.9959811379122188
0.008,28.849676883245625,0.40003669601329606,0.3999995001937875,-3.7232041195417914e-08,0.3999995001937875,0.9999942036580641,0.9919898473364392,0.9999975982731719,0.9959811384127789
0.01,28.8496753756355,0.40003665956623174,0.3999995003761084,-4.6522396209972465e-08,0.3999995003761084,0.999994204623524,0.9919898481497754,0.9999975987546843,0.9959811390509289
0.012,28.84967353376611,0.4000366152408504,0.3999995006458176,-5.5801668350723136e-08,0.3999995006458176,0.9999942057920229,0.9919898491355496,0.9999975993380342,0.9959811398242121
0.014,28.84967135807217,0.4000365631164754,0.3999995010190588,-6.50678752984977e-08,0.3999995010190588,0.9999942071592841,0.9919898502906941,0.9999976000213099,0.9959811407301593
0.016,28.849668849059483,0.40003650327191215,0.39999950151154107,-7.431905071506965e-08,0.39999950151154107,0.9999942087210046,0.9919898516121289,0.9999976008025897,0.9959811417662899
0.018,28.849666007304325,0.4000364357854973,0.3999995021385441,-8.355324422651641e-08,0.3999995021385441,0.9999942104728603,0.9919898530967648,0.9999976016799459,0.9959811429301153
0.02,28.84966283345291,0.4000363607351457,0.3999995029149237,-9.276852141664136e-08,0.3999995029149237,0.9999942124105106,0.9919898547415051,0.9999976026514448,0.9959811442191404
0.022,28.849659328220813,0.40003627819839366,0.39999950385511646,-1.019629638309936e-07,0.39999950385511646,0.9999942145296027,0.9919898565432487,0.9999976037151487,0.9959811456308655
0.024,28.84965549239238,0.4000361882524398,0.39999950497314535,-1.1113466898982071e-07,0.39999950497314535,0.9999942168257745,0.9919898584988904,0.9999976048691174,0.9959811471627881
0.026,28.849651326820148,0.400036090974187,0.39999950628262465,-1.202817504102662e-07,0.39999950628262465,0.9999942192946601,0.9919898606053258,0.9999976061114101,0.9959811488124047
0.028,28.84964683242429,0.4000359864402791,0.39999950779676496,-1.2940233763677802e-07,0.39999950779676496,0.9999942219318914,0.9919898628594498,0.9999976074400853,0.9959811505772121
0.03,28.84964201019203,0.4000358747271374,0.3999995095283781,-1.384945762797444e-07,0.3999995095283781,0.9999942247331025,0.9919898652581606,0.9999976088532037,0.9959811524547092
0.032,28.84963686117706,0.4000357559109955,0.3999995114898821,-1.4755662806174852e-07,0.3999995114898821,0.9999942276939328,0.9919898677983606,0.9999976103488276,0.995981154442398
0.034,28.84963138649894,0.400035630067931,0.39999951369330605,-1.5658667087086834e-07,0.39999951369330605,0.9999942308100284,0.9919898704769574,0.9999976119250235,0.9959811565377846
0.036,28.849625587342555,0.400035497273898,0.399999516150295,-1.655828988207074e-07,0.399999516150295,0.9999942340770469,0.9919898732908661,0.9999976135798622,0.9959811587383819
0.038,28.849619464957495,0.40003535760475406,0.39999951887211455,-1.7454352231679087e-07,0.39999951887211455,0.9999942374906573,0.9919898762370092,0.9999976153114191,0.995981161041708
0.04,28.849613020657493,0.4000352111362913,0.39999952186965565,-1.8346676812894718e-07,0.39999952186965565,0.9999942410465446,0.9919898793123191,0.9999976171177763,0.9959811634452896
0.042,28.84960625581982,0.4000350579442603,0.3999995251534394,-1.923508794693616e-07,0.3999995251534394,0.99999424474041,0.9919898825137384,0.999997618997023,0.9959811659466622
0.044,28.849599171884684,0.40003489810439574,0.3999995287336215,-2.0119411607578263e-07,0.3999995287336215,0.9999942485679743,0.9919898858382212,0.999997620947255,0.9959811685433699
0.046,28.84959177035466,0.4000347316924399,0.3999995326199969,-2.0999475429950514e-07,0.3999995326199969,0.9999942525249784,0.9919898892827339,0.9999976229665776,0.9959811712329681
0.048,28.84958405279406,0.4000345587841653,0.3999995368220043,-2.1875108719824014e-07,0.3999995368220043,0.9999942566071864,0.9919898928442561,0.9999976250531037,0.9959811740130224
0.05,28.849576020828348,0.40003437945539494,0.39999954134873067,-2.274614246328109e-07,0.39999954134873067,0.9999942608103863,0.9919898965197813,0.9999976272049567,0.9959811768811108
0.052,28.849567676143526,0.40003419378202176,0.39999954620891576,-2.3612409336815763e-07,0.39999954620891576,0.9999942651303911,0.991989900306318,0.9999976294202688,0.9959811798348229
0.054,28.849559020485536,0.40003400184002785,0.3999995514109564,-2.4473743717771707e-07,0.3999995514109564,0.999994269563041,0.9919899042008896,0.9999976316971837,0.9959811828717616
0.056,28.84955005565963,0.4000338037055008,0.3999995569629109,-2.532998169511903e-07,0.3999995569629109,0.9999942741042039,0.9919899082005361,0.9999976340338554,0.9959811859895438
