Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,tGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.40000002524778805,0.4,0.0,0.4,0.9999999913060577,0.9919935378249138,0.999999995492736,0.9959841726474757
1.0058283805847169e-10,34.40369990063831,0.40000002524778794,0.4,-2.966452916205904e-19,0.4,0.9999999913060579,0.9919935378249138,0.999999995492736,0.9959841726474757
1.0058283805847169e-10,34.40369990063831,0.40000002524778794,0.4,-2.966452916205904e-19,0.4,0.9999999913060579,0.9919935378249138,0.999999995492736,0.9959841726474757
0.002,34.40369990053213,0.40000002524517475,0.4000000000001228,-5.898526931256532e-12,0.4000000000001228,0.9999999913061284,0.9919935378249731,0.9999999954927711,0.9959841726475223
0.004,34.40369990021364,0.4000000252373747,0.4000000000004902,-1.1795227753155875e-11,0.4000000000004902,0.9999999913063404,0.9919935378251503,0.9999999954928763,0.9959841726476615
0.006,34.40369989968291,0.40000002522444655,0.40000000000110103,-1.768884068512531e-11,0.40000000000110103,0.9999999913066928,0.9919935378254447,0.9999999954930511,0.9959841726478927
0.008,34.40369989894009,0.4000000252064485,0.40000000000195424,-2.3578117921654138e-11,0.40000000000195424,0.9999999913071854,0.9919935378258556,0.999999995493295,0.9959841726482156
0.01,34.403699897985355,0.40000002518343725,0.40000000000304853,-2.9461825563120903e-11,0.40000000000304853,0.9999999913078171,0.9919935378263824,0.9999999954936079,0.9959841726486295
0.012,34.40369989681892,0.4000000251554696,0.40000000000438257,-3.533874334991055e-11,0.40000000000438257,0.9999999913085875,0.9919935378270239,0.9999999954939889,0.9959841726491337
0.014,34.403699895441065,0.400000025122601,0.40000000000595504,-4.1207664571625154e-11,0.40000000000595504,0.9999999913094956,0.9919935378277799,0.999999995494438,0.9959841726497278
0.016,34.403699893852085,0.40000002508488675,0.4000000000077646,-4.70673958379491e-11,0.4000000000077646,0.9999999913105411,0.9919935378286491,0.9999999954949546,0.9959841726504112
0.018,34.40369989205233,0.40000002504238114,0.4000000000098097,-5.291675707216415e-11,0.4000000000098097,0.9999999913117229,0.9919935378296307,0.9999999954955382,0.9959841726511829
0.02,34.40369989004221,0.400000024995138,0.40000000001208896,-5.875458129930783e-11,0.40000000001208896,0.9999999913130404,0.9919935378307243,0.9999999954961886,0.9959841726520428
0.022,34.40369988782215,0.4000000249432115,0.4000000000146008,-6.457971445810988e-11,0.4000000000146008,0.9999999913144927,0.9919935378319287,0.9999999954969049,0.99598417265299
0.024,34.40369988539263,0.40000002488665354,0.4000000000173438,-7.039101551123648e-11,0.4000000000173438,0.9999999913160789,0.9919935378332433,0.9999999954976869,0.9959841726540238
0.026,34.40369988275418,0.4000000248255177,0.4000000000203162,-7.618735610591123e-11,0.4000000000203162,0.9999999913177984,0.991993537834667,0.9999999954985342,0.9959841726551439
