Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.044,34.334236,0.40000004,-2.4226493e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.046,34.334236,0.40000004,-2.5323252e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.048,34.334236,0.40000004,-2.6419578e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.05,34.334236,0.40000004,-2.7515465e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.052,34.334236,0.40000004,-2.8610914e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.054,34.334236,0.40000004,-2.9705927e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.056,34.334236,0.40000004,-3.08005e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.058,34.334236,0.40000004,-3.189464e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.06,34.334236,0.40000004,-3.298834e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.062,34.334236,0.40000004,-3.4081604e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.064,34.334236,0.40000004,-3.5174433e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.066,34.334236,0.40000004,-3.6266176e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.068,34.334236,0.40000004,-3.7355144e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.07,34.334236,0.40000004,-3.8443343e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.072,34.334236,0.40000004,-3.953077e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.074,34.334236,0.40000004,-4.0617426e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.076,34.334236,0.40000004,-4.1703313e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.078,34.334236,0.40000004,-4.2788426e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.08,34.334236,0.40000004,-4.3872767e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.082,34.334236,0.40000004,-4.495634e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.084,34.334236,0.40000004,-4.6039136e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.086,34.334236,0.40000004,-4.712117e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.088,34.334236,0.40000004,-4.820242e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.09,34.334236,0.40000004,-4.9282906e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.092,34.334236,0.40000004,-5.036262e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.094,34.334236,0.40000004,-5.144157e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.096,34.334236,0.40000004,-5.251974e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.098,34.334236,0.40000004,-5.359714e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.1,34.334236,0.40000004,-5.4673766e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.102,34.334236,0.40000004,-5.574962e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.104,34.334236,0.40000004,-5.682471e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.106,34.334236,0.40000004,-5.7899024e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.108,34.334236,0.40000004,-5.8972566e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.11,34.334236,0.40000004,-6.004534e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.112,34.334236,0.40000004,-6.111734e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.114,34.334236,0.40000004,-6.218857e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.116,34.334236,0.40000004,-6.325903e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.118,34.334236,0.40000004,-6.4328715e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.12,34.334236,0.40000004,-6.539763e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.122,34.334236,0.40000004,-6.646578e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.124,34.334236,0.40000004,-6.753315e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.126,34.334236,0.40000004,-6.859975e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.128,34.334236,0.40000004,-6.966558e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.13,34.334236,0.40000004,-7.073064e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.132,34.334236,0.40000004,-7.179001e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.134,34.334236,0.40000004,-7.284247e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.136,34.334236,0.40000004,-7.389353e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.138,34.334236,0.40000004,-7.4943185e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.14,34.334236,0.40000004,-7.5991424e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.142,34.334236,0.40000004,-7.703826e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.144,34.334236,0.40000004,-7.808369e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.146,34.334236,0.40000004,-7.9127704e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.148,34.334236,0.40000004,-8.0170315e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.15,34.334236,0.40000004,-8.1211515e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.152,34.334236,0.40000004,-8.225131e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.154,34.334236,0.40000004,-8.32897e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.156,34.334236,0.40000004,-8.4326673e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.158,34.334236,0.40000004,-8.5362245e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.16,34.334236,0.40000004,-8.63964e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.162,34.334236,0.40000004,-8.742916e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.164,34.334236,0.40000004,-8.84605e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.166,34.334236,0.40000004,-8.949044e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.168,34.334236,0.40000004,-9.0518965e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.17,34.334236,0.40000004,-9.154609e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.172,34.334236,0.40000004,-9.2571795e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.174,34.334236,0.40000004,-9.35961e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.176,34.334236,0.40000004,-9.461899e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.178,34.334236,0.40000004,-9.564048e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.18,34.334236,0.40000004,-9.666056e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.182,34.334236,0.40000004,-9.767923e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.184,34.334236,0.40000004,-9.86965e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.186,34.334236,0.40000004,-9.971235e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.188,34.334236,0.40000004,-1.0072679e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.19,34.334236,0.40000004,-1.0173984e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.192,34.334236,0.40000004,-1.0275146e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.194,34.334236,0.40000004,-1.0376169e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.196,34.334236,0.40000004,-1.047705e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.198,34.334236,0.40000004,-1.0577791e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.2,34.334236,0.40000004,-1.067839e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.202,34.334236,0.40000004,-1.0778849e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.204,34.334236,0.40000004,-1.0879166e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.206,34.334236,0.40000004,-1.0979344e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.208,34.334236,0.40000004,-1.1079381e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.21,34.334236,0.40000004,-1.1179276e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.212,34.334236,0.40000004,-1.1279031e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.214,34.334236,0.40000004,-1.1378645e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.216,34.334236,0.40000004,-1.1478118e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.218,34.334236,0.40000004,-1.157745e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.22,34.334236,0.40000004,-1.1676642e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.222,34.334236,0.40000004,-1.1775693e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.224,34.334236,0.40000004,-1.1874602e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.226,34.334236,0.40000004,-1.1973371e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.228,34.334236,0.40000004,-1.2072e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.23,34.334236,0.40000004,-1.2170487e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.232,34.334236,0.40000004,-1.2268834e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.234,34.334236,0.40000004,-1.236704e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.236,34.334236,0.40000004,-1.2465105e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.238,34.334236,0.40000004,-1.2563028e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.24,34.334236,0.40000004,-1.2660812e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.242,34.334236,0.40000004,-1.2758454e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.244,34.334236,0.40000004,-1.2855956e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.246,34.334236,0.40000004,-1.2953317e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.248,34.334236,0.40000004,-1.3050537e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.25,34.334236,0.40000004,-1.3147616e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.252,34.334236,0.40000004,-1.3244554e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.254,34.334236,0.40000004,-1.3341352e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.256,34.334236,0.40000004,-1.343801e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.258,34.334236,0.40000004,-1.3534525e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.26,34.334236,0.40000004,-1.36309e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.262,34.334236,0.40000004,-1.3727135e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.264,34.334236,0.40000004,-1.3820092e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.266,34.334236,0.40000004,-1.391257e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.268,34.334236,0.40000004,-1.4004806e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.27,34.334236,0.40000004,-1.40968e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.272,34.334236,0.40000004,-1.4188551e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.274,34.334236,0.40000004,-1.428006e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.276,34.334236,0.40000004,-1.4371326e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.278,34.334236,0.40000004,-1.446235e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.28,34.334236,0.40000004,-1.4553132e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.282,34.334236,0.40000004,-1.4643672e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.284,34.334236,0.40000004,-1.4733968e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.286,34.334236,0.40000004,-1.4824023e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.288,34.334236,0.40000004,-1.4913835e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.29,34.334236,0.40000004,-1.5003404e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.292,34.334236,0.40000004,-1.5092732e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.294,34.334236,0.40000004,-1.5181817e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.296,34.334236,0.40000004,-1.5270659e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.298,34.334236,0.40000004,-1.5359259e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.3,34.334236,0.40000004,-1.5447617e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.302,34.334236,0.40000004,-1.5535732e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.304,34.334236,0.40000004,-1.5623605e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.306,34.334236,0.40000004,-1.5711235e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.308,34.334236,0.40000004,-1.5798622e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.31,34.334236,0.40000004,-1.5885768e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.312,34.334236,0.40000004,-1.5972671e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.314,34.334236,0.40000004,-1.6059332e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.316,34.334236,0.40000004,-1.614575e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.318,34.334236,0.40000004,-1.6231926e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.32,34.334236,0.40000004,-1.6317859e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.322,34.334236,0.40000004,-1.6403551e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.324,34.334236,0.40000004,-1.6488999e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.326,34.334236,0.40000004,-1.6574205e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.328,34.334236,0.40000004,-1.665917e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.33,34.334236,0.40000004,-1.6743891e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.332,34.334236,0.40000004,-1.682837e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.334,34.334236,0.40000004,-1.6912606e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.336,34.334236,0.40000004,-1.6996601e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.338,34.334236,0.40000004,-1.7080352e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.34,34.334236,0.40000004,-1.7163861e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.342,34.334236,0.40000004,-1.7247128e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.344,34.334236,0.40000004,-1.7330153e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.346,34.334236,0.40000004,-1.7412934e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.348,34.334236,0.40000004,-1.7495475e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.35,34.334236,0.40000004,-1.7577771e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.352,34.334236,0.40000004,-1.7659827e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.354,34.334236,0.40000004,-1.7741639e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.356,34.334236,0.40000004,-1.782321e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.358,34.334232,0.40000004,-1.7904537e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.36,34.334232,0.40000004,-1.7985622e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.362,34.334232,0.40000004,-1.8066465e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.364,34.334232,0.40000004,-1.8147065e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.366,34.334232,0.40000004,-1.8227424e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.368,34.334232,0.40000004,-1.8307539e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.37,34.334232,0.40000004,-1.8387413e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.372,34.334232,0.40000004,-1.8467043e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.374,34.334232,0.40000004,-1.8546431e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.376,34.334232,0.40000004,-1.8625578e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.378,34.334232,0.40000004,-1.870448e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.38,34.334232,0.40000004,-1.8783142e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.382,34.334232,0.40000004,-1.8861561e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.384,34.334232,0.40000004,-1.8939736e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.386,34.334232,0.40000004,-1.9017672e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.388,34.334232,0.40000004,-1.9095363e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.39,34.334232,0.40000004,-1.9172812e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.392,34.334232,0.40000004,-1.9250017e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.394,34.334232,0.40000004,-1.9326982e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.396,34.334232,0.40000004,-1.9403705e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.398,34.334232,0.40000004,-1.9480184e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.4,34.334232,0.40000004,-1.955642e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.402,34.334232,0.40000004,-1.9632416e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.404,34.334232,0.40000004,-1.9708168e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.406,34.334232,0.40000004,-1.9783677e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.408,34.334232,0.40000004,-1.9858946e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.41,34.334232,0.40000004,-1.993397e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.412,34.334232,0.40000004,-2.0008752e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.414,34.334232,0.40000004,-2.0083293e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.416,34.334232,0.40000004,-2.0157591e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.418,34.334232,0.40000004,-2.0231645e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.42,34.334232,0.40000004,-2.0305457e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.422,34.334232,0.40000004,-2.037903e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.424,34.334232,0.40000004,-2.0452358e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.426,34.334232,0.40000004,-2.0525444e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.428,34.334232,0.40000004,-2.0598285e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.43,34.334232,0.40000004,-2.0670887e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.432,34.334232,0.40000004,-2.0743245e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.434,34.334232,0.40000004,-2.081536e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.436,34.334232,0.40000004,-2.0887234e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.438,34.334232,0.40000004,-2.0958866e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.44,34.334232,0.40000004,-2.1030255e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.442,34.334232,0.40000004,-2.11014e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.444,34.334232,0.40000004,-2.1172306e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.446,34.334232,0.40000004,-2.1242967e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.448,34.334232,0.40000004,-2.1313387e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.45,34.334232,0.40000004,-2.1383564e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.452,34.334232,0.40000004,-2.1453497e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.454,34.334232,0.40000004,-2.152319e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.456,34.334232,0.40000004,-2.1592639e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.458,34.334232,0.40000004,-2.1661846e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.46,34.33423,0.40000004,-2.173081e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.462,34.33423,0.40000004,-2.1799533e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.464,34.33423,0.40000004,-2.1868012e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.466,34.33423,0.40000004,-2.193625e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.468,34.33423,0.40000004,-2.2004245e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.47,34.33423,0.40000004,-2.2071998e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.472,34.33423,0.40000004,-2.2139508e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.474,34.33423,0.40000004,-2.2206776e-09,0.99999994,0.9919935,0.99999994,0.99598414
0.476,34.33423,0.40000004,-2.22738e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.478,34.33423,0.40000004,-2.2340585e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.48,34.33423,0.40000004,-2.2407125e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.482,34.33423,0.40000004,-2.2473423e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.484,34.33423,0.40000004,-2.253948e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.486,34.33423,0.40000004,-2.2605293e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.488,34.33423,0.40000004,-2.2670863e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.49,34.33423,0.40000004,-2.273619e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.492,34.33423,0.40000004,-2.2801279e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.494,34.33423,0.40000004,-2.2866122e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.496,34.33423,0.40000004,-2.2930722e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.498,34.33423,0.40000004,-2.2995081e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.5,34.33423,0.40000004,-2.30592e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.502,34.33423,0.40000004,-2.3123072e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.504,34.33423,0.40000004,-2.3186704e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.506,34.33423,0.40000004,-2.3250093e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.508,34.33423,0.40000004,-2.331324e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.51,34.33423,0.40000004,-2.3376145e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.512,34.33423,0.40000004,-2.3438806e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.514,34.33423,0.40000004,-2.3501225e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.516,34.33423,0.40000004,-2.3563402e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.518,34.33423,0.40000004,-2.3625337e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.52,34.33423,0.40000004,-2.368703e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.522,34.33423,0.40000004,-2.374848e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.524,34.33423,0.40000004,-2.3809688e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.526,34.33423,0.40000004,-2.3866902e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.528,34.33423,0.40000004,-2.3923186e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.53,34.33423,0.40000004,-2.397916e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.532,34.33423,0.40000004,-2.4034827e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.534,34.33423,0.40000004,-2.4090185e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.536,34.33423,0.40000004,-2.4145235e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.538,34.33423,0.40000004,-2.4199975e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.54,34.33423,0.40000004,-2.4254407e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.542,34.33423,0.40000004,-2.430853e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.544,34.33423,0.40000004,-2.4362345e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.546,34.33423,0.40000004,-2.441585e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.548,34.334225,0.40000004,-2.4469047e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.55,34.334225,0.40000004,-2.4521936e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.552,34.334225,0.40000004,-2.4574514e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.554,34.334225,0.40000004,-2.4626785e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.556,34.334225,0.40000004,-2.4678746e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.558,34.334225,0.40000004,-2.4730398e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.56,34.334225,0.40000004,-2.4781743e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.562,34.334225,0.40000004,-2.4832778e-09,0.99999994,0.9919935,0.99999994,0.9959841
