Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.334236,0.40000004,0.0,0.99999994,0.9919935,0.99999994,0.99598414
1e-10,34.334236,0.40000004,-5.5192675e-19,0.99999994,0.9919935,0.99999994,0.99598414
1e-10,34.334236,0.40000004,-5.5192675e-19,0.99999994,0.9919935,0.99999994,0.99598414
0.002,34.334236,0.40000004,-1.1037992e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.004,34.334236,0.40000004,-2.2074776e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.006,34.334236,0.40000004,-3.311013e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.008,34.334236,0.40000004,-4.4144032e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.01,34.334236,0.40000004,-5.5175937e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.012,34.334236,0.40000004,-6.6205944e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.014,34.334236,0.40000004,-7.723409e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.016,34.334236,0.40000004,-8.826037e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.018,34.334236,0.40000004,-9.9283144e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.02,34.334236,0.40000004,-1.1030291e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.022,34.334236,0.40000004,-1.2131998e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.024,34.334236,0.40000004,-1.3233437e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.026,34.334236,0.40000004,-1.4334604e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.028,34.334236,0.40000004,-1.5435504e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.03,34.334236,0.40000004,-1.6536134e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.032,34.334236,0.40000004,-1.7636494e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.034,34.334236,0.40000004,-1.8736128e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.036,34.334236,0.40000004,-1.9835075e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.038,34.334236,0.40000004,-2.0933585e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.04,34.334236,0.40000004,-2.2031658e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.042,34.334236,0.40000004,-2.3129293e-10,0.99999994,0.9919935,0.99999994,0.99598414
