Time,gENSAL.delta,gENSAL.PELEC,gENSAL.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,36.640797,0.40000004,0.0,1.0,0.99199355,1.0,0.9959842
1e-10,36.640797,0.40000004,-3.166049e-19,1.0,0.99199355,1.0,0.9959842
1e-10,36.640797,0.40000004,-3.166049e-19,1.0,0.99199355,1.0,0.9959842
0.002,36.640797,0.40000004,-6.3315416e-12,1.0,0.99199355,1.0,0.9959842
0.004,36.640797,0.40000004,-1.266095e-11,1.0,0.99199355,1.0,0.9959842
0.006,36.640797,0.40000004,-1.8986316e-11,1.0,0.99199355,1.0,0.9959842
0.008,36.640797,0.40000004,-2.5307504e-11,1.0,0.99199355,1.0,0.9959842
0.01,36.640797,0.40000004,-3.162027e-11,1.0,0.99199355,1.0,0.9959842
0.012,36.640797,0.40000004,-3.7925385e-11,1.0,0.99199355,1.0,0.9959842
0.014,36.640797,0.40000004,-4.422316e-11,1.0,0.99199355,1.0,0.9959842
0.016,36.640797,0.40000004,-5.0513586e-11,1.0,0.99199355,1.0,0.9959842
0.018,36.640797,0.40000004,-5.678542e-11,1.0,0.99199355,1.0,0.9959842
0.02,36.640797,0.40000004,-6.304213e-11,1.0,0.99199355,1.0,0.9959842
0.022,36.640797,0.40000004,-6.928582e-11,1.0,0.99199355,1.0,0.9959842
0.024,36.640797,0.40000004,-7.55165e-11,1.0,0.99199355,1.0,0.9959842
0.026,36.640797,0.40000004,-8.173416e-11,1.0,0.99199355,1.0,0.9959842
0.028,36.640797,0.40000004,-8.7938816e-11,1.0,0.99199355,1.0,0.9959842
0.03,36.640797,0.40000004,-9.4130446e-11,1.0,0.99199355,1.0,0.9959842
0.032,36.640797,0.40000004,-1.00309074e-10,1.0,0.99199355,1.0,0.9959842
0.034,36.640797,0.40000004,-1.0644933e-10,1.0,0.99199355,1.0,0.9959842
0.036,36.640797,0.40000004,-1.125533e-10,1.0,0.99199355,1.0,0.9959842
0.038,36.640797,0.40000004,-1.1863492e-10,1.0,0.99199355,1.0,0.9959842
0.04,36.640797,0.40000004,-1.2469421e-10,1.0,0.99199355,1.0,0.9959842
0.042,36.640797,0.40000004,-1.3073115e-10,1.0,0.99199355,1.0,0.9959842
0.044,36.640797,0.40000004,-1.3674575e-10,1.0,0.99199355,1.0,0.9959842
0.046,36.640797,0.40000004,-1.4273802e-10,1.0,0.99199355,1.0,0.9959842
0.048,36.640797,0.40000004,-1.4870792e-10,1.0,0.99199355,1.0,0.9959842
0.05,36.640797,0.40000004,-1.546555e-10,1.0,0.99199355,1.0,0.9959842
0.052,36.640797,0.40000004,-1.6058073e-10,1.0,0.99199355,1.0,0.9959842
0.054,36.640797,0.40000004,-1.6648363e-10,1.0,0.99199355,1.0,0.9959842
0.056,36.640797,0.40000004,-1.7236418e-10,1.0,0.99199355,1.0,0.9959842
0.058,36.640797,0.40000004,-1.7822238e-10,1.0,0.99199355,1.0,0.9959842
