Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,eSST4B.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.086,30.59042,0.2498847,0.3999995291233063,0.0021299608,1.2440592,0.9378298,0.9554066,0.9751874,0.96522295
0.088,30.667768,0.2523505,0.3999995291233063,0.0021669664,1.2406954,0.9378558,0.95542556,0.97521126,0.9652459
0.09,30.746439,0.25481027,0.3999995291233063,0.0022033527,1.2373393,0.9378794,0.9554428,0.97523373,0.9652673
0.092,30.82641,0.25726438,0.3999995291233063,0.0022391214,1.2339911,0.9379008,0.9554582,0.9752549,0.96528715
0.094,30.907658,0.25971314,0.3999995291233063,0.0022742737,1.2306515,0.93792003,0.95547205,0.97527474,0.9653055
0.096,30.990156,0.26215693,0.3999995291233063,0.0023088108,1.2273204,0.9379373,0.9554843,0.97529346,0.96532243
0.098,31.07389,0.26459602,0.3999995291233063,0.0023427343,1.2239982,0.9379527,0.955495,0.975311,0.96533805
0.1,31.158834,0.26703072,0.3999995291233063,0.002376045,1.2206852,0.9379663,0.95550424,0.97532743,0.96535236
0.102,31.244967,0.26946127,0.3999995291233063,0.0024087445,1.2173815,0.93797815,0.95551205,0.97534275,0.96536535
0.104,31.332264,0.2718879,0.3999995291233063,0.0024408335,1.2140875,0.93798846,0.95551854,0.97535706,0.9653772
0.106,31.420708,0.27431083,0.3999995291233063,0.0024723134,1.2108032,0.93799716,0.9555237,0.9753704,0.9653878
0.108,31.510273,0.27673024,0.3999995291233063,0.0025031846,1.2075287,0.9380045,0.9555277,0.97538275,0.96539736
0.11,31.600937,0.27914628,0.3999995291233063,0.0025334486,1.2042644,0.9380104,0.9555304,0.9753941,0.96540576
0.112,31.692678,0.28155917,0.3999995291233063,0.002563106,1.2010102,0.938015,0.955532,0.9754046,0.96541315
0.114,31.78548,0.28396899,0.3999995291233063,0.0025921576,1.1977665,0.9380183,0.95553243,0.9754142,0.96541953
0.116,31.879314,0.28637585,0.3999995291233063,0.0026206041,1.1945332,0.9380205,0.95553184,0.9754229,0.96542484
0.118,31.974161,0.28877985,0.3999995291233063,0.0026484465,1.1913105,0.93802154,0.9555301,0.97543085,0.96542925
0.12,32.070004,0.2911811,0.3999995291233063,0.0026756856,1.1880984,0.9380215,0.9555274,0.97543794,0.9654327
0.122,32.166813,0.29357964,0.3999995291233063,0.002702322,1.1848972,0.9380204,0.9555237,0.9754442,0.96543527
0.124,32.264572,0.29597554,0.3999995291233063,0.0027283565,1.1817068,0.9380184,0.955519,0.97544974,0.96543694
0.126,32.363255,0.2983688,0.3999995291233063,0.00275379,1.1785274,0.93801534,0.9555134,0.9754545,0.96543777
0.128,32.462845,0.30075946,0.3999995291233063,0.0027786228,1.1753588,0.93801147,0.9555069,0.97545856,0.9654377
0.13,32.563316,0.30314755,0.3999995291233063,0.0028028558,1.1722013,0.9380067,0.9554995,0.97546184,0.9654369
0.132,32.66465,0.30553305,0.3999995291233063,0.0028264897,1.1690549,0.9380011,0.95549124,0.97546446,0.9654352
0.134,32.766823,0.30791593,0.3999995291233063,0.0028495253,1.1659195,0.9379947,0.9554821,0.9754664,0.96543276
0.136,32.869816,0.31029618,0.3999995291233063,0.0028719632,1.1627954,0.93798757,0.9554722,0.9754676,0.9654295
0.138,32.973602,0.31267375,0.3999995291233063,0.0028938043,1.1596824,0.93797964,0.9554614,0.97546816,0.96542555
0.14,33.07817,0.31504858,0.3999995291233063,0.0029150492,1.1565806,0.93797106,0.9554498,0.9754681,0.96542084
0.142,33.183487,0.31742063,0.3999995291233063,0.0029356985,1.1534901,0.9379617,0.9554375,0.9754673,0.96541536
0.144,33.28954,0.31978983,0.3999995291233063,0.0029557531,1.1504107,0.93795174,0.9554244,0.97546595,0.9654092
0.146,33.3963,0.3221561,0.3999995291233063,0.002975214,1.1473427,0.93794113,0.95541054,0.975464,0.9654023
0.148,33.503754,0.3245193,0.3999995291233063,0.0029940817,1.1442858,0.9379299,0.955396,0.97546136,0.9653948
0.15,33.611874,0.32687944,0.3999995291233063,0.003012357,1.1412402,0.93791807,0.9553807,0.97545815,0.9653865
0.152,33.720646,0.3292363,0.3999995291233063,0.003030041,1.1382059,0.9379056,0.95536464,0.9754543,0.96537757
0.154,33.830036,0.33158985,0.3999995291233063,0.0030471345,1.1351829,0.93789256,0.95534796,0.97544986,0.96536803
0.156,33.940037,0.3339399,0.3999995291233063,0.0030636382,1.132171,0.93787897,0.95533055,0.97544485,0.9653578
0.158,34.05062,0.3362864,0.3999995291233063,0.0030795534,1.1291704,0.93786484,0.95531243,0.97543925,0.9653469
0.16,34.161766,0.33862916,0.3999995291233063,0.0030948808,1.126181,0.9378502,0.95529366,0.97543305,0.9653353
0.162,34.273453,0.34096807,0.3999995291233063,0.0031096216,1.1232029,0.937835,0.9552742,0.9754263,0.96532315
0.164,34.38566,0.34330294,0.3999995291233063,0.0031237768,1.1202359,0.93781924,0.95525414,0.97541904,0.96531034
0.166,34.498363,0.34563366,0.3999995291233063,0.003137347,1.1172801,0.93780303,0.9552334,0.9754112,0.9652969
