Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eXST1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.086,36.271244,0.22967039,0.4000000059604645,0.0022653337,1.1335183,0.92648,0.94862914,0.9705824,0.9595191
0.088,36.35351,0.23230268,0.4000000059604645,0.002304609,1.1274794,0.926663,0.94874465,0.97067225,0.9596236
0.09,36.43718,0.23492156,0.4000000059604645,0.002343267,1.1215595,0.92683727,0.94885445,0.97075814,0.9597232
0.092,36.52223,0.23752767,0.4000000059604645,0.0023813113,1.1157563,0.927003,0.9489587,0.9708401,0.95981807
0.094,36.60863,0.24012162,0.4000000059604645,0.0024187446,1.1100678,0.92716056,0.94905764,0.9709183,0.95990837
0.096,36.696377,0.24270393,0.4000000059604645,0.0024555698,1.1044917,0.9273101,0.94915134,0.9709928,0.9599942
0.098,36.78543,0.24527517,0.4000000059604645,0.0024917894,1.0990258,0.92745185,0.94923997,0.9710638,0.9600757
0.1,36.875786,0.24783581,0.4000000059604645,0.0025274064,1.093668,0.9275861,0.9493237,0.9711313,0.960153
0.102,36.967407,0.25038633,0.4000000059604645,0.002562423,1.0884157,0.927713,0.94940263,0.97119546,0.9602261
0.104,37.06028,0.25292718,0.4000000059604645,0.0025968414,1.083267,0.9278328,0.94947684,0.97125626,0.9602953
0.106,37.154377,0.25545877,0.4000000059604645,0.0026306643,1.0782193,0.9279456,0.9495466,0.97131395,0.9603606
0.108,37.249687,0.25798145,0.4000000059604645,0.0026638936,1.0732706,0.92805177,0.9496119,0.97136843,0.96042204
0.11,37.34618,0.26049563,0.4000000059604645,0.0026965314,1.0684185,0.92815137,0.9496729,0.97141993,0.9604798
0.112,37.44384,0.26300165,0.4000000059604645,0.0027285798,1.0636609,0.92824465,0.9497297,0.9714685,0.96053404
0.114,37.542637,0.26549977,0.4000000059604645,0.0027600408,1.0589956,0.92833173,0.9497824,0.97151417,0.9605847
0.116,37.64256,0.26799032,0.4000000059604645,0.002790916,1.0544205,0.9284128,0.9498311,0.97155696,0.96063197
0.118,37.743584,0.2704736,0.4000000059604645,0.0028212073,1.0499334,0.9284881,0.949876,0.9715971,0.9606759
0.12,37.845684,0.2729498,0.4000000059604645,0.0028509165,1.0455325,0.9285577,0.94991714,0.9716345,0.9607166
0.122,37.94885,0.27541918,0.4000000059604645,0.002880045,1.0412155,0.92862177,0.94995457,0.9716694,0.96075416
0.124,38.05305,0.27788195,0.4000000059604645,0.002908595,1.0369806,0.92868054,0.9499884,0.9717017,0.96078867
0.126,38.158268,0.28033832,0.4000000059604645,0.0029365674,1.0328258,0.92873406,0.95001876,0.9717315,0.9608201
0.128,38.26448,0.28278843,0.4000000059604645,0.0029639644,1.0287493,0.9287825,0.9500457,0.9717589,0.9608486
0.13,38.371674,0.28523245,0.4000000059604645,0.002990787,1.0247492,0.9288261,0.9500693,0.97178394,0.96087426
0.132,38.47982,0.28767052,0.4000000059604645,0.0030170367,1.0208237,0.92886484,0.9500897,0.97180665,0.96089715
0.134,38.588898,0.29010278,0.4000000059604645,0.003042715,1.016971,0.9288989,0.9501069,0.9718271,0.9609173
0.136,38.698895,0.29252934,0.4000000059604645,0.0030678234,1.0131896,0.92892843,0.95012105,0.9718454,0.96093476
0.138,38.809784,0.29495028,0.4000000059604645,0.0030923632,1.0094776,0.9289535,0.9501322,0.9718615,0.96094966
0.14,38.921547,0.29736567,0.4000000059604645,0.003116336,1.0058336,0.92897433,0.95014036,0.97187555,0.960962
0.142,39.03416,0.29977563,0.4000000059604645,0.0031397424,1.0022559,0.92899096,0.95014566,0.97188747,0.96097183
0.144,39.14761,0.30218017,0.4000000059604645,0.0031625847,0.9987431,0.9290035,0.95014817,0.9718974,0.9609793
0.146,39.261868,0.30457935,0.4000000059604645,0.0031848634,0.9952936,0.92901206,0.9501479,0.97190547,0.96098435
0.148,39.37692,0.3069732,0.4000000059604645,0.0032065804,0.9919061,0.92901677,0.950145,0.9719115,0.96098703
