Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.096,36.60137,0.24636129,0.4000000059604645,0.002424447,0.9341993,0.95324624,0.973734,0.9634141
0.098,36.689293,0.24900177,0.4000000059604645,0.0024598073,0.934377,0.95335597,0.9738192,0.96351326
0.1,36.77848,0.25163338,0.4000000059604645,0.0024945484,0.93454814,0.95346135,0.9739013,0.9636086
0.102,36.8689,0.25425655,0.4000000059604645,0.0025286723,0.9347129,0.9535625,0.9739803,0.9637004
0.104,36.96054,0.2568717,0.4000000059604645,0.0025621813,0.9348715,0.95365953,0.9740565,0.9637886
0.106,37.053375,0.2594792,0.4000000059604645,0.002595077,0.93502414,0.9537526,0.9741298,0.9638734
0.108,37.14739,0.26207945,0.4000000059604645,0.0026273613,0.93517095,0.95384175,0.97420037,0.96395487
0.11,37.24255,0.26467276,0.4000000059604645,0.002659036,0.9353122,0.95392716,0.97426826,0.964033
0.112,37.338837,0.26725945,0.4000000059604645,0.0026901027,0.935448,0.9540089,0.9743335,0.96410805
0.114,37.436237,0.2698398,0.4000000059604645,0.0027205627,0.93557847,0.954087,0.9743962,0.96418
0.116,37.534718,0.2724141,0.4000000059604645,0.002750418,0.9357039,0.9541617,0.9744565,0.96424896
0.118,37.634266,0.27498257,0.4000000059604645,0.0027796696,0.9358243,0.95423305,0.9745143,0.964315
0.12,37.734856,0.27754542,0.4000000059604645,0.0028083192,0.9359399,0.95430106,0.9745698,0.96437824
0.122,37.836464,0.2801029,0.4000000059604645,0.0028363678,0.93605083,0.9543659,0.974623,0.9644387
0.124,37.939075,0.28265515,0.4000000059604645,0.0028638171,0.9361572,0.9544276,0.974674,0.9644964
0.126,38.04266,0.28520235,0.4000000059604645,0.002890668,0.9362592,0.95448625,0.97472274,0.9645515
0.128,38.1472,0.28774467,0.4000000059604645,0.002916922,0.9363569,0.954542,0.9747695,0.9646041
0.13,38.252678,0.2902822,0.4000000059604645,0.0029425803,0.9364505,0.9545948,0.97481406,0.96465415
0.132,38.359066,0.29281506,0.4000000059604645,0.0029676436,0.93654,0.95464486,0.9748566,0.9647018
0.134,38.466347,0.29534337,0.4000000059604645,0.0029921136,0.9366256,0.9546921,0.9748972,0.964747
0.136,38.5745,0.29786718,0.4000000059604645,0.0030159908,0.93670744,0.95473677,0.9749359,0.96479
0.138,38.683502,0.30038658,0.4000000059604645,0.003039277,0.9367855,0.95477873,0.9749727,0.96483064
0.14,38.793327,0.30290163,0.4000000059604645,0.0030619728,0.9368601,0.95481825,0.97500765,0.9648691
0.142,38.90396,0.30541232,0.4000000059604645,0.0030840796,0.9369311,0.9548552,0.97504085,0.9649054
0.144,39.01538,0.30791873,0.4000000059604645,0.003105598,0.9369987,0.9548898,0.9750722,0.9649396
0.146,39.127567,0.31042087,0.4000000059604645,0.0031265295,0.93706304,0.954922,0.9751019,0.9649717
0.148,39.240494,0.3129187,0.4000000059604645,0.0031468747,0.9371242,0.9549519,0.9751299,0.9650018
0.15,39.35414,0.31541225,0.4000000059604645,0.0031666353,0.9371822,0.95497954,0.97515625,0.96503
0.152,39.468487,0.31790146,0.4000000059604645,0.0031858117,0.93723714,0.955005,0.975181,0.96505624
0.154,39.58352,0.32038635,0.4000000059604645,0.0032044055,0.9372891,0.9550283,0.97520417,0.96508056
0.156,39.699207,0.32286683,0.4000000059604645,0.0032224173,0.93733823,0.95504946,0.9752258,0.9651031
0.158,39.815533,0.3253429,0.4000000059604645,0.0032398487,0.93738455,0.9550686,0.9752459,0.9651238
0.16,39.932476,0.32781443,0.4000000059604645,0.0032567002,0.9374282,0.95508575,0.97526455,0.96514267
