Time,gENCLS2.delta,gENCLS2.P,gENCLS2.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.09,8.5713825,0.40000007,-5.679737e-10,1.0,0.99199355,1.0,0.9959842
0.092,8.5713825,0.40000007,-5.792641e-10,1.0,0.99199355,1.0,0.9959842
0.094,8.5713825,0.40000007,-5.9046856e-10,1.0,0.99199355,1.0,0.9959842
0.096,8.5713825,0.40000007,-6.0158556e-10,1.0,0.99199355,1.0,0.9959842
0.098,8.5713825,0.40000007,-6.126134e-10,1.0,0.99199355,1.0,0.9959842
0.1,8.5713825,0.40000007,-6.235504e-10,1.0,0.99199355,1.0,0.9959842
0.102,8.5713825,0.40000007,-6.34395e-10,1.0,0.99199355,1.0,0.9959842
0.104,8.5713825,0.40000007,-6.451455e-10,1.0,0.99199355,1.0,0.9959842
0.106,8.5713825,0.40000007,-6.558004e-10,1.0,0.99199355,1.0,0.9959842
0.108,8.5713825,0.40000007,-6.6635814e-10,1.0,0.99199355,1.0,0.9959842
0.11,8.5713825,0.40000007,-6.7681705e-10,1.0,0.99199355,1.0,0.9959842
0.112,8.5713825,0.40000007,-6.8717565e-10,1.0,0.99199355,1.0,0.9959842
0.114,8.5713825,0.40000007,-6.974324e-10,1.0,0.99199355,1.0,0.9959842
0.116,8.5713825,0.40000007,-7.0758577e-10,1.0,0.99199355,1.0,0.9959842
0.118,8.5713825,0.40000007,-7.1763423e-10,1.0,0.99199355,1.0,0.9959842
0.12,8.5713825,0.40000007,-7.2757633e-10,1.0,0.99199355,1.0,0.9959842
0.122,8.5713825,0.40000007,-7.374106e-10,1.0,0.99199355,1.0,0.9959842
0.124,8.5713825,0.40000007,-7.471355e-10,1.0,0.99199355,1.0,0.9959842
0.126,8.5713825,0.40000007,-7.567497e-10,1.0,0.99199355,1.0,0.9959842
0.128,8.5713825,0.40000007,-7.662518e-10,1.0,0.99199355,1.0,0.9959842
0.13,8.5713825,0.40000007,-7.756402e-10,1.0,0.99199355,1.0,0.9959842
0.132,8.5713825,0.40000007,-7.849137e-10,1.0,0.99199355,1.0,0.9959842
0.134,8.5713825,0.40000007,-7.940708e-10,1.0,0.99199355,1.0,0.9959842
0.136,8.5713825,0.40000007,-8.0311024e-10,1.0,0.99199355,1.0,0.9959842
0.138,8.5713825,0.40000007,-8.120306e-10,1.0,0.99199355,1.0,0.9959842
0.14,8.5713825,0.40000007,-8.208306e-10,1.0,0.99199355,1.0,0.9959842
0.142,8.5713825,0.40000007,-8.2950896e-10,1.0,0.99199355,1.0,0.9959842
0.144,8.5713825,0.40000007,-8.3806434e-10,1.0,0.99199355,1.0,0.9959842
0.146,8.5713825,0.40000004,-8.464955e-10,1.0,0.99199355,1.0,0.9959842
0.148,8.5713825,0.40000004,-8.548012e-10,1.0,0.99199355,1.0,0.9959842
0.15,8.5713825,0.40000004,-8.6298013e-10,1.0,0.99199355,1.0,0.9959842
0.152,8.5713825,0.40000004,-8.710312e-10,1.0,0.99199355,1.0,0.9959842
0.154,8.5713825,0.40000004,-8.7895313e-10,1.0,0.99199355,1.0,0.9959842
0.156,8.5713825,0.40000004,-8.867448e-10,1.0,0.99199355,1.0,0.9959842
0.158,8.5713825,0.40000004,-8.94405e-10,1.0,0.99199355,1.0,0.9959842
0.16,8.571382,0.40000004,-9.0193264e-10,1.0,0.99199355,1.0,0.9959842
0.162,8.571382,0.40000004,-9.093266e-10,1.0,0.99199355,1.0,0.9959842
0.164,8.571382,0.40000004,-9.1658575e-10,1.0,0.99199355,1.0,0.9959842
0.166,8.571382,0.40000004,-9.2370905e-10,1.0,0.99199355,1.0,0.9959842
0.168,8.571382,0.40000004,-9.306954e-10,1.0,0.99199355,1.0,0.9959842
0.17,8.571382,0.40000004,-9.375438e-10,1.0,0.99199355,1.0,0.9959842
0.172,8.571382,0.40000004,-9.442532e-10,1.0,0.99199355,1.0,0.9959842
0.174,8.571382,0.40000004,-9.508228e-10,1.0,0.99199355,1.0,0.9959842
0.176,8.571382,0.40000004,-9.572513e-10,1.0,0.99199355,1.0,0.9959842
0.178,8.571382,0.40000004,-9.635379e-10,1.0,0.99199355,1.0,0.9959842
0.18,8.571382,0.40000004,-9.696817e-10,1.0,0.99199355,1.0,0.9959842
0.182,8.571382,0.40000004,-9.756818e-10,1.0,0.99199355,1.0,0.9959842
0.184,8.571382,0.40000004,-9.815372e-10,1.0,0.99199355,1.0,0.9959842
0.186,8.571382,0.40000004,-9.872472e-10,1.0,0.99199355,1.0,0.9959842
0.188,8.571382,0.40000004,-9.928108e-10,1.0,0.99199355,1.0,0.9959842
0.19,8.571382,0.40000004,-9.982273e-10,1.0,0.99199355,1.0,0.9959842
0.192,8.571382,0.40000004,-1.0034957e-09,1.0,0.99199355,1.0,0.9959842
0.194,8.571382,0.40000004,-1.0086155e-09,1.0,0.99199355,1.0,0.9959842
0.196,8.571382,0.40000004,-1.0135858e-09,1.0,0.99199355,1.0,0.9959842
0.198,8.571382,0.40000004,-1.0184057e-09,1.0,0.99199355,1.0,0.9959842
0.2,8.571382,0.40000004,-1.0230747e-09,1.0,0.99199355,1.0,0.9959842
0.202,8.571382,0.40000004,-1.0275921e-09,1.0,0.99199355,1.0,0.9959842
0.204,8.571382,0.40000004,-1.0319572e-09,1.0,0.99199355,1.0,0.9959842
0.206,8.571382,0.40000004,-1.0361694e-09,1.0,0.99199355,1.0,0.9959842
0.208,8.571381,0.40000004,-1.0402278e-09,1.0,0.99199355,1.0,0.9959842
0.21,8.571381,0.40000004,-1.0441321e-09,1.0,0.99199355,1.0,0.9959842
0.212,8.571381,0.40000004,-1.0478817e-09,1.0,0.99199355,1.0,0.9959842
0.214,8.571381,0.40000004,-1.0514759e-09,1.0,0.99199355,1.0,0.9959842
0.216,8.571381,0.4,-1.0549143e-09,1.0,0.99199355,1.0,0.9959842
0.218,8.571381,0.4,-1.0581962e-09,1.0,0.99199355,1.0,0.9959842
0.22,8.571381,0.4,-1.0613214e-09,1.0,0.99199355,1.0,0.9959842
0.222,8.571381,0.4,-1.0642892e-09,1.0,0.99199355,1.0,0.9959842
0.224,8.571381,0.4,-1.0670992e-09,1.0,0.99199355,1.0,0.9959842
