Time,cSVGN1.Q,GEN1.V,LOAD.V,GEN2.V,SHUNT.V,FAULT.V
1.58,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.6,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.62,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.64,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.66,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.68,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.7,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.72,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.74,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.76,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.78,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.8,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.82,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.84,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.86,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.88,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.9,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.92,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.94,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.96,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.98,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
2.0,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
2.0,0.0044088303,0.6202876,0.2305082,0.30957264,0.2708496,1e-10
2.02,0.0039652754,0.52103394,0.20219922,0.30217505,0.2526705,1e-10
2.04,0.0038997978,0.47838882,0.18933487,0.2986265,0.24412124,1e-10
2.06,0.0039934893,0.4545951,0.18220033,0.29669183,0.23943333,1e-10
2.08,0.0041670837,0.43931168,0.17768514,0.2954999,0.2365249,1e-10
2.1,0.0043834983,0.42867187,0.17450552,0.2946637,0.23448989,1e-10
2.12,0.0046227314,0.4207896,0.17203972,0.29399878,0.23289226,1e-10
2.14,0.004872537,0.41458374,0.1699456,0.29340732,0.23149718,1e-10
2.15,0.004998689,0.41188863,0.1689695,0.29312,0.23082912,1e-10
2.15,0.06766828,0.712366,0.81252265,0.87843937,0.8492882,0.8453044
2.16,0.07547565,0.7745109,0.85615057,0.9085162,0.8865309,0.88227403
2.18,0.087261945,0.8663739,0.9153486,0.9486426,0.93664587,0.93198764
2.2,0.09483532,0.9205371,0.94883794,0.97118986,0.96492565,0.96001154
2.22,0.0995811,0.95177394,0.9677812,0.98392457,0.9809263,0.9758504
2.24,0.10252384,0.9699397,0.97859454,0.9911819,0.9900615,0.9848839
2.26,0.10433593,0.9806777,0.9848365,0.99535656,0.9953306,0.9900893
2.28,0.10543833,0.98711497,0.9884657,0.9977691,0.9983871,0.9931067
2.3,0.10608883,0.99096346,0.99055403,0.999145,1.000139,0.9948353
2.32,0.10646091,0.99329597,0.9917742,0.9999408,1.0011574,0.9958405
2.34,0.106653996,0.99466145,0.9924698,1.0003905,1.0017346,0.9964111
2.36,0.106728554,0.9953642,0.99282944,1.0006226,1.0020316,0.99670595
2.38,0.10672898,0.9956356,0.99299496,1.0007331,1.002169,0.99684405
2.4,0.106686585,0.99564344,0.9930662,1.000789,1.0022311,0.99690866
2.42,0.10662019,0.99548274,0.99309534,1.0008242,1.0022619,0.99694294
2.44,0.10654051,0.9952119,0.99311036,1.000856,1.0022839,0.99696904
2.46,0.10645037,0.9948518,0.99311465,1.0008844,1.0022987,0.9969885
2.48,0.1063526,0.99441296,0.99310344,1.0009038,1.0023012,0.99699575
2.5,0.10624274,0.99387145,0.99305075,1.0008943,1.0022677,0.9969676
2.52,0.10612167,0.9932343,0.99294984,1.0008489,1.0021914,0.9968969
2.54,0.10598559,0.9924812,0.9927777,1.0007501,1.0020516,0.9967631
2.56,0.105834186,0.99161196,0.99252504,1.0005898,1.0018394,0.9965574
2.58,0.10566594,0.9906192,0.9921796,1.000359,1.0015441,0.9962689
2.6,0.10548063,0.98950255,0.9917353,1.0000528,1.00116,0.9958921
2.62,0.10527905,0.988268,0.99119174,0.999671,1.000687,0.9954267
2.64,0.1050628,0.98692614,0.9905533,0.9992169,1.0001291,0.9948767
2.66,0.10483472,0.98549634,0.9898314,0.9986993,0.9994965,0.99425215
2.68,0.10459868,0.9840048,0.989043,0.998131,0.99880445,0.99356824
